Rk,Coach,School,Conf,W,L,Pct,Notes
1,Nick Saban,Alabama,SEC,14,1,.933,
2,Dabo Swinney,Clemson,ACC,14,1,.933,
3,Tom Herman,Houston,American,13,1,.929,
4,Urban Meyer,Ohio State,Big Ten,12,1,.923,
5,Jeff Brohm,Western Kentucky,CUSA,12,2,.857,
6,Mark Dantonio,Michigan State,Big Ten,12,2,.857,
7,Kirk Ferentz,Iowa,Big Ten,12,2,.857,
8,David Shaw,Stanford,Pac-12,12,2,.857,
9,Ken Niumatalolo,Navy,American,11,2,.846,
10,Gary Patterson,TCU,Big 12,11,2,.846,
11,Scott Satterfield,Appalachian State,Sun Belt,11,2,.846,
12,Bob Stoops,Oklahoma,Big 12,11,2,.846,
13,Larry Fedora,North Carolina,ACC,11,3,.786,
14,Rocky Long,San Diego State,MWC,11,3,.786,
15,Dino Babers,Bowling Green State,MAC,10,3,.769,
16,Art Briles,Baylor,Big 12,10,3,.769,
17,Paul Chryst,Wisconsin,Big Ten,10,3,.769,
18,Jimbo Fisher,Florida State,ACC,10,3,.769,
19,Pat Fitzgerald,Northwestern,Big Ten,10,3,.769,
20,Hugh Freeze,Ole Miss,SEC,10,3,.769,
21,Mike Gundy,Oklahoma State,Big 12,10,3,.769,
22,Jim Harbaugh,Michigan,Big Ten,10,3,.769,
23,Doc Holliday,Marshall,CUSA,10,3,.769,
24,Brian Kelly,Notre Dame,Ind,10,3,.769,
25,Kyle Whittingham,Utah,Pac-12,10,3,.769,
26,Jim McElwain,Florida,SEC,10,4,.714,
27,Matt Rhule,Temple,American,10,4,.714,
28,Matt Campbell,Toledo,MAC,9,2,.818,
29,Justin Fuente,Memphis,American,9,3,.750,
30,Les Miles,LSU,SEC,9,3,.750,
31,Mark Richt,Georgia,SEC,9,3,.750,
32,Blake Anderson,Arkansas State,Sun Belt,9,4,.692,
33,Bryan Harsin,Boise State,MWC,9,4,.692,
34,Mark Helfrich,Oregon,Pac-12,9,4,.692,
35,Skip Holtz,Louisiana Tech,CUSA,9,4,.692,
36,Butch Jones,Tennessee,SEC,9,4,.692,
37,Mike Leach,Washington State,Pac-12,9,4,.692,
38,Bronco Mendenhall,Brigham Young,Ind,9,4,.692,
39,Dan Mullen,Mississippi State,SEC,9,4,.692,
40,Todd Monken,Southern Mississippi,CUSA,9,5,.643,
41,Willie Fritz,Georgia Southern,Sun Belt,8,4,.667,
42,Bret Bielema,Arkansas,SEC,8,5,.615,
43,Terry Bowden,Akron,MAC,8,5,.615,
44,David Cutcliffe,Duke,ACC,8,5,.615,
45,Sonny Dykes,California,Pac-12,8,5,.615,
46,P.J. Fleck,Western Michigan,MAC,8,5,.615,
47,Dana Holgorsen,West Virginia,Big 12,8,5,.615,
48,Jim Mora,UCLA,Pac-12,8,5,.615,
49,Pat Narduzzi,Pitt,ACC,8,5,.615,
50,Bobby Petrino,Louisville,ACC,8,5,.615,
51,Frank Solich,Ohio,MAC,8,5,.615,
52,Kevin Sumlin,Texas A&M,SEC,8,5,.615,
53,Willie Taggart,South Florida,American,8,5,.615,
54,Troy Calhoun,Air Force,MWC,8,6,.571,
55,Rod Carey,Northern Illinois,MAC,8,6,.571,
56,Frank Beamer,Virginia Tech,ACC,7,6,.538,
