Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Alabama,SEC (West),14,1,0.933,7,1,0.875,35.1,15.1,23.72,7.46,3,1,1,
2,Clemson,ACC (Atlantic),14,1,0.933,8,0,1,38.5,21.7,18.88,5.21,12,1,2,
3,Stanford,Pac-12 (North),12,2,0.857,8,1,0.889,37.8,22.6,18.81,5.17,21,3,3,
4,Ohio State,Big Ten (East),12,1,0.923,7,1,0.875,35.7,15.1,20.73,3.81,1,1,4,
5,Oklahoma,Big 12,11,2,0.846,8,1,0.889,43.5,22,17.84,4.38,19,3,5,
6,Michigan State,Big Ten (East),12,2,0.857,7,1,0.875,29.8,21.7,15.36,6.58,5,2,6,
7,Texas Christian,Big 12,11,2,0.846,7,2,0.778,42.1,27.2,11.39,1.39,2,2,7,
8,Houston,American (West),13,1,0.929,7,1,0.875,40.4,20.7,12.32,-3.04,,8,8,
9,Iowa,Big Ten (West),12,2,0.857,8,0,1,30.9,20.4,10.8,1.51,,3,9,
10,Ole Miss,SEC (West),10,3,0.769,6,2,0.75,40.8,22.6,14.42,4.42,17,3,10,
11,Notre Dame,Ind,10,3,0.769,,,,34.2,24.1,14.33,6.1,11,4,11,
12,Michigan,Big Ten (East),10,3,0.769,6,2,0.75,31.4,16.4,16.34,4.57,,12,12,
13,Baylor,Big 12,10,3,0.769,6,3,0.667,48.1,28.3,13.08,0.31,4,2,13,
14,Florida State,ACC (Atlantic),10,3,0.769,6,2,0.75,31.7,17.5,13.59,1.97,10,9,14,
15,North Carolina,ACC (Coastal),11,3,0.786,8,0,1,40.7,24.5,12.73,1.09,,8,15,
16,LSU,SEC (West),9,3,0.75,5,3,0.625,32.8,24.3,15.04,6.79,14,4,16,record adjusted to 0-3-0 by NCAA
17,Utah,Pac-12 (South),10,3,0.769,6,3,0.667,30.6,22.3,11.39,4.32,,3,17,
18,Navy,American (West),11,2,0.846,7,1,0.875,36.8,21.8,11.14,-1.55,,16,18,
19,Oregon,Pac-12 (North),9,4,0.692,7,2,0.778,43,37.5,11.05,4.74,7,7,19,
20,Oklahoma State,Big 12,10,3,0.769,7,2,0.778,39.5,30.5,8.5,1.57,,4,20,
21,Wisconsin,Big Ten (West),10,3,0.769,6,2,0.75,26.8,13.7,10.85,1.39,20,19,21,
22,Tennessee,SEC (East),9,4,0.692,5,3,0.625,35.2,20,13.94,3.1,25,22,22,
23,Northwestern,Big Ten (West),10,3,0.769,6,2,0.75,19.5,18.6,7.3,4.23,,12,23,
24,Western Kentucky,CUSA (East),12,2,0.857,8,0,1,44.3,25.9,9.62,-4.02,,24,24,
25,Florida,SEC (East),10,4,0.714,7,1,0.875,23.2,18.3,9.65,4.94,,8,25,
26,Louisiana-Monroe,Sun Belt,2,11,0.154,1,7,0.125,21,36.5,-16.72,-4.42,,,,
27,Texas State,Sun Belt,3,9,0.25,2,6,0.25,26.9,39.2,-14.24,-5.16,,,,
28,New Mexico State,Sun Belt,3,9,0.25,3,5,0.375,28.6,45,-15.79,-5.29,,,,
29,Troy,Sun Belt,4,8,0.333,3,5,0.375,27.9,28.3,-7.26,-4.68,,,,
30,Louisiana,Sun Belt,4,8,0.333,3,5,0.375,26.4,31.8,-12.46,-7.38,,,,
31,Idaho,Sun Belt,4,8,0.333,3,5,0.375,30.3,42.1,-13.24,-4.57,,,,
32,South Alabama,Sun Belt,5,7,0.417,3,5,0.375,25,37.3,-11.31,-3.72,,,,
33,Georgia State,Sun Belt,6,7,0.462,5,3,0.625,26.9,28.3,-7.61,-7.15,,,,
34,Arkansas State,Sun Belt,9,4,0.692,8,0,1,40,30.2,0.74,-6.26,,,,
35,Georgia Southern,Sun Belt,9,4,0.692,6,2,0.75,36.5,23.5,5.27,-5.42,,,,
36,Appalachian State,Sun Belt,11,2,0.846,7,1,0.875,36.7,19.1,5.05,-7.34,,,,
37,Auburn,SEC (West),7,6,0.538,2,6,0.25,27.5,26,7.16,5.39,6,6,,
38,Texas A&M,SEC (West),8,5,0.615,4,4,0.5,27.8,22,9.4,4.47,,9,,
39,Mississippi State,SEC (West),9,4,0.692,4,4,0.5,34.4,23.2,13.59,4.74,,20,,
40,Arkansas,SEC (West),8,5,0.615,5,3,0.625,35.9,27.4,12.79,6.02,18,18,,
41,South Carolina,SEC (East),3,9,0.25,1,7,0.125,21.9,27.5,-2.18,3.74,,,,
42,Missouri,SEC (East),5,7,0.417,1,7,0.125,13.6,16.2,0.2,3.04,24,21,,
43,Vanderbilt,SEC (East),4,8,0.333,2,6,0.25,15.2,21,-2.27,4.23,,,,
