,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Alabama,SEC (West),13,0,1,10,0,1,48.5,19.4,30.26,9.72,3,1,1,
2,Ohio State,Big Ten (East),7,1,0.875,5,0,1,41,25.8,21.37,8.99,2,2,2,
3,Clemson,ACC (Atlantic),10,2,0.833,8,1,0.889,43.5,20.2,16.82,1.07,1,1,3,
4,Texas A&M,SEC (West),9,1,0.9,8,1,0.889,32.6,21.7,16.24,6.44,13,4,4,
5,Notre Dame,ACC (Atlantic),10,2,0.833,9,0,1,33.4,19.7,11.32,1.23,10,2,5,
6,Oklahoma,Big 12,9,2,0.818,6,2,0.75,43,21.7,17.62,3.71,5,3,6,
7,Georgia,SEC (East),8,2,0.8,7,2,0.778,32.3,20,19.33,8.53,4,3,7,
8,Cincinnati,American,9,1,0.9,6,0,1,37.5,16.8,14.92,-1.28,20,6,8,
9,Iowa State,Big 12,9,3,0.75,8,1,0.889,32.9,21.4,13.93,5.43,23,8,9,
10,Northwestern,Big Ten (West),7,2,0.778,6,1,0.857,24.7,15.9,12.55,4.88,,10,10,
11,BYU,Ind,11,1,0.917,,,,43.5,15.3,14.7,-3.89,,8,11,
12,Indiana,Big Ten (East),6,2,0.75,6,1,0.857,28.9,20.3,13.71,4.46,,7,12,
13,Florida,SEC (East),8,4,0.667,8,2,0.8,39.8,30.8,16.85,8.02,8,3,13,
14,Coastal Carolina,Sun Belt (East),11,1,0.917,8,0,1,37.2,20.3,10.9,-2.86,,9,14,
15,Louisiana,Sun Belt (West),10,1,0.909,7,1,0.875,33.6,22,7.75,-2.25,,15,15,
16,Iowa,Big Ten (West),6,2,0.75,6,2,0.75,31.8,16,13.77,1.77,24,16,16,
17,Liberty,Ind,10,1,0.909,,,,38.2,20.5,1.6,-12.22,,17,17,
18,North Carolina,ACC (Coastal),8,4,0.667,7,3,0.7,41.7,29.4,7.03,-1.55,18,5,18,
19,Texas,Big 12,7,3,0.7,5,3,0.625,42.7,28.5,11.95,3.75,14,8,19,
20,Oklahoma State,Big 12,8,3,0.727,6,3,0.667,30.2,23.5,10.46,4.92,15,6,20,
21,USC,Pac-12 (South),5,1,0.833,5,0,1,33.3,26,5.32,-3.68,17,13,21,
22,Miami (FL),ACC (Coastal),8,3,0.727,7,2,0.778,34,27,6.56,1.47,,7,22,
23,Ball State,MAC (West),7,1,0.875,5,1,0.833,34.3,25.8,18.41,8.91,,23,23,
24,San Jose State,MWC (West),7,1,0.875,6,0,1,28.6,19.9,7.05,-1.71,,19,24,
25,Buffalo,MAC (East),6,1,0.857,5,0,1,43.4,21.9,17.73,1.73,,23,25,
26,Louisiana-Monroe,Sun Belt (West),0,10,0,0,7,0,16.3,42,-23.67,-2.87,,,,
27,Texas State,Sun Belt (West),2,10,0.167,2,6,0.25,27.7,38.2,-9.93,-0.84,,,,
28,Arkansas State,Sun Belt (West),4,7,0.364,2,6,0.25,32.9,37.2,-7.86,-3.77,,,,
29,South Alabama,Sun Belt (West),4,7,0.364,3,5,0.375,19.9,27.3,-9.83,-3.64,,,,
30,Troy,Sun Belt (East),5,6,0.455,3,4,0.429,27.4,25.7,-2.24,-4.33,,,,
31,Georgia State,Sun Belt (East),6,4,0.6,4,4,0.5,33.3,31.7,0.34,-3.86,,,,
