Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,BMI,Position,Drafted,Round,Pick
20,Ohio St.,1.8542,106.594207,4.38,85.09,25,325.12,NA,NA,31.00419426,RB,Yes,1,31
22,Illinois,1.8796,118.3876086,4.84,83.82,27,292.1,7.38,4.45,33.5100731,DE,Yes,6,204
24,LSU,2.0066,165.1076227,5.5,NA,21,NA,NA,NA,41.0058207,OG,Yes,5,167
23,Alabama,1.8034,92.07925111,4.49,93.98,15,304.8,7.09,4.23,28.31246274,FS,Yes,3,95
22,Connecticut,1.8796,110.6765383,4.76,92.71,26,304.8,7.1,4.4,31.32742466,OLB,Yes,2,63
23,Cincinnati,1.9304,139.2528576,5.28,NA,29,NA,NA,NA,37.36882981,OG,Yes,7,254
24,Mississippi,1.8796,135.6241186,4.98,NA,NA,NA,NA,NA,38.38893432,DT,Yes,1,24
21,North Carolina,2.032,140.1600423,5.32,55.88,19,238.76,7.87,4.88,33.94507814,OT,Yes,5,156
23,Richmond,1.8796,120.6555704,4.53,88.9,28,304.8,7.46,4.43,34.15202852,DE,Yes,4,125
22,San Jose St.,1.778,82.10021897,4.44,87.63,14,279.4,6.93,4.16,25.97052937,CB,Yes,3,90
23,Missouri,1.8288,100.2439138,4.49,93.98,16,312.42,6.81,4.26,29.97268077,SS,Yes,2,55
21,Georgia Tech,1.8796,137.8920805,5.32,83.82,29,NA,NA,NA,39.03088974,DT,Yes,7,210
22,Mississippi,1.9304,140.1600423,5.16,77.47,21,261.62,7.81,4.6,37.61227495,OT,Yes,1,23
23,East Carolina,1.9304,116.1196467,4.78,74.93,17,287.02,7.28,4.56,31.1609786,TE,Yes,5,149
23,TCU,1.8542,108.4085764,4.6,86.36,20,304.8,NA,4.32,31.53192523,ILB,Yes,5,137
23,Nicholls St.,1.778,81.19303423,4.35,92.71,15,307.34,6.77,4.1,25.6835622,CB,Yes,3,88
23,Utah,1.9304,119.2947933,4.79,82.55,24,274.32,7.52,4.47,32.01303661,DE,Yes,2,57
22,Virginia,1.7526,97.97595192,4.34,101.6,27,297.18,6.99,4.29,31.89729662,RB,Yes,6,185
20,Penn St.,1.9304,112.9445001,4.64,96.52,22,314.96,7.52,4.38,30.30892059,DE,Yes,1,11
23,Southern Miss,1.9558,108.8621688,4.52,83.82,19,292.1,6.96,4.46,28.45955458,TE,Yes,4,121
22,Oregon St.,1.905,138.3456729,5.33,77.47,23,261.62,NA,4.52,38.12199499,OG,Yes,2,51
22,Oregon,1.778,93.89362059,4.68,NA,NA,NA,NA,NA,29.70110265,CB,Yes,2,42
21,USC,1.8034,84.82177319,4.66,NA,18,NA,NA,NA,26.08093858,CB,Yes,6,183
22,Louisville,1.9304,140.6136347,5.19,77.47,30,251.46,7.56,4.51,37.73399752,C,Yes,1,28
22,Oklahoma,1.8796,106.1406146,4.83,80.01,15,276.86,7.05,4.37,30.04351381,OLB,Yes,5,147
21,Florida St.,1.8542,116.1196467,4.65,80.01,26,289.56,7.55,4.53,33.77478183,DE,Yes,2,43
22,Syracuse,1.8288,111.1301307,4.58,86.36,30,284.48,7.31,4.49,33.22763253,FB,Yes,4,128
21,Texas A&M,1.8288,94.34721296,4.43,100.33,14,299.72,6.89,4.22,28.2095819,RB,Yes,4,111
