Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Jordan Jenkins,Unknown,2022,Baylor,4.96,28.0,0,0,0,0,0,,3,8,0,2.7,0,0,0,
Jordan Jenkins,Unknown,2023,Baylor,3.72,28.0,0,0,0,0,0,,2,19,0,9.5,0,0,0,
Anthony Brown,Unknown,2017,Boston College,7.08,23.0,134,258,1367,11,9,103.5,42,210,1,5.0,1,25,1,25.0
Anthony Brown,Unknown,2018,Boston College,1.78,23.0,158,285,2121,20,9,134.8,54,85,1,1.6,2,36,1,18.0
Anthony Brown,Unknown,2019,Boston College,1.17,23.0,81,137,1250,9,2,154.5,33,128,2,3.9,1,30,1,30.0
Anthony Brown,Unknown,2020,Oregon,-1.77,23.0,15,23,164,2,0,153.8,7,40,2,5.7,0,0,0,
Anthony Brown,Unknown,2021,Oregon,1.93,23.0,250,390,2989,18,7,140.1,151,658,9,4.4,0,0,0,
Anthony Brown,Unknown,2023,Kentucky,2.5,23.0,0,0,0,0,0,,0,0,0,,5,44,1,8.8
Anthony Brown,Unknown,2015,Purdue,4.41,23.0,0,0,0,0,0,,1,39,0,39.0,0,0,0,
Braden Smith,Unknown,2020,Louisville,-1.87,36.0,0,1,0,0,0,0.0,0,0,0,,27,370,0,13.7
Braden Smith,Unknown,2021,Louisville,2.88,36.0,2,3,54,1,0,327.9,1,3,0,3.0,11,68,1,6.2
Braden Smith,Unknown,2022,Louisville,4.59,36.0,3,6,106,1,1,220.1,0,0,0,,21,215,1,10.2
Braden Smith,Unknown,2023,Cincinnati,1.57,36.0,1,3,30,0,0,117.3,2,0,0,0.0,43,557,4,13.0
Justin Jones,Unknown,2023,Auburn,3.39,14.0,0,0,0,0,0,,4,33,0,8.3,0,0,0,
Isaiah Johnson,Unknown,2016,Houston,-1.95,1.0,0,0,0,0,0,,0,0,0,,15,165,0,11.0
Isaiah Johnson,Unknown,2020,North Texas,-8.9,1.0,0,0,0,0,0,,17,68,1,4.0,1,6,0,6.0
Isaiah Johnson,Unknown,2021,North Texas,-4.13,1.0,0,0,0,0,0,,82,359,5,4.4,7,95,1,13.6
Isaiah Johnson,Unknown,2022,North Texas,-4.21,1.0,0,0,0,0,0,,54,246,3,4.6,8,44,2,5.5
Isaiah Johnson,Unknown,2023,North Texas,-5.09,1.0,0,0,0,0,0,,37,229,3,6.2,9,36,0,4.0
Isaiah Johnson,Unknown,2015,Houston,-3.04,1.0,0,0,0,0,0,,0,0,0,,6,43,0,7.2
Greg Gaines,Unknown,2022,Iowa State,6.37,13.0,0,0,0,0,0,,0,0,0,,1,2,0,2.0
Greg Gaines,Unknown,2023,Iowa State,4.2,13.0,0,0,0,0,0,,0,0,0,,2,12,0,6.0
Jake Bailey,Unknown,2017,Stanford,4.92,7.0,0,0,0,0,0,,1,17,0,17.0,0,0,0,
Jake Bailey,Unknown,2019,Rice,-3.21,7.0,0,0,0,0,0,,0,0,0,,9,53,0,5.9
Jake Bailey,Unknown,2020,Rice,-7.97,7.0,0,0,0,0,0,,2,16,0,8.0,23,276,2,12.0
Jake Bailey,Unknown,2021,Rice,-1.52,7.0,0,0,0,0,0,,1,14,0,14.0,56,714,2,12.8
Jake Bailey,Unknown,2022,SMU,1.39,7.0,0,0,0,0,0,,0,0,0,,12,205,1,17.1
Jake Bailey,Unknown,2023,SMU,-4.45,7.0,0,0,0,0,0,,1,10,0,10.0,42,528,0,12.6
Joe Jackson,Unknown,2023,Kansas State,5.09,0.0,0,0,0,0,0,,4,1,0,0.3,0,0,0,
Nick Harris,Unknown,2023,Connecticut,-2.67,4.0,0,0,0,0,0,,0,0,0,,1,4,1,4.0
Tyler Davis,Unknown,2016,Connecticut,-2.55,0.0,2,3,42,0,0,184.3,0,0,0,,11,107,1,9.7
Tyler Davis,Unknown,2017,Connecticut,-0.12,0.0,0,0,0,0,0,,0,0,0,,14,156,0,11.1
Tyler Davis,Unknown,2018,Connecticut,-1.32,0.0,1,1,16,0,0,234.4,0,0,0,,22,237,6,10.8
Tyler Davis,Unknown,2019,Georgia Tech,2.42,0.0,0,0,0,0,0,,0,0,0,,17,148,1,8.7
Tyler Davis,Unknown,2023,Clemson,3.28,0.0,0,0,0,0,0,,1,-6,0,-6.0,0,0,0,
Carlos Davis,Unknown,2018,South Alabama,-2.39,1.0,0,0,0,0,0,,3,11,0,3.7,0,0,0,
Carlos Davis,Unknown,2019,South Alabama,-1.44,1.0,0,0,0,0,0,,60,261,2,4.4,6,43,0,7.2
Carlos Davis,Unknown,2020,South Alabama,-3.64,1.0,0,0,0,0,0,,164,674,3,4.1,11,104,0,9.5
Carlos Davis,Unknown,2023,Massachusetts,-2.15,1.0,62,101,886,6,3,148.7,20,19,0,1.0,0,0,0,
Jordan Smith,Unknown,2021,Temple,-1.61,0.0,0,0,0,0,0,,1,18,0,18.0,18,186,0,10.3
Jordan Smith,Unknown,2022,Temple,-2.39,0.0,0,0,0,0,0,,0,0,0,,25,346,4,13.8
Jordan Smith,Unknown,2023,Temple,-3.65,0.0,0,0,0,0,0,,0,0,0,,25,287,4,11.5
Cole Turner,Unknown,2018,Nevada,-3.78,1.0,0,0,0,0,0,,0,0,0,,2,37,1,18.5
Cole Turner,Unknown,2019,Nevada,-4.8,1.0,0,0,0,0,0,,0,0,0,,4,51,0,12.8
Cole Turner,Unknown,2020,Nevada,-7.1,1.0,0,0,0,0,0,,0,0,0,,49,605,9,12.3
Cole Turner,Unknown,2021,Nevada,-1.99,1.0,0,0,0,0,0,,0,0,0,,62,677,10,10.9
Cole Turner,Unknown,2022,Clemson,3.3,1.0,0,0,0,0,0,,0,0,0,,8,161,0,20.1
Cole Turner,Unknown,2023,Clemson,3.28,1.0,0,0,0,0,0,,0,0,0,,3,28,0,9.3
Zach Evans,Unknown,2020,Texas Christian,3.71,0.0,0,0,0,0,0,,54,415,4,7.7,8,76,0,9.5
Zach Evans,Unknown,2021,Texas Christian,3.63,0.0,0,0,0,0,0,,92,648,5,7.0,10,130,1,13.0
Zach Evans,Unknown,2022,Ole Miss,4.05,0.0,0,0,0,0,0,,144,936,9,6.5,12,119,1,9.9
Zach Evans,Unknown,2023,Minnesota,3.61,0.0,0,0,0,0,0,,52,230,1,4.4,2,15,0,7.5
Caleb Williams,Unknown,2021,Oklahoma,2.68,0.0,136,211,1912,21,4,169.6,79,442,6,5.6,0,0,0,
Caleb Williams,Unknown,2022,USC,3.49,0.0,333,500,4537,42,5,168.5,113,382,10,3.4,0,0,0,
Caleb Williams,Unknown,2023,USC,5.51,0.0,266,388,3633,30,5,170.1,97,142,11,1.5,1,15,0,15.0
Jayden Daniels,Unknown,2019,Arizona State,2.34,0.0,205,338,2943,17,2,149.2,125,355,3,2.8,0,0,0,
Jayden Daniels,Unknown,2020,Arizona State,-4.0,0.0,49,84,701,5,1,145.7,33,223,4,6.8,0,0,0,
Jayden Daniels,Unknown,2021,Arizona State,-0.74,0.0,197,301,2380,10,10,136.2,138,710,6,5.1,0,0,0,
Jayden Daniels,Unknown,2022,LSU,6.14,0.0,266,388,2913,17,3,144.5,186,885,11,4.8,1,5,1,5.0
Jayden Daniels,Unknown,2023,LSU,4.59,0.0,236,327,3812,40,4,208.0,135,1134,10,8.4,0,0,0,
Marvin Harrison Jr.,Unknown,2021,Ohio State,5.53,0.0,0,0,0,0,0,,0,0,0,,11,139,3,12.6
Marvin Harrison Jr.,Unknown,2022,Ohio State,5.2,0.0,0,0,0,0,0,,2,32,0,16.0,77,1263,14,16.4
Marvin Harrison Jr.,Unknown,2023,Ohio State,5.64,0.0,0,0,0,0,0,,2,26,1,13.0,67,1211,14,18.1
Malik Nabers,Unknown,2021,LSU,5.28,0.0,0,0,0,0,0,,4,23,0,5.8,28,417,4,14.9
Malik Nabers,Unknown,2022,LSU,6.14,0.0,2,2,50,1,0,475.0,1,5,0,5.0,72,1017,3,14.1
Malik Nabers,Unknown,2023,LSU,4.59,0.0,0,0,0,0,0,,1,1,0,1.0,89,1569,14,17.6
Rome Odunze,Unknown,2020,Washington,-5.89,0.0,0,0,0,0,0,,3,-16,0,-5.3,6,72,0,12.0
Rome Odunze,Unknown,2021,Washington,-0.9,0.0,0,0,0,0,0,,2,13,0,6.5,41,415,4,10.1
Rome Odunze,Unknown,2022,Washington,0.64,0.0,0,0,0,0,0,,3,6,1,2.0,75,1145,7,15.3
Rome Odunze,Unknown,2023,Washington,7.83,0.0,0,0,0,0,0,,2,37,1,18.5,92,1640,13,17.8
Bo Nix,Unknown,2019,Auburn,7.72,0.0,217,377,2542,16,6,125.0,97,313,7,3.2,0,0,0,
Bo Nix,Unknown,2020,Auburn,9.52,0.0,214,357,2415,12,7,123.9,108,388,7,3.6,0,0,0,
Bo Nix,Unknown,2021,Auburn,5.73,0.0,197,323,2293,11,3,130.0,57,168,4,2.9,0,0,0,
Bo Nix,Unknown,2022,Oregon,3.67,0.0,294,409,3593,29,7,165.7,89,510,14,5.7,2,36,1,18.0
Bo Nix,Unknown,2023,Oregon,3.3,0.0,364,470,4508,45,3,188.3,54,234,6,4.3,0,0,0,
Brock Bowers,Unknown,2021,Georgia,5.62,0.0,0,0,0,0,0,,4,56,1,14.0,56,882,13,15.8
Brock Bowers,Unknown,2022,Georgia,6.28,0.0,0,0,0,0,0,,9,109,3,12.1,63,942,7,15.0
Brock Bowers,Unknown,2023,Georgia,3.21,0.0,0,0,0,0,0,,6,28,1,4.7,56,714,6,12.8
Xavier Worthy,Unknown,2021,Texas,4.86,0.0,0,0,0,0,0,,1,7,0,7.0,62,981,12,15.8
Xavier Worthy,Unknown,2022,Texas,8.16,0.0,1,1,33,1,0,707.2,2,14,0,7.0,60,760,9,12.7
Xavier Worthy,Unknown,2023,Texas,6.61,0.0,1,2,35,0,0,197.0,4,35,0,8.8,75,1014,5,13.5
Xavier Legette,Unknown,2019,South Carolina,7.34,0.0,0,0,0,0,0,,0,0,0,,9,80,1,8.9
Xavier Legette,Unknown,2020,South Carolina,7.42,0.0,0,0,0,0,0,,0,0,0,,7,113,0,16.1
Xavier Legette,Unknown,2021,South Carolina,3.31,0.0,0,0,0,0,0,,0,0,0,,8,63,1,7.9
Xavier Legette,Unknown,2022,South Carolina,4.17,0.0,0,0,0,0,0,,7,21,0,3.0,18,167,3,9.3
Xavier Legette,Unknown,2023,South Carolina,4.33,0.0,0,0,0,0,0,,9,-9,0,-1.0,71,1255,7,17.7
Keon Coleman,Unknown,2021,Michigan State,5.26,0.0,0,0,0,0,0,,0,0,0,,7,50,1,7.1
Keon Coleman,Unknown,2022,Michigan State,5.48,0.0,0,0,0,0,0,,0,0,0,,58,798,7,13.8
Keon Coleman,Unknown,2023,Florida State,2.94,0.0,0,0,0,0,0,,1,2,0,2.0,50,658,11,13.2
Ladd McConkey,Unknown,2021,Georgia,5.62,0.0,0,0,0,0,0,,4,44,1,11.0,31,447,5,14.4
Ladd McConkey,Unknown,2022,Georgia,6.28,0.0,0,0,0,0,0,,7,134,2,19.1,58,762,7,13.1
Ladd McConkey,Unknown,2023,Georgia,3.21,0.0,0,0,0,0,0,,2,38,1,19.0,30,478,2,15.9
Cooper DeJean,Unknown,2023,Iowa,4.05,0.0,0,0,0,0,0,,1,8,0,8.0,0,0,0,
Adonai Mitchell,Unknown,2021,Georgia,5.62,0.0,0,0,0,0,0,,0,0,0,,29,426,4,14.7
Adonai Mitchell,Unknown,2022,Georgia,6.28,0.0,0,0,0,0,0,,0,0,0,,9,134,3,14.9
Adonai Mitchell,Unknown,2023,Texas,6.61,0.0,0,0,0,0,0,,2,1,0,0.5,55,845,11,15.4
Ben Sinnott,Unknown,2021,Kansas State,2.43,0.0,0,0,0,0,0,,3,12,1,4.0,2,15,0,7.5
Ben Sinnott,Unknown,2022,Kansas State,7.95,0.0,0,0,0,0,0,,0,0,0,,31,447,4,14.4
Ben Sinnott,Unknown,2023,Kansas State,5.09,0.0,0,0,0,0,0,,0,0,0,,49,676,6,13.8
Marshawn Kneeland,Unknown,2023,Western Michigan,-5.04,0.0,0,0,0,0,0,,2,1,1,0.5,0,0,0,
Malachi Corley,Unknown,2020,Western Kentucky,-6.07,0.0,0,0,0,0,0,,0,0,0,,6,65,0,10.8
Malachi Corley,Unknown,2021,Western Kentucky,-2.61,0.0,0,0,0,0,0,,1,-6,0,-6.0,73,691,7,9.5
Malachi Corley,Unknown,2022,Western Kentucky,-5.49,0.0,0,0,0,0,0,,11,87,0,7.9,101,1295,11,12.8
Malachi Corley,Unknown,2023,Western Kentucky,-3.29,0.0,0,0,0,0,0,,4,11,0,2.8,79,984,11,12.5
Trey Benson,Unknown,2021,Oregon,1.93,0.0,0,0,0,0,0,,6,22,1,3.7,0,0,0,
Trey Benson,Unknown,2022,Florida State,3.38,0.0,0,0,0,0,0,,154,990,9,6.4,13,144,0,11.1
Trey Benson,Unknown,2023,Florida State,2.94,0.0,0,0,0,0,0,,156,906,14,5.8,20,227,1,11.4
Jermaine Burton,Unknown,2020,Georgia,8.53,0.0,0,0,0,0,0,,4,50,0,12.5,27,404,3,15.0
Jermaine Burton,Unknown,2021,Georgia,5.62,0.0,0,0,0,0,0,,0,0,0,,26,497,4,19.1
Jermaine Burton,Unknown,2022,Alabama,4.58,0.0,0,0,0,0,0,,0,0,0,,40,677,7,16.9
Jermaine Burton,Unknown,2023,Alabama,6.58,0.0,0,0,0,0,0,,0,0,0,,39,798,8,20.5
Tip Reiman,Unknown,2021,Illinois,4.61,0.0,0,0,0,0,0,,0,0,0,,3,43,1,14.3
Tip Reiman,Unknown,2022,Illinois,1.17,0.0,0,0,0,0,0,,0,0,0,,19,174,1,9.2
Tip Reiman,Unknown,2023,Illinois,3.84,0.0,0,0,0,0,0,,0,0,0,,19,203,3,10.7
Blake Corum,Unknown,2020,Michigan,3.25,0.0,0,0,0,0,0,,26,77,2,3.0,5,73,0,14.6
Blake Corum,Unknown,2021,Michigan,6.23,0.0,0,0,0,0,0,,143,952,11,6.7,24,141,1,5.9
Blake Corum,Unknown,2022,Michigan,2.73,0.0,0,0,0,0,0,,247,1463,18,5.9,11,80,1,7.3
Blake Corum,Unknown,2023,Michigan,5.61,0.0,0,0,0,0,0,,258,1245,27,4.8,16,117,1,7.3
Jalen McMillan,Unknown,2020,Washington,-5.89,0.0,0,0,0,0,0,,2,14,0,7.0,1,16,0,16.0
Jalen McMillan,Unknown,2021,Washington,-0.9,0.0,0,1,0,0,0,0.0,0,0,0,,39,470,3,12.1
Jalen McMillan,Unknown,2022,Washington,0.64,0.0,0,0,0,0,0,,1,2,0,2.0,79,1098,9,13.9
Jalen McMillan,Unknown,2023,Washington,7.83,0.0,1,2,9,0,0,87.8,3,30,1,10.0,45,559,5,12.4
Payton Wilson,Unknown,2019,North Carolina State,-0.91,0.0,0,0,0,0,0,,1,9,0,9.0,0,0,0,
Payton Wilson,Unknown,2023,North Carolina State,3.03,0.0,0,0,0,0,0,,1,3,0,3.0,0,0,0,
Luke McCaffrey,Unknown,2019,Nebraska,4.0,0.0,9,12,142,2,0,229.4,24,166,1,6.9,1,12,0,12.0
Luke McCaffrey,Unknown,2020,Nebraska,5.14,0.0,48,76,466,1,6,103.2,65,364,3,5.6,1,5,0,5.0
Luke McCaffrey,Unknown,2021,Rice,-1.52,0.0,31,62,313,2,4,90.1,41,132,2,3.2,0,0,0,
Luke McCaffrey,Unknown,2022,Rice,-3.75,0.0,0,0,0,0,0,,12,148,1,12.3,58,723,6,12.5
Luke McCaffrey,Unknown,2023,Rice,-3.02,0.0,0,2,0,0,0,0.0,15,117,0,7.8,71,992,13,14.0
Ja'Tavion Sanders,Unknown,2022,Texas,8.16,0.0,0,0,0,0,0,,0,0,0,,54,613,5,11.4
Ja'Tavion Sanders,Unknown,2023,Texas,6.61,0.0,0,0,0,0,0,,1,12,0,12.0,45,682,2,15.2
Troy Franklin,Unknown,2021,Oregon,1.93,0.0,0,0,0,0,0,,0,0,0,,18,209,2,11.6
Troy Franklin,Unknown,2022,Oregon,3.67,0.0,0,0,0,0,0,,0,0,0,,61,891,9,14.6
Troy Franklin,Unknown,2023,Oregon,3.3,0.0,0,0,0,0,0,,0,0,0,,81,1383,14,17.1
Theo Johnson,Unknown,2020,Penn State,3.99,0.0,0,0,0,0,0,,0,0,0,,4,56,0,14.0
Theo Johnson,Unknown,2021,Penn State,5.53,0.0,0,0,0,0,0,,0,0,0,,19,213,1,11.2
Theo Johnson,Unknown,2022,Penn State,4.02,0.0,0,0,0,0,0,,0,0,0,,20,328,4,16.4
Theo Johnson,Unknown,2023,Penn State,4.08,0.0,0,0,0,0,0,,0,0,0,,34,341,7,10.0
Javon Baker,Unknown,2020,Alabama,9.72,0.0,0,0,0,0,0,,0,0,0,,2,15,0,7.5
Javon Baker,Unknown,2021,Alabama,5.69,0.0,0,0,0,0,0,,0,0,0,,7,101,1,14.4
Javon Baker,Unknown,2022,UCF,0.74,0.0,0,0,0,0,0,,0,0,0,,56,796,5,14.2
