Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Keyarris Garrett*,Tulsa,American,13,96,1588,16.5,8,122.2,0,0,,0,0.0,96,1588,16.5,8,,keyarris-garrett-1
2,Roger Lewis*,Bowling Green,MAC,14,85,1544,18.2,16,110.3,0,0,,0,0.0,85,1544,18.2,16,,roger-lewis-1
3,Taywan Taylor*,Western Kentucky,CUSA,14,86,1467,17.1,17,104.8,7,-9,-1.3,0,-0.6,93,1458,15.7,17,,taywan-taylor-1
4,JuJu Smith-Schuster*,USC,Pac-12,14,89,1454,16.3,10,103.9,1,4,4.0,0,0.3,90,1458,16.2,10,,juju-smith-1
5,Corey Davis*,Western Michigan,MAC,13,90,1436,16.0,12,110.5,1,11,11.0,0,0.8,91,1447,15.9,12,,corey-davis-3
6,Thomas Sperbeck*,Boise State,MWC,13,88,1412,16.0,8,108.6,5,42,8.4,0,3.2,93,1454,15.6,8,,thomas-sperbeck-1
7,Michael Thomas*,Southern Mississippi,CUSA,13,71,1391,19.6,14,107.0,0,0,,0,0.0,71,1391,19.6,14,,michael-thomas-6
8,Daniel Braverman*,Western Michigan,MAC,13,109,1377,12.6,13,105.9,2,13,6.5,0,1.0,111,1390,12.5,13,,daniel-braverman-1
9,Corey Coleman*,Baylor,Big 12,12,74,1363,18.4,20,113.6,22,111,5.0,0,9.3,96,1474,15.4,20,AA,corey-coleman-1
10,Richie James*,Middle Tennessee State,CUSA,13,108,1346,12.5,8,103.5,12,146,12.2,1,11.2,120,1492,12.4,9,,richie-james-1
11,Josh Doctson*,TCU,Big 12,11,79,1327,16.8,14,120.6,1,6,6.0,0,0.5,80,1333,16.7,14,AA,josh-doctson-1
12,Tajae Sharpe,Massachusetts,MAC,12,111,1319,11.9,5,109.9,1,-3,-3.0,0,-0.3,112,1316,11.8,5,,tajae-sharpe-1
13,Sterling Shepard*,Oklahoma,Big 12,13,86,1288,15.0,11,99.1,1,5,5.0,0,0.4,87,1293,14.9,11,,sterling-shepard-1
14,Trent Taylor*,Louisiana Tech,CUSA,13,99,1282,12.9,9,98.6,0,0,,0,0.0,99,1282,12.9,9,,trent-taylor-2
15,Jakeem Grant*,Texas Tech,Big 12,13,90,1268,14.1,10,97.5,8,68,8.5,2,5.2,98,1336,13.6,12,,jakeem-grant-1
16,Aaron Burbridge*,Michigan State,Big Ten,14,85,1258,14.8,7,89.9,9,44,4.9,0,3.1,94,1302,13.9,7,,aaron-burbridge-1
17,William Fuller*,Notre Dame,Ind,13,62,1258,20.3,14,96.8,0,0,,0,0.0,62,1258,20.3,14,,william-fuller-2
