Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Clemson,ACC (Atlantic),15,0,1,8,0,1,44.3,13.1,26.45,5.19,2,1,1,
2,Alabama,SEC (West),14,1,0.933,8,0,1,45.6,18.1,25.29,6.63,1,1,2,
3,Ohio State,Big Ten (East),13,1,0.929,8,1,0.889,42.4,25.5,17.74,4.1,5,2,3,
4,Oklahoma,Big 12,12,2,0.857,8,1,0.889,48.4,33.3,18.06,6.14,7,4,4,
5,Notre Dame,Ind,12,1,0.923,,,,31.4,18.2,17.4,5.17,12,3,5,
6,LSU,SEC (West),10,3,0.769,5,3,0.625,32.4,21.8,15.2,5.67,25,4,6,
7,Florida,SEC (East),10,3,0.769,5,3,0.625,35,20,13.66,4.04,,7,7,
8,Georgia,SEC (East),11,3,0.786,7,1,0.875,37.9,19.2,20.69,6.33,3,2,7,
9,Texas,Big 12,10,4,0.714,7,2,0.778,31.1,25.9,11.15,6.3,23,6,9,
10,Washington State,Pac-12 (North),11,2,0.846,7,2,0.778,37.5,23.3,12.19,-0.04,,7,10,
11,UCF,American (East),12,1,0.923,8,0,1,43.2,22.7,14.53,-2.78,21,7,11,
12,Kentucky,SEC (East),10,3,0.769,5,3,0.625,26.6,16.8,12.06,4.37,,11,12,
13,Washington,Pac-12 (North),10,4,0.714,7,2,0.778,26.4,16.4,11.42,3.7,6,6,13,
14,Michigan,Big Ten (East),10,3,0.769,8,1,0.889,35.2,19.4,16.47,5.47,14,4,14,
15,Syracuse,ACC (Atlantic),10,3,0.769,6,2,0.75,40.2,27,12.14,1.3,,12,15,
16,Texas A&M,SEC (West),9,4,0.692,5,3,0.625,36,25.3,13.61,7.15,,16,16,
17,Penn State,Big Ten (East),9,4,0.692,6,3,0.667,33.8,20.5,12.32,4.86,10,8,17,
18,Fresno State,MWC (West),12,2,0.857,7,1,0.875,34.6,14.1,12.32,-3.04,,16,18,
19,Army,Ind,11,2,0.846,,,,32.8,17.7,7.27,-3.81,,19,19,
20,West Virginia,Big 12,8,4,0.667,6,3,0.667,40.3,27.2,12.6,3.85,17,6,20,
21,Northwestern,Big Ten (West),9,5,0.643,8,1,0.889,24.2,23.2,7.51,5.94,,20,21,
22,Utah State,MWC (Mountain),11,2,0.846,7,1,0.875,47.5,22.2,9.58,-5.88,,14,22,
23,Boise State,MWC (Mountain),10,3,0.769,7,1,0.875,35.4,22.1,8.69,-0.46,22,17,23,
24,Cincinnati,American (East),11,2,0.846,6,2,0.75,34.9,17.2,7.15,-3.93,,19,24,
25,Iowa,Big Ten (West),9,4,0.692,5,4,0.556,31.2,17.8,13.14,3.29,,18,25,
26,Texas State,Sun Belt (West),3,9,0.25,1,7,0.125,19.8,27.7,-14.5,-6.75,,,,
27,South Alabama,Sun Belt (West),3,9,0.25,2,6,0.25,24.2,38.8,-13.56,-2.39,,,,
28,Louisiana-Monroe,Sun Belt (West),6,6,0.5,4,4,0.5,26.6,31.8,-5.5,-4.42,,,,
29,Louisiana,Sun Belt (West),7,7,0.5,5,3,0.625,31.9,34.2,-2.46,-2.32,,,,
30,Arkansas State,Sun Belt (West),8,5,0.615,5,3,0.625,30.3,25.6,0.92,-4.69,,,,
31,Georgia State,Sun Belt (East),2,10,0.167,1,7,0.125,23.9,37.4,-14.41,-2.41,,,,
32,Coastal Carolina,Sun Belt (East),5,7,0.417,2,6,0.25,26.7,33.2,-9.17,-3.25,,,,
33,Georgia Southern,Sun Belt (East),10,3,0.769,6,2,0.75,30.5,21.5,3.8,-5.05,,,,
34,Troy,Sun Belt (East),10,3,0.769,7,1,0.875,30.7,22,3.05,-4.64,,,,
35,Appalachian State,Sun Belt (East),11,2,0.846,7,1,0.875,37.3,15.5,9.76,-4.78,,25,,
36,Arkansas,SEC (West),2,10,0.167,0,8,0,21.7,34.8,-4.63,4.96,,,,
37,Ole Miss,SEC (West),5,7,0.417,1,7,0.125,33.9,36.2,2.81,4.39,,,,
38,Auburn,SEC (West),8,5,0.615,3,5,0.375,30.9,19.2,10.76,5.6,9,7,,
39,Mississippi State,SEC (West),8,5,0.615,4,4,0.5,28.5,13.2,13.24,5.93,18,14,,
40,Tennessee,SEC (East),5,7,0.417,2,6,0.25,22.8,27.9,0.39,6.05,,,,
41,Vanderbilt,SEC (East),6,7,0.462,3,5,0.375,28.5,26.6,6.25,5.09,,,,
42,South Carolina,SEC (East),7,6,0.538,4,4,0.5,30.1,27.2,7.34,5.88,,24,,
43,Missouri,SEC (East),8,5,0.615,4,4,0.5,36.6,25.5,13.14,5.75,,24,,
44,Colorado,Pac-12 (South),5,7,0.417,2,7,0.222,27.1,27.3,-1.17,0.08,,19,,
45,UCLA,Pac-12 (South),3,9,0.25,3,6,0.333,24.6,34.1,-2.19,6.73,,,,
46,USC,Pac-12 (South),5,7,0.417,4,5,0.444,26.1,27,2.22,3.39,15,15,,
47,Arizona,Pac-12 (South),5,7,0.417,4,5,0.444,31.3,32.6,-0.57,0.76,,,,
48,Arizona State,Pac-12 (South),7,6,0.538,5,4,0.556,29.9,25.5,5.37,1.67,,23,,
49,Utah,Pac-12 (South),9,5,0.643,6,3,0.667,28.1,19.4,9.91,3.06,,16,,
50,Oregon State,Pac-12 (North),2,10,0.167,1,8,0.111,26.1,45.7,-10.86,3.56,,,,
51,California,Pac-12 (North),7,6,0.538,4,5,0.444,21.5,20.4,1.67,0.67,,24,,
52,Oregon,Pac-12 (North),9,4,0.692,5,4,0.556,34.8,25.4,6.67,-0.49,24,12,,
53,Stanford,Pac-12 (North),9,4,0.692,6,3,0.667,28.4,22.9,7.71,2.87,13,7,,
54,San Jose State,MWC (West),1,11,0.083,1,7,0.125,21.3,36.6,-12.93,-0.68,,,,
55,Nevada-Las Vegas,MWC (West),4,8,0.333,2,6,0.25,28.8,37.3,-9.98,-4.48,,,,
56,San Diego State,MWC (West),7,6,0.538,4,4,0.5,20.6,22.2,-3.32,-1.94,,,,
57,Hawaii,MWC (West),8,6,0.571,5,3,0.625,30.8,35.1,-6.13,-4.41,,,,
58,Nevada,MWC (West),8,5,0.615,5,3,0.625,31.1,26.9,-1.62,-3.78,,,,
59,New Mexico,MWC (Mountain),3,9,0.25,1,7,0.125,26.6,36.2,-11.3,-3.21,,,,
60,Colorado State,MWC (Mountain),3,9,0.25,2,6,0.25,22.8,36.8,-12.74,-2.49,,,,
61,Air Force,MWC (Mountain),5,7,0.417,3,5,0.375,30.3,25.8,-1.72,-3.8,,,,
62,Wyoming,MWC (Mountain),6,6,0.5,4,4,0.5,20.7,22,-3.45,-2.12,,,,
63,Central Michigan,MAC (West),1,11,0.083,0,8,0,15,27.3,-15.76,-4.18,,,,
64,Ball State,MAC (West),4,8,0.333,3,5,0.375,24.2,32.4,-10.49,-4.08,,,,
65,Western Michigan,MAC (West),7,6,0.538,5,3,0.625,32,34.5,-4.92,-3.31,,,,
66,Toledo,MAC (West),7,6,0.538,5,3,0.625,40.4,30.5,-0.7,-5,,,,
67,Eastern Michigan,MAC (West),7,6,0.538,5,3,0.625,27,22.1,-1.16,-4.85,,,,
68,Northern Illinois,MAC (West),8,6,0.571,6,2,0.75,20.1,22.6,-1.92,-0.92,,,,
69,Kent State,MAC (East),2,10,0.167,1,7,0.125,23.9,36.7,-15.05,-3.64,,,,
70,Bowling Green,MAC (East),3,9,0.25,2,6,0.25,24.3,40,-15.11,-4.11,,,,
71,Akron,MAC (East),4,8,0.333,2,6,0.25,18.9,27.2,-11.66,-3.33,,,,
72,Miami (OH),MAC (East),6,6,0.5,6,2,0.75,28.1,25.5,-0.73,-2.73,,,,
73,Ohio,MAC (East),9,4,0.692,6,2,0.75,40.1,24.6,4.51,-5.95,,,,
74,Buffalo,MAC (East),10,4,0.714,7,1,0.875,34.6,25.9,1.57,-5.29,,,,
75,BYU,Ind,7,6,0.538,,,,27.2,21.4,3.07,-0.94,,20,,
76,New Mexico State,Ind,3,9,0.25,,,,25.3,41.3,-17.59,-5.84,,,,
77,Massachusetts,Ind,4,8,0.333,,,,32.8,42.9,-11.06,-2.81,,,,
78,Liberty,Ind,6,6,0.5,,,,33.3,36.8,-9.12,-6.62,,,,
79,UTEP,CUSA (West),1,11,0.083,1,7,0.125,17.7,32.8,-22.88,-8.46,,,,
80,Rice,CUSA (West),2,11,0.154,1,7,0.125,18.9,36,-19.18,-5.03,,,,
81,UTSA,CUSA (West),3,9,0.25,2,6,0.25,14.2,31.2,-16.4,-4.4,,,,
82,Southern Mississippi,CUSA (West),6,5,0.545,5,3,0.625,26.2,19.8,-4.18,-7.36,,,,
83,Louisiana Tech,CUSA (West),8,5,0.615,5,3,0.625,24.7,23,-4.78,-6.7,,,,
84,North Texas,CUSA (West),9,4,0.692,5,3,0.625,34.6,24.2,0.58,-8.42,,,,
85,UAB,CUSA (West),11,3,0.786,7,1,0.875,29.9,17,1.99,-6.44,,,,
86,Western Kentucky,CUSA (East),3,9,0.25,2,6,0.25,21.1,27.8,-14.11,-6.78,,,,
87,Old Dominion,CUSA (East),4,8,0.333,2,6,0.25,30.8,35.9,-12.87,-6.79,,,,
