Rk,Coach,School,Conf,W,L,Pct,Notes
1,Dabo Swinney,Clemson,ACC,15,0,1.000,
2,Nick Saban,Alabama,SEC,14,1,.933,
3,Josh Heupel,UCF,American,12,1,.923,
4,Brian Kelly,Notre Dame,Ind,12,1,.923,
5,Lincoln Riley,Oklahoma,Big 12,12,2,.857,
6,Jeff Tedford,Fresno State,MWC,12,2,.857,
7,Luke Fickell,Cincinnati,American,11,2,.846,
8,Mike Leach,Washington State,Pac-12,11,2,.846,
9,Jeff Monken,Army,Ind,11,2,.846,
10,Bill Clark,UAB,CUSA,11,3,.786,
11,Kirby Smart,Georgia,SEC,11,3,.786,
12,Urban Meyer,Ohio State,Big Ten,10,1,.909,
13,Scott Satterfield,Appalachian State,Sun Belt,10,2,.833,
14,Matt Wells,Utah State,MWC,10,2,.833,
15,Dino Babers,Syracuse,ACC,10,3,.769,
16,Neal Brown,Troy,Sun Belt,10,3,.769,
17,Jim Harbaugh,Michigan,Big Ten,10,3,.769,
18,Bryan Harsin,Boise State,MWC,10,3,.769,
19,Chad Lunsford,Georgia Southern,Sun Belt,10,3,.769,
20,Dan Mullen,Florida,SEC,10,3,.769,
21,Ed Orgeron,LSU,SEC,10,3,.769,
22,Mark Stoops,Kentucky,SEC,10,3,.769,
23,Tom Herman,Texas,Big 12,10,4,.714,
24,Lance Leipold,Buffalo,MAC,10,4,.714,
25,Chris Petersen,Washington,Pac-12,10,4,.714,
26,Mario Cristobal,Oregon,Pac-12,9,4,.692,
27,Butch Davis,Florida International,CUSA,9,4,.692,
28,Dave Doeren,North Carolina State,ACC,9,4,.692,
29,Kirk Ferentz,Iowa,Big Ten,9,4,.692,
30,Jimbo Fisher,Texas A&M,SEC,9,4,.692,
31,James Franklin,Penn State,Big Ten,9,4,.692,
32,Doc Holliday,Marshall,CUSA,9,4,.692,
33,Seth Littrell,North Texas,CUSA,9,4,.692,
34,David Shaw,Stanford,Pac-12,9,4,.692,
35,Frank Solich,Ohio,MAC,9,4,.692,
36,Pat Fitzgerald,Northwestern,Big Ten,9,5,.643,
37,Kyle Whittingham,Utah,Pac-12,9,5,.643,
38,Geoff Collins,Temple,American,8,4,.667,
39,Dana Holgorsen,West Virginia,Big 12,8,4,.667,
40,Blake Anderson,Arkansas State,Sun Belt,8,5,.615,
41,Major Applewhite,Houston,American,8,5,.615,
42,Matt Campbell,Iowa State,Big 12,8,5,.615,
43,Paul Chryst,Wisconsin,Big Ten,8,5,.615,
44,David Cutcliffe,Duke,ACC,8,5,.615,
45,Skip Holtz,Louisiana Tech,CUSA,8,5,.615,
46,Gus Malzahn,Auburn,SEC,8,5,.615,
47,Bronco Mendenhall,Virginia,ACC,8,5,.615,
48,Joe Moorhead,Mississippi State,SEC,8,5,.615,
49,Jay Norvell,Nevada,MWC,8,5,.615,
50,Barry Odom,Missouri,SEC,8,5,.615,
51,Rod Carey,Northern Illinois,MAC,8,6,.571,
52,Mike Norvell,Memphis,American,8,6,.571,
53,Nick Rolovich,Hawaii,MWC,8,6,.571,
54,Rick Stockstill,Middle Tennessee State,CUSA,8,6,.571,
55,Steve Addazio,Boston College,ACC,7,5,.583,
56,Jason Candle,Toledo,MAC,7,6,.538,
57,Dave Clawson,Wake Forest,ACC,7,6,.538,
58,Chris Creighton,Eastern Michigan,MAC,7,6,.538,
59,Mark Dantonio,Michigan State,Big Ten,7,6,.538,
60,Herm Edwards,Arizona State,Pac-12,7,6,.538,
61,P.J. Fleck,Minnesota,Big Ten,7,6,.538,
62,Willie Fritz,Tulane,American,7,6,.538,
63,Mike Gundy,Oklahoma State,Big 12,7,6,.538,
64,Paul Johnson,Georgia Tech,ACC,7,6,.538,
65,Tim Lester,Western Michigan,MAC,7,6,.538,
66,Rocky Long,San Diego State,MWC,7,6,.538,
67,Will Muschamp,South Carolina,SEC,7,6,.538,
68,Gary Patterson,TCU,Big 12,7,6,.538,
69,Matt Rhule,Baylor,Big 12,7,6,.538,
70,Mark Richt,Miami (FL),ACC,7,6,.538,
71,Kalani Sitake,Brigham Young,Ind,7,6,.538,
72,Charlie Strong,South Florida,American,7,6,.538,
73,Justin Wilcox,California,Pac-12,7,6,.538,
74,Billy Napier,Louisiana,Sun Belt,7,7,.500,
75,Pat Narduzzi,Pitt,ACC,7,7,.500,
76,Jay Hopson,Southern Mississippi,CUSA,6,5,.545,
77,Craig Bohl,Wyoming,MWC,6,6,.500,
78,Turner Gill,Liberty,,6,6,.500,
79,Chuck Martin,Miami (OH),MAC,6,6,.500,
80,Matt Viator,Louisiana-Monroe,Sun Belt,6,6,.500,
81,Jeff Brohm,Purdue,Big Ten,6,7,.462,
82,Justin Fuente,Virginia Tech,ACC,6,7,.462,
83,Derek Mason,Vanderbilt,SEC,6,7,.462,
84,Mike MacIntyre,Colorado,Pac-12,5,6,.455,
85,Tom Allen,Indiana,Big Ten,5,7,.417,
86,Troy Calhoun,Air Force,MWC,5,7,.417,
87,Matt Canada,Maryland,Big Ten,5,7,.417,
88,Sonny Dykes,SMU,American,5,7,.417,
89,Clay Helton,USC,Pac-12,5,7,.417,
90,Lane Kiffin,Florida Atlantic,CUSA,5,7,.417,
91,Kliff Kingsbury,Texas Tech,Big 12,5,7,.417,
92,Brad Lambert,Charlotte,CUSA,5,7,.417,
93,Matt Luke,Ole Miss,SEC,5,7,.417,
94,Joe Moglia,Coastal Carolina,Sun Belt,5,7,.417,
95,Jeremy Pruitt,Tennessee,SEC,5,7,.417,
96,Bill Snyder,Kansas State,Big 12,5,7,.417,
97,Kevin Sumlin,Arizona,Pac-12,5,7,.417,
98,Willie Taggart,Florida State,ACC,5,7,.417,
99,Terry Bowden,Akron,MAC,4,8,.333,
100,Scott Frost,Nebraska,Big Ten,4,8,.333,
101,Mike Neu,Ball State,MAC,4,8,.333,
102,Tony Sanchez,UNLV,MWC,4,8,.333,
103,Lovie Smith,Illinois,Big Ten,4,8,.333,
104,Mark Whipple,Massachusetts,Ind,4,8,.333,
105,Bobby Wilder,Old Dominion,CUSA,4,8,.333,
106,Ryan Day,Ohio State,Big Ten,3,0,1.000,
107,Scottie Montgomery,East Carolina,American,3,8,.273,
108,Everett Withers,Texas State,Sun Belt,3,8,.273,
109,David Beaty,Kansas,Big 12,3,9,.250,
110,Mike Bobo,Colorado State,MWC,3,9,.250,
111,Steve Campbell,South Alabama,Sun Belt,3,9,.250,
112,Bob Davie,New Mexico,MWC,3,9,.250,
113,Chip Kelly,UCLA,Pac-12,3,9,.250,
114,Doug Martin,New Mexico State,,3,9,.250,
115,Philip Montgomery,Tulsa,American,3,9,.250,
116,Mike Sanford Jr.,Western Kentucky,CUSA,3,9,.250,
117,Frank Wilson,UTSA,CUSA,3,9,.250,
118,Ken Niumatalolo,Navy,American,3,10,.231,
119,Carl Pelini,Bowling Green State,MAC,2,3,.400,
120,Bobby Petrino,Louisville,ACC,2,8,.200,
121,Larry Fedora,North Carolina,ACC,2,9,.182,
122,Shawn Elliott,Georgia State,Sun Belt,2,10,.167,
123,Sean Lewis,Kent State,MAC,2,10,.167,
124,Chad Morris,Arkansas,SEC,2,10,.167,
125,Jonathan Smith,Oregon State,Pac-12,2,10,.167,
126,Mike Bloomgren,Rice,CUSA,2,11,.154,
127,Mark Ivey,Appalachian State,Sun Belt,1,0,1.000,
128,Frank Maile,Utah State,MWC,1,0,1.000,
129,Mike Jinks,Bowling Green State,MAC,1,6,.143,
130,Chris Ash,Rutgers,Big Ten,1,11,.083,
131,John Bonamego,Central Michigan,MAC,1,11,.083,
132,Brent Brennan,San Jose State,MWC,1,11,.083,
133,Dana Dimel,UTEP,CUSA,1,11,.083,
134,Randy Edsall,Connecticut,American,1,11,.083,
135,David Blackwell,East Carolina,American,0,1,.000,
136,Ed Foley,Temple,American,0,1,.000,
137,Kurt Roper,Colorado,Pac-12,0,1,.000,
138,Lorenzo Ward,Louisville,ACC,0,2,.000,
139,Chris Woods,Texas State,Sun Belt,0,1,.000,
