Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Bailey Zappe*,Western Kentucky,CUSA,14,475,687,69.1,5967,62,9.0,11,1.6,8.7,9.77,12.6,426.2,168.7,,bailey-zappe-1
2,Bryce Young*,Alabama,SEC,15,366,547,66.9,4872,47,8.6,7,1.3,8.9,10.05,13.3,324.8,167.5,HMaxwellAA,bryce-young-1
3,Will Rogers*,Mississippi State,SEC,13,505,683,73.9,4739,36,5.3,9,1.3,6.9,7.40,9.4,364.5,147.0,,will-rogers-1
4,Brennan Armstrong,Virginia,ACC,11,326,500,65.2,4449,31,6.2,10,2.0,8.9,9.24,13.6,404.5,156.4,,brennan-armstrong-1
5,C.J. Stroud*,Ohio State,Big Ten,12,317,441,71.9,4435,44,10.0,6,1.4,10.1,11.44,14.0,369.6,186.6,H-4,cj-stroud-1
6,Kenny Pickett*,Pitt,ACC,13,334,497,67.2,4319,42,8.5,7,1.4,8.7,9.75,12.9,332.2,165.3,H-3,kenny-pickett-1
7,Sam Hartman*,Wake Forest,ACC,14,299,508,58.9,4228,39,7.7,14,2.8,8.3,8.62,14.1,302.0,148.6,,sam-hartman-1
8,Carson Strong*,Nevada,MWC,12,366,523,70.0,4175,36,6.9,8,1.5,8.0,8.67,11.4,347.9,156.7,,carson-strong-1
9,Jake Haener*,Fresno State,MWC,13,329,490,67.1,4096,33,6.7,9,1.8,8.4,8.88,12.4,315.1,155.9,,jake-haener-1
10,Taulia Tagovailoa*,Maryland,Big Ten,13,328,474,69.2,3860,26,5.5,11,2.3,8.1,8.20,11.8,296.9,151.1,,taulia-tagovailoa-1
11,Aidan O'Connell*,Purdue,Big Ten,12,315,439,71.8,3712,28,6.4,11,2.5,8.5,8.60,11.8,309.3,158.8,,aidan-oconnell-1
12,Logan Bonner*,Utah State,MWC,14,263,430,61.2,3628,36,8.4,12,2.8,8.4,8.86,13.8,259.1,154.1,,logan-bonner-1
13,Tanner Mordecai,SMU,American,12,308,454,67.8,3628,39,8.6,12,2.6,8.0,8.52,11.8,302.3,158.0,,tanner-mordecai-1
