Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Mason Rudolph*,Oklahoma State,Big 12,13,318,489,65.0,4904,37,7.6,9,1.8,10.0,10.71,15.4,377.2,170.6,H-7,mason-rudolph-1
2,Baker Mayfield*,Oklahoma,Big 12,14,285,404,70.5,4627,43,10.6,6,1.5,11.5,12.91,16.2,330.5,198.9,HMaxwellAA,baker-mayfield-1
3,Riley Ferguson*,Memphis,American,13,299,474,63.1,4257,38,8.0,9,1.9,9.0,9.73,14.2,327.5,161.2,,riley-ferguson-1
4,Mike White*,Western Kentucky,CUSA,13,368,560,65.7,4177,26,4.6,8,1.4,7.5,7.74,11.4,321.3,140.8,,mike-white-6
5,Sam Darnold*,USC,Pac-12,14,303,480,63.1,4143,26,5.4,13,2.7,8.6,8.50,13.7,295.9,148.1,,sam-darnold-1
6,Mason Fine*,North Texas,CUSA,14,324,511,63.4,4052,31,6.1,15,2.9,7.9,7.82,12.5,289.4,144.2,,mason-fine-1
7,McKenzie Milton*,UCF,American,13,265,395,67.1,4037,37,9.4,9,2.3,10.2,11.07,15.2,310.5,179.3,H-8,mckenzie-milton-1
8,Tyler Rogers*,New Mexico State,Sun Belt,12,348,566,61.5,4016,27,4.8,18,3.2,7.1,6.62,11.5,334.7,130.5,,tyler-rogers-1
9,Justice Hansen*,Arkansas State,Sun Belt,12,305,487,62.6,3967,37,7.6,16,3.3,8.1,8.19,13.0,330.6,149.6,,justice-hansen-1
10,Drew Lock*,Missouri,SEC,13,242,419,57.8,3964,44,10.5,13,3.1,9.5,10.16,16.4,304.9,165.7,,drew-lock-1
11,Nic Shimonek*,Texas Tech,Big 12,13,328,493,66.5,3963,33,6.7,10,2.0,8.0,8.46,12.1,304.8,152.1,,nic-shimonek-1
12,Logan Woodside*,Toledo,MAC,14,264,411,64.2,3882,28,6.8,8,1.9,9.4,9.93,14.7,277.3,162.2,,logan-woodside-1
13,Nick Stevens*,Colorado State,MWC,13,284,459,61.9,3799,29,6.3,10,2.2,8.3,8.56,13.4,292.2,147.9,,nick-stevens-1
14,Josh Rosen*,UCLA,Pac-12,11,283,452,62.6,3756,26,5.8,10,2.2,8.3,8.46,13.3,341.5,147.0,,josh-rosen-1
15,Lamar Jackson*,Louisville,ACC,13,254,430,59.1,3660,27,6.3,10,2.3,8.5,8.72,14.4,281.5,146.6,H-3,lamar-jackson-1
16,Luke Falk*,Washington State,Pac-12,12,357,534,66.9,3593,30,5.6,13,2.4,6.7,6.76,10.1,299.4,137.0,,luke-falk-1
17,Trace McSorley*,Penn State,Big Ten,13,284,427,66.5,3570,28,6.6,10,2.3,8.4,8.62,12.6,274.6,153.7,,trace-mcsorley-1
18,Ben Hicks*,SMU,American,13,276,472,58.5,3569,33,7.0,12,2.5,7.6,7.82,12.9,274.5,140.0,,ben-hicks-1
19,Ryan Finley*,North Carolina State,ACC,13,312,479,65.1,3518,17,3.5,6,1.3,7.3,7.49,11.3,270.6,136.0,,ryan-finley-1
20,Will Grier*,West Virginia,Big 12,11,250,388,64.4,3490,34,8.8,12,3.1,9.0,9.36,14.0,317.3,162.7,,will-grier-1
21,Brandon Silvers*,Troy,Sun Belt,13,283,443,63.9,3290,17,3.8,7,1.6,7.4,7.48,11.6,253.1,135.8,,brandon-silvers-2
22,Manny Wilkins*,Arizona State,Pac-12,13,260,410,63.4,3270,20,4.9,8,2.0,8.0,8.07,12.6,251.5,142.6,,manny-wilkins-1
23,Shane Morris*,Central Michigan,MAC,13,249,446,55.8,3237,27,6.1,17,3.8,7.3,6.75,13.0,249.0,129.1,,shane-morris-1
24,Kurt Benkert*,Virginia,ACC,13,298,509,58.5,3207,25,4.9,9,1.8,6.3,6.49,10.8,246.7,124.1,,kurt-benkert-1
25,John Wolford*,Wake Forest,ACC,12,239,374,63.9,3192,29,7.8,6,1.6,8.5,9.36,13.4,266.0,158.0,,john-wolford-1
26,Jarrett Stidham*,Auburn,SEC,14,246,370,66.5,3158,18,4.9,6,1.6,8.5,8.78,12.8,225.6,151.0,,jarrett-stidham-1
27,Kenny Hill*,Texas Christian,Big 12,13,269,400,67.3,3152,23,5.8,8,2.0,7.9,8.13,11.7,242.5,148.4,,kenny-hill-1
28,Conner Manning*,Georgia State,Sun Belt,12,259,403,64.3,3146,14,3.5,7,1.7,7.8,7.72,12.1,262.2,137.8,,conner-manning-1
29,Tanner Lee,Nebraska,Big Ten,12,246,428,57.5,3143,23,5.4,16,3.7,7.3,6.74,12.8,261.9,129.4,,tanner-lee-1
30,Malik Rosier*,Miami (FL),ACC,13,224,415,54.0,3120,26,6.3,14,3.4,7.5,7.25,13.9,240.0,131.1,,malik-rosier-1
31,Chase Litton*,Marshall,CUSA,13,266,443,60.0,3115,25,5.6,14,3.2,7.0,6.74,11.7,239.6,131.4,,chase-litton-1
32,J.T. Barrett*,Ohio State,Big Ten,14,240,371,64.7,3053,35,9.4,9,2.4,8.2,9.02,12.7,218.1,160.1,,jt-barrett-1
33,Ross Bowers,California,Pac-12,12,272,461,59.0,3039,18,3.9,12,2.6,6.6,6.20,11.2,253.3,122.1,,ross-bowers-1
34,Josh Jackson*,Virginia Tech,ACC,13,236,396,59.6,2991,20,5.1,9,2.3,7.6,7.54,12.7,230.1,135.2,,josh-jackson-3
35,Steven Montez,Colorado,Pac-12,12,228,377,60.5,2975,18,4.8,9,2.4,7.9,7.77,13.0,247.9,137.7,,steven-montez-1
36,J'mar Smith*,Louisiana Tech,CUSA,13,229,409,56.0,2974,16,3.9,5,1.2,7.3,7.50,13.0,228.8,127.5,,jmar-smith-1
37,Andrew Ford,Massachusetts,Ind,11,223,353,63.2,2924,22,6.2,4,1.1,8.3,9.02,13.1,265.8,151.1,,andrew-ford-1
38,Quinton Flowers*,South Florida,American,12,188,354,53.1,2911,25,7.1,6,1.7,8.2,8.87,15.5,242.6,142.1,,quinton-flowers-1
39,Brogan Roback,Eastern Michigan,MAC,12,245,409,59.9,2890,19,4.6,15,3.7,7.1,6.34,11.8,240.8,127.3,,brogan-roback-1
40,Brett Rypien*,Boise State,MWC,13,218,348,62.6,2877,16,4.6,6,1.7,8.3,8.41,13.2,221.3,143.8,,brett-rypien-1
41,Caleb Evans,Louisiana-Monroe,Sun Belt,12,211,344,61.3,2868,17,4.9,6,1.7,8.3,8.54,13.6,239.0,144.2,,caleb-evans-2
42,Clayton Thorson*,Northwestern,Big Ten,13,262,434,60.4,2844,15,3.5,12,2.8,6.6,6.00,10.9,218.8,121.3,,clayton-thorson-1
43,Kyle Shurmur,Vanderbilt,SEC,12,220,380,57.9,2823,26,6.8,10,2.6,7.4,7.61,12.8,235.3,137.6,,kyle-shurmur-1
44,Kelly Bryant*,Clemson,ACC,14,262,398,65.8,2802,13,3.3,8,2.0,7.0,6.79,10.7,200.1,131.7,,kelly-bryant-1
45,Alex McGough*,Florida International,CUSA,13,232,355,65.4,2798,17,4.8,8,2.3,7.9,7.83,12.1,215.2,142.9,,alex-mcgough-1
46,Jake Bentley*,South Carolina,SEC,13,245,394,62.2,2794,18,4.6,12,3.0,7.1,6.63,11.4,214.9,130.7,,jake-bentley-2
47,Brian Lewerke*,Michigan State,Big Ten,13,246,417,59.0,2793,20,4.8,7,1.7,6.7,6.90,11.4,214.8,127.7,,brian-lewerke-1
48,Dru Brown,Hawaii,MWC,12,254,412,61.7,2785,18,4.4,8,1.9,6.8,6.76,11.0,232.1,129.0,,dru-brown-1
49,Ty Gangi,Nevada,MWC,10,228,374,61.0,2746,25,6.7,11,2.9,7.3,7.36,12.0,274.6,138.8,,ty-gangi-1
50,Taylor Lamb*,Appalachian State,Sun Belt,13,206,337,61.1,2737,27,8.0,6,1.8,8.1,8.92,13.3,210.5,152.2,,taylor-lamb-1
51,Marcus McMaryion*,Fresno State,MWC,14,218,351,62.1,2726,14,4.0,5,1.4,7.8,7.92,12.5,194.7,137.7,,marcus-mcmaryion-1
52,Jake Browning*,Washington,Pac-12,13,230,336,68.5,2719,19,5.7,5,1.5,8.1,8.55,11.8,209.2,152.1,,jake-browning-1
53,Daniel Jones*,Duke,ACC,13,257,453,56.7,2691,14,3.1,11,2.4,5.9,5.47,10.5,207.0,112.0,,daniel-jones-4
54,Alex Hornibrook*,Wisconsin,Big Ten,14,198,318,62.3,2644,25,7.9,15,4.7,8.3,7.76,13.4,188.9,148.6,,alex-hornibrook-1
55,Jake Fromm*,Georgia,SEC,15,181,291,62.2,2615,24,8.2,7,2.4,9.0,9.55,14.4,174.3,160.1,,jake-fromm-1
56,Hayden Moore,Cincinnati,American,12,239,424,56.4,2562,20,4.7,9,2.1,6.0,6.03,10.7,213.5,118.4,,hayden-moore-1
57,Eric Dungey,Syracuse,ACC,9,225,377,59.7,2495,14,3.7,9,2.4,6.6,6.29,11.1,277.2,122.8,,eric-dungey-1
58,Danny Etling*,LSU,SEC,13,165,275,60.0,2463,16,5.8,2,0.7,9.0,9.79,14.9,189.5,153.0,,danny-etling-1
59,Nathan Stanley*,Iowa,Big Ten,13,196,351,55.8,2437,26,7.4,6,1.7,6.9,7.66,12.4,187.5,135.2,,nathan-stanley-2
60,Tyler Huntley*,Utah,Pac-12,10,199,312,63.8,2411,15,4.8,10,3.2,7.7,7.25,12.1,241.1,138.1,,tyler-huntley-1
61,A.J. Erdely*,UAB,CUSA,13,205,338,60.7,2331,16,4.7,4,1.2,6.9,7.31,11.4,179.3,131.8,,aj-erdely-1
62,Stephen Johnson*,Kentucky,SEC,13,189,316,59.8,2305,10,3.2,6,1.9,7.3,7.07,12.2,177.3,127.7,,stephen-johnson-8
63,Bryant Shirreffs,Connecticut,American,9,171,260,65.8,2287,14,5.4,5,1.9,8.8,9.01,13.4,254.1,153.6,,bryant-shirreffs-1
64,Shea Patterson,Ole Miss,SEC,7,166,260,63.8,2259,17,6.5,9,3.5,8.7,8.44,13.6,322.7,151.5,,shea-patterson-1
65,Jason Driskel*,Florida Atlantic,CUSA,13,185,278,66.5,2247,15,5.4,4,1.4,8.1,8.51,12.1,172.8,149.4,,jason-driskel-1
66,James Blackman*,Florida State,ACC,13,173,297,58.2,2230,19,6.4,11,3.7,7.5,7.12,12.9,171.5,135.0,,james-blackman-1
67,Nathan Rourke*,Ohio,MAC,13,161,292,55.1,2203,17,5.8,7,2.4,7.5,7.63,13.7,169.5,132.9,,nathan-rourke-1
68,Dalton Sturm,UTSA,CUSA,11,185,297,62.3,2185,15,5.1,5,1.7,7.4,7.61,11.8,198.6,137.4,,dalton-sturm-1
69,Gardner Minshew,East Carolina,American,10,174,304,57.2,2140,16,5.3,7,2.3,7.0,7.06,12.3,214.0,129.1,,gardner-minshew-1
70,Elijah Sindelar*,Purdue,Big Ten,12,187,329,56.8,2099,18,5.5,7,2.1,6.4,6.52,11.2,174.9,124.2,,elijah-sindelar-1
71,Tyree Jackson,Buffalo,MAC,9,143,237,60.3,2096,12,5.1,3,1.3,8.8,9.29,14.7,232.9,148.8,,tyree-jackson-1
72,Jalen Hurts*,Alabama,SEC,14,154,254,60.6,2081,17,6.7,1,0.4,8.2,9.35,13.5,148.6,150.7,,jalen-hurts-1
73,Damian Williams,Texas State,Sun Belt,12,194,333,58.3,2061,12,3.6,9,2.7,6.2,5.69,10.6,171.8,116.7,,damian-williams-3
74,Matt Linehan,Idaho,Sun Belt,9,173,281,61.6,2056,16,5.7,4,1.4,7.3,7.81,11.9,228.4,139.0,,matt-linehan-1
75,Gus Ragland,Miami (OH),MAC,9,150,268,56.0,2032,19,7.1,7,2.6,7.6,7.82,13.5,225.8,137.8,,gus-ragland-1
76,Justin Herbert*,Oregon,Pac-12,8,139,206,67.5,1983,15,7.3,5,2.4,9.6,9.99,14.3,247.9,167.5,,justin-herbert-1
77,Richard Lagow,Indiana,Big Ten,10,172,295,58.3,1936,15,5.1,8,2.7,6.6,6.36,11.3,193.6,124.8,,richard-lagow-1
78,Sam Ehlinger*,Texas,Big 12,9,158,275,57.5,1915,11,4.0,7,2.5,7.0,6.62,12.1,212.8,124.1,,sam-ehlinger-1
79,Kwadra Griggs*,Southern Mississippi,CUSA,10,148,265,55.8,1879,16,6.0,2,0.8,7.1,7.96,12.7,187.9,133.8,,kwadra-griggs-1
80,Christian Chapman*,San Diego State,MWC,13,146,243,60.1,1873,13,5.3,4,1.6,7.7,8.04,12.8,144.1,139.2,,christian-chapman-1
81,Brandon Wimbush*,Notre Dame,Ind,12,136,275,49.5,1870,16,5.8,6,2.2,6.8,6.98,13.8,155.8,121.4,,brandon-wimbush-1
82,Josh Allen*,Wyoming,MWC,11,152,270,56.3,1812,16,5.9,6,2.2,6.7,6.90,11.9,164.7,127.8,,josh-allen-7
83,Jonathan Banks,Tulane,American,11,124,219,56.6,1797,12,5.5,5,2.3,8.2,8.27,14.5,163.4,139.1,,jonathan-banks-1
84,Nick Starkel*,Texas A&M,SEC,7,123,205,60.0,1793,14,6.8,6,2.9,8.7,8.80,14.6,256.1,150.2,,nick-starkel-1
85,Kyle Kempt*,Iowa State,Big 12,9,161,243,66.3,1787,15,6.2,3,1.2,7.4,8.03,11.1,198.6,145.9,,kyle-kempt-1
