Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Jordan Jenkins,OLB,2022,Baylor,4.96,28.0,0,0,0,0,0,,3,8,0,2.7,0,0,0,
Jordan Jenkins,OLB,2023,Baylor,3.72,28.0,0,0,0,0,0,,2,19,0,9.5,0,0,0,
Anthony Brown,CB,2017,Boston College,7.08,23.0,134,258,1367,11,9,103.5,42,210,1,5.0,1,25,1,25.0
Anthony Brown,CB,2018,Boston College,1.78,23.0,158,285,2121,20,9,134.8,54,85,1,1.6,2,36,1,18.0
Anthony Brown,CB,2019,Boston College,1.17,23.0,81,137,1250,9,2,154.5,33,128,2,3.9,1,30,1,30.0
Anthony Brown,CB,2020,Oregon,-1.77,23.0,15,23,164,2,0,153.8,7,40,2,5.7,0,0,0,
Anthony Brown,CB,2021,Oregon,1.93,23.0,250,390,2989,18,7,140.1,151,658,9,4.4,0,0,0,
Anthony Brown,CB,2023,Kentucky,2.5,23.0,0,0,0,0,0,,0,0,0,,5,44,1,8.8
Anthony Brown,CB,2015,Purdue,4.41,23.0,0,0,0,0,0,,1,39,0,39.0,0,0,0,
Greg Gaines,DL,2022,Iowa State,6.37,13.0,0,0,0,0,0,,0,0,0,,1,2,0,2.0
Greg Gaines,DL,2023,Iowa State,4.2,13.0,0,0,0,0,0,,0,0,0,,2,12,0,6.0
Jake Bailey,P,2017,Stanford,4.92,7.0,0,0,0,0,0,,1,17,0,17.0,0,0,0,
Jake Bailey,P,2019,Rice,-3.21,7.0,0,0,0,0,0,,0,0,0,,9,53,0,5.9
Jake Bailey,P,2020,Rice,-7.97,7.0,0,0,0,0,0,,2,16,0,8.0,23,276,2,12.0
Jake Bailey,P,2021,Rice,-1.52,7.0,0,0,0,0,0,,1,14,0,14.0,56,714,2,12.8
Jake Bailey,P,2022,SMU,1.39,7.0,0,0,0,0,0,,0,0,0,,12,205,1,17.1
Jake Bailey,P,2023,SMU,-4.45,7.0,0,0,0,0,0,,1,10,0,10.0,42,528,0,12.6
Joe Jackson,DL,2023,Kansas State,5.09,0.0,0,0,0,0,0,,4,1,0,0.3,0,0,0,
Nick Harris,OL,2023,Connecticut,-2.67,4.0,0,0,0,0,0,,0,0,0,,1,4,1,4.0
Carlos Davis,DL,2018,South Alabama,-2.39,1.0,0,0,0,0,0,,3,11,0,3.7,0,0,0,
Carlos Davis,DL,2019,South Alabama,-1.44,1.0,0,0,0,0,0,,60,261,2,4.4,6,43,0,7.2
Carlos Davis,DL,2020,South Alabama,-3.64,1.0,0,0,0,0,0,,164,674,3,4.1,11,104,0,9.5
Carlos Davis,DL,2023,Massachusetts,-2.15,1.0,62,101,886,6,3,148.7,20,19,0,1.0,0,0,0,
Cole Turner,TE,2018,Nevada,-3.78,1.0,0,0,0,0,0,,0,0,0,,2,37,1,18.5
Cole Turner,TE,2019,Nevada,-4.8,1.0,0,0,0,0,0,,0,0,0,,4,51,0,12.8
Cole Turner,TE,2020,Nevada,-7.1,1.0,0,0,0,0,0,,0,0,0,,49,605,9,12.3
Cole Turner,TE,2021,Nevada,-1.99,1.0,0,0,0,0,0,,0,0,0,,62,677,10,10.9
Cole Turner,TE,2022,Clemson,3.3,1.0,0,0,0,0,0,,0,0,0,,8,161,0,20.1
Cole Turner,TE,2023,Clemson,3.28,1.0,0,0,0,0,0,,0,0,0,,3,28,0,9.3
Michael Penix Jr.,QB,2018,Indiana,5.61,0.0,21,34,219,1,0,125.6,7,45,0,6.4,0,0,0,
Michael Penix Jr.,QB,2019,Indiana,1.49,0.0,110,160,1394,10,4,157.6,22,119,2,5.4,0,0,0,
Michael Penix Jr.,QB,2020,Indiana,4.46,0.0,124,220,1645,14,4,136.5,18,25,2,1.4,0,0,0,
Michael Penix Jr.,QB,2021,Indiana,8.63,0.0,87,162,939,4,7,101.9,17,-24,2,-1.4,0,0,0,
