Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Rome Odunze*,Washington,Pac-12,15,92,1640,17.8,13,109.3,2,37,18.5,1,2.5,94,1677,17.8,14,AA,rome-odunze-1
2,Malik Nabers*,LSU,SEC,13,89,1569,17.6,14,120.7,1,1,1.0,0,0.1,90,1570,17.4,14,AA,malik-nabers-1
3,Ricky White*,Nevada-Las Vegas,MWC,14,88,1483,16.9,8,105.9,1,1,1.0,0,0.1,89,1484,16.7,8,,ricky-white-2
4,Malik Washington,Virginia,ACC,12,110,1426,13.0,9,118.8,3,7,2.3,0,0.6,113,1433,12.7,9,,malik-washington-1
5,Tetairoa McMillan*,Arizona,Pac-12,13,90,1402,15.6,10,107.8,1,3,3.0,0,0.2,91,1405,15.4,10,,tetairoa-mcmillan-1
6,Troy Franklin*,Oregon,Pac-12,13,81,1383,17.1,14,106.4,0,0,,0,0.0,81,1383,17.1,14,,troy-franklin-2
7,Caullin Lacy*,South Alabama,Sun Belt,12,91,1316,14.5,7,109.7,0,0,,0,0.0,91,1316,14.5,7,,caullin-lacy-1
8,Xavier Legette,South Carolina,SEC,12,71,1255,17.7,7,104.6,9,-9,-1.0,0,-0.8,80,1246,15.6,7,,xavier-legette-1
9,Luther Burden*,Missouri,SEC,13,86,1212,14.1,9,93.2,7,31,4.4,0,2.4,93,1243,13.4,9,,luther-burden-1
10,Marvin Harrison Jr.*,Ohio State,Big Ten,12,67,1211,18.1,14,100.9,2,26,13.0,1,2.2,69,1237,17.9,15,H-4AA,marvin-harrison-jr-1
11,Elijah Sarratt*,James Madison,Sun Belt,13,82,1191,14.5,8,91.6,1,1,1.0,1,0.1,83,1192,14.4,9,,elijah-sarratt-1
12,Tez Johnson*,Oregon,Pac-12,14,86,1182,13.7,10,84.4,0,0,,0,0.0,86,1182,13.7,10,,tez-johnson-1
13,Brian Thomas Jr.*,LSU,SEC,13,68,1177,17.3,17,90.5,1,-6,-6.0,0,-0.5,69,1171,17.0,17,,brian-thomas-jr-1
14,LaJohntay Wester,Florida Atlantic,American,12,108,1168,10.8,8,97.3,8,44,5.5,1,3.7,116,1212,10.4,9,,lajohntay-wester-1
15,Ja'lynn Polk*,Washington,Pac-12,15,69,1159,16.8,9,77.3,4,32,8.0,1,2.1,73,1191,16.3,10,,jalynn-polk-1
16,Joshua Cephus*,UTSA,American,13,89,1151,12.9,10,88.5,1,-9,-9.0,0,-0.7,90,1142,12.7,10,,joshua-cephus-1
17,Javon Baker*,UCF,Big 12,13,52,1139,21.9,7,87.6,0,0,,0,0.0,52,1139,21.9,7,,javon-baker-1
18,Tory Horton,Colorado State,MWC,12,96,1136,11.8,8,94.7,0,0,,0,0.0,96,1136,11.8,8,,tory-horton-1
19,Kris Mitchell,Florida International,CUSA,12,64,1118,17.5,6,93.2,1,0,0.0,0,0.0,65,1118,17.2,6,,kris-mitchell-1
20,Xavier Restrepo*,Miami (FL),ACC,13,85,1092,12.8,6,84.0,0,0,,0,0.0,85,1092,12.8,6,,xavier-restrepo-1
21,Roc Taylor*,Memphis,American,13,69,1083,15.7,4,83.3,2,2,1.0,0,0.2,71,1085,15.3,4,,roc-taylor-1
22,Jalen Royals*,Utah State,MWC,13,71,1080,15.2,15,83.1,0,0,,0,0.0,71,1080,15.2,15,,jalen-royals-1
23,CJ Daniels*,Liberty,CUSA,14,55,1067,19.4,10,76.2,0,0,,0,0.0,55,1067,19.4,10,,cj-daniels-1
24,Tahj Washington*,USC,Pac-12,13,59,1062,18.0,8,81.7,1,10,10.0,0,0.8,60,1072,17.9,8,,tahj-washington-1
