 
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Lew Nichols*,Central Michigan,MAC,13,341,1848,5.4,16,142.2,40,338,8.5,2,26.0,381,2186,5.7,18,,lew-nichols-1
2,Kenneth Walker III*,Michigan State,Big Ten,12,263,1636,6.2,18,136.3,13,89,6.8,1,7.4,276,1725,6.3,19,H-6AACamp,kenneth-walker-iii-1
3,Abram Smith*,Baylor,Big 12,14,257,1621,6.3,12,115.8,13,75,5.8,0,5.4,270,1696,6.3,12,,abram-smith-1
4,Tyler Allgeier*,BYU,Ind,13,276,1606,5.8,23,123.5,28,199,7.1,0,15.3,304,1805,5.9,23,,tyler-allgeier-1
5,Tyler Badie*,Missouri,SEC,12,268,1604,6.0,14,133.7,54,330,6.1,4,27.5,322,1934,6.0,18,,tyler-badie-1
6,Sean Tucker,Syracuse,ACC,12,246,1496,6.1,12,124.7,20,255,12.8,2,21.3,266,1751,6.6,14,,sean-tucker-2
7,Sincere McCormick*,UTSA,CUSA,14,298,1479,5.0,15,105.6,22,184,8.4,0,13.1,320,1663,5.2,15,,sincere-mccormick-1
8,Breece Hall*,Iowa State,Big 12,12,253,1464,5.8,20,122.0,36,302,8.4,3,25.2,289,1766,6.1,23,H-10AA,breece-hall-1
9,Deuce Vaughn*,Kansas State,Big 12,13,235,1404,6.0,18,108.0,49,468,9.6,4,36.0,284,1872,6.6,22,AA,deuce-vaughn-1
10,Rasheen Ali*,Marshall,CUSA,13,250,1401,5.6,23,107.8,46,342,7.4,1,26.3,296,1743,5.9,24,,rasheen-ali-1
11,Bryant Koback*,Toledo,MAC,13,208,1400,6.7,15,107.7,30,334,11.1,3,25.7,238,1734,7.3,18,,bryant-koback-1
12,Christopher Rodriguez Jr.*,Kentucky,SEC,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,,christopher-rodriguez-jr-1
13,DeWayne McBride*,UAB,CUSA,13,204,1371,6.7,13,105.5,3,19,6.3,0,1.5,207,1390,6.7,13,,dewayne-mcbride-1
14,Brad Roberts*,Air Force,MWC,13,299,1356,4.5,13,104.3,0,0,,0,0.0,299,1356,4.5,13,,brad-roberts-1
15,Brian Robinson Jr.*,Alabama,SEC,14,271,1343,5.0,14,95.9,35,296,8.5,2,21.1,306,1639,5.4,16,,brian-robinson-jr-1
16,B.J. Baylor*,Oregon State,Pac-12,13,227,1337,5.9,13,102.8,8,75,9.4,0,5.8,235,1412,6.0,13,,bj-baylor-1
17,Hassan Haskins*,Michigan,Big Ten,14,270,1327,4.9,20,94.8,18,131,7.3,0,9.4,288,1458,5.1,20,,hassan-haskins-1
18,Jerome Ford*,Cincinnati,American,13,214,1319,6.2,19,101.5,21,220,10.5,1,16.9,235,1539,6.5,20,,jerome-ford-1
19,Travis Dye*,Oregon,Pac-12,14,211,1271,6.0,16,90.8,46,402,8.7,2,28.7,257,1673,6.5,18,,travis-dye-1
20,Braelon Allen*,Wisconsin,Big Ten,12,186,1268,6.8,12,105.7,8,39,4.9,0,3.3,194,1307,6.7,12,,braelon-allen-1
21,Charles Williams,Nevada-Las Vegas,MWC,12,254,1261,5.0,15,105.1,13,202,15.5,0,16.8,267,1463,5.5,15,,charles-williams-8
22,Kennedy Brooks*,Oklahoma,Big 12,13,198,1253,6.3,13,96.4,9,73,8.1,0,5.6,207,1326,6.4,13,,kennedy-brooks-1
23,TreVeyon Henderson*,Ohio State,Big Ten,13,183,1248,6.8,15,96.0,27,312,11.6,4,24.0,210,1560,7.4,19,,treveyon-henderson-1
24,Mataeo Durant,Duke,ACC,12,255,1241,4.9,9,103.4,27,256,9.5,2,21.3,282,1497,5.3,11,,mataeo-durant-1
25,Jaylen Warren*,Oklahoma State,Big 12,14,256,1216,4.8,11,86.9,25,225,9.0,0,16.1,281,1441,5.1,11,,jaylen-warren-1
26,Deandre Torrey*,North Texas,CUSA,12,248,1215,4.9,13,101.3,12,115,9.6,1,9.6,260,1330,5.1,14,,deandre-torrey-1
27,Marquez Cooper*,Kent State,MAC,14,241,1205,5.0,11,86.1,10,95,9.5,0,6.8,251,1300,5.2,11,,marquez-cooper-1
28,Jevyon Ducker*,Northern Illinois,MAC,12,218,1184,5.4,3,98.7,1,15,15.0,0,1.3,219,1199,5.5,3,,jevyon-ducker-1
29,Tyler Goodson*,Iowa,Big Ten,13,256,1151,4.5,6,88.5,31,247,8.0,1,19.0,287,1398,4.9,7,,tyler-goodson-1
30,Sean Tyler*,Western Michigan,MAC,13,178,1140,6.4,9,87.7,14,114,8.1,2,8.8,192,1254,6.5,11,,sean-tyler-1
31,Ellis Merriweather,Massachusetts,Ind,12,218,1138,5.2,5,94.8,22,165,7.5,1,13.8,240,1303,5.4,6,,ellis-merriweather-1
32,Zach Charbonnet,UCLA,Pac-12,12,203,1137,5.6,13,94.8,24,197,8.2,0,16.4,227,1334,5.9,13,,zach-charbonnet-1
33,Keaton Mitchell,East Carolina,American,12,174,1132,6.5,9,94.3,22,253,11.5,1,21.1,196,1385,7.1,10,,keaton-mitchell-1
34,Bijan Robinson,Texas,Big 12,10,195,1127,5.8,11,112.7,26,295,11.3,4,29.5,221,1422,6.4,15,,bijan-robinson-1
35,Nate Noel*,Appalachian State,Sun Belt,14,199,1126,5.7,4,80.4,8,16,2.0,0,1.1,207,1142,5.5,4,,nate-noel-1
36,Blake Watson*,Old Dominion,CUSA,11,215,1112,5.2,8,101.1,10,55,5.5,1,5.0,225,1167,5.2,9,,blake-watson-2
37,Tavion Thomas*,Utah,Pac-12,13,204,1108,5.4,21,85.2,2,3,1.5,0,0.2,206,1111,5.4,21,,tavion-thomas-1
38,Tank Bigsby*,Auburn,SEC,13,224,1102,4.9,10,84.8,21,184,8.8,0,14.2,245,1286,5.2,10,,tank-bigsby-1
39,Ty Chandler*,North Carolina,ACC,13,182,1092,6.0,13,84.0,15,216,14.4,1,16.6,197,1308,6.6,14,,ty-chandler-1
40,Greg Bell*,San Diego State,MWC,14,245,1091,4.5,9,77.9,4,5,1.3,0,0.4,249,1096,4.4,9,,greg-bell-5
41,Xazavian Valladay*,Wyoming,MWC,13,209,1070,5.1,6,82.3,23,233,10.1,0,17.9,232,1303,5.6,6,,xazavian-valladay-1
42,Leddie Brown*,West Virginia,Big 12,12,223,1065,4.8,13,88.8,36,217,6.0,1,18.1,259,1282,4.9,14,,leddie-brown-1
43,Dylan McDuffie,Buffalo,MAC,12,206,1049,5.1,11,87.4,14,113,8.1,1,9.4,220,1162,5.3,12,,dylan-mcduffie-1
44,Patrick Garwo,Boston College,ACC,12,205,1045,5.1,7,87.1,3,19,6.3,0,1.6,208,1064,5.1,7,,patrick-garwo-1
45,Shermari Jones*,Coastal Carolina,Sun Belt,11,159,1040,6.5,13,94.5,3,28,9.3,0,2.5,162,1068,6.6,13,,shermari-jones-1
46,Malik Cunningham*,Louisville,ACC,13,173,1031,6.0,20,79.3,1,9,9.0,0,0.7,174,1040,6.0,20,,malik-cunningham-1
47,Shamari Brooks*,Tulsa,American,13,218,1029,4.7,7,79.2,8,71,8.9,0,5.5,226,1100,4.9,7,,shamari-brooks-1
48,Isaiah Spiller,Texas A&M,SEC,12,179,1011,5.6,6,84.3,25,189,7.6,1,15.8,204,1200,5.9,7,,isaiah-spiller-1
49,Evan Hull,Northwestern,Big Ten,12,196,1009,5.1,7,84.1,33,264,8.0,2,22.0,229,1273,5.6,9,,evan-hull-2
50,Rachaad White*,Arizona State,Pac-12,11,182,1006,5.5,15,91.5,43,456,10.6,1,41.5,225,1462,6.5,16,,rachaad-white-1
51,Chase Brown,Illinois,Big Ten,10,170,1005,5.9,5,100.5,14,142,10.1,0,14.2,184,1147,6.2,5,,chase-brown-3
52,Tyrion Davis-Price*,LSU,SEC,12,211,1003,4.8,6,83.6,10,64,6.4,0,5.3,221,1067,4.8,6,,tyrion-davis-price-1
53,Kyren Williams*,Notre Dame,Ind,12,204,1002,4.9,14,83.5,42,359,8.5,3,29.9,246,1361,5.5,17,,kyren-williams-1
54,Alton McCaskill*,Houston,American,14,189,961,5.1,16,68.6,21,113,5.4,2,8.1,210,1074,5.1,18,,alton-mccaskill-1
55,Tucker Gregg*,Georgia State,Sun Belt,13,192,953,5.0,9,73.3,2,12,6.0,0,0.9,194,965,5.0,9,,tucker-gregg-1
56,Blake Corum*,Michigan,Big Ten,12,143,952,6.7,11,79.3,24,141,5.9,1,11.8,167,1093,6.5,12,,blake-corum-1
57,Camerun Peoples*,Appalachian State,Sun Belt,12,166,926,5.6,14,77.2,2,19,9.5,0,1.6,168,945,5.6,14,,camerun-peoples-1
58,Keaontay Ingram,USC,Pac-12,10,156,911,5.8,5,91.1,22,156,7.1,0,15.6,178,1067,6.0,5,,keaontay-ingram-1
59,Devon Achane,Texas A&M,SEC,12,130,910,7.0,9,75.8,24,261,10.9,1,21.8,154,1171,7.6,10,,devon-achane-1
60,Carson Steele*,Ball State,MAC,13,192,891,4.6,6,68.5,12,157,13.1,1,12.1,204,1048,5.1,7,,carson-steele-1
61,Jashaun Corbin,Florida State,ACC,12,143,887,6.2,7,73.9,25,144,5.8,1,12.0,168,1031,6.1,8,,jashaun-corbin-1
62,Calvin Tyler Jr.*,Utah State,MWC,12,196,884,4.5,7,73.7,11,50,4.5,0,4.2,207,934,4.5,7,,calvin-tyler-jr-1
63,Max Borghi*,Washington State,Pac-12,12,160,880,5.5,12,73.3,16,156,9.8,0,13.0,176,1036,5.9,12,,max-borghi-1
64,Malik Willis*,Liberty,Ind,13,197,878,4.5,13,67.5,1,13,13.0,0,1.0,198,891,4.5,13,,malik-willis-1
65,Tyjae Spears,Tulane,American,12,129,863,6.7,9,71.9,19,145,7.6,0,12.1,148,1008,6.8,9,,tyjae-spears-1
66,Jamyest Williams*,Georgia State,Sun Belt,13,128,859,6.7,9,66.1,1,19,19.0,0,1.5,129,878,6.8,9,,jamyest-williams-1
67,Zamir White*,Georgia,SEC,15,160,856,5.4,11,57.1,9,75,8.3,0,5.0,169,931,5.5,11,,zamir-white-1
68,Chris Smith*,Louisiana,Sun Belt,13,153,855,5.6,8,65.8,14,75,5.4,1,5.8,167,930,5.6,9,,chris-smith-22
69,Ronald Awatt*,UTEP,CUSA,13,158,844,5.3,6,64.9,11,158,14.4,0,12.2,169,1002,5.9,6,,ronald-awatt-1
70,Montrell Johnson*,Louisiana,Sun Belt,14,162,838,5.2,12,59.9,6,53,8.8,0,3.8,168,891,5.3,12,,montrell-johnson-1
71,La'darius Jefferson*,Western Michigan,MAC,12,185,836,4.5,10,69.7,3,38,12.7,0,3.2,188,874,4.6,10,,ladarius-jefferson-1
72,Johnny Ford,Florida Atlantic,CUSA,11,131,831,6.3,5,75.5,23,282,12.3,2,25.6,154,1113,7.2,7,,johnny-ford-1
73,Sam Howell*,North Carolina,ACC,12,183,828,4.5,11,69.0,0,0,,0,0.0,183,828,4.5,11,,sam-howell-1
74,Ky Thomas*,Minnesota,Big Ten,9,166,824,5.0,6,91.6,6,44,7.3,0,4.9,172,868,5.0,6,,ky-thomas-1
75,Chez Mellusi*,Wisconsin,Big Ten,9,173,815,4.7,5,90.6,7,66,9.4,0,7.3,180,881,4.9,5,,chez-mellusi-1
76,Xavier Williams*,Kent State,MAC,13,125,812,6.5,3,62.5,4,40,10.0,0,3.1,129,852,6.6,3,,xavier-williams-2
77,De'Montre Tuggle,Ohio,MAC,12,138,804,5.8,7,67.0,16,156,9.8,2,13.0,154,960,6.2,9,,demontre-tuggle-1
78,Frank Gore Jr.,Southern Mississippi,CUSA,12,179,801,4.5,5,66.8,20,155,7.8,0,12.9,199,956,4.8,5,,frank-gore-jr-1
79,Trestan Ebner*,Baylor,Big 12,14,148,799,5.4,2,57.1,28,284,10.1,2,20.3,176,1083,6.2,4,,trestan-ebner-1
80,Jabari Small*,Tennessee,SEC,11,141,796,5.6,9,72.4,9,77,8.6,0,7.0,150,873,5.8,9,,jabari-small-1
81,Logan Wright,Georgia Southern,Sun Belt,12,150,793,5.3,8,66.1,17,180,10.6,0,15.0,167,973,5.8,8,,logan-wright-2
82,Ronnie Rivers*,Fresno State,MWC,11,161,788,4.9,5,71.6,34,364,10.7,2,33.1,195,1152,5.9,7,,ronnie-rivers-1
83,Marcus Williams Jr.,Louisiana Tech,CUSA,12,194,787,4.1,8,65.6,20,202,10.1,1,16.8,214,989,4.6,9,,marcus-williams-12
84,Titus Swen*,Wyoming,MWC,13,132,785,5.9,7,60.4,6,30,5.0,0,2.3,138,815,5.9,7,,titus-swen-1
85,Garrett Shrader,Syracuse,ACC,12,173,781,4.5,14,65.1,0,0,,0,0.0,173,781,4.5,14,,garrett-shrader-1
