Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Oklahoma,14,48.4,19.6,28.6,68.3,322.9,3.1,37.3,247.9,6.6,2.9,65.9,570.7,8.7,13.4,11.4,1.5,26.4,6.1,61.1,0.4,0.5,0.9
2,Utah State,13,47.5,23.3,35.8,65.2,294.2,2.5,36.8,204.4,5.5,2.8,72.6,498.6,6.9,12.5,9.4,1.3,23.2,7.8,70.5,0.9,0.5,1.4
3,Alabama,15,45.6,20.1,29.2,68.7,323.6,3.5,38.1,198.4,5.2,2.2,67.3,522.0,7.8,13.0,10.3,1.4,24.7,5.8,53.1,0.5,0.5,1.0
4,Clemson,15,44.3,21.8,33.9,64.4,278.7,2.5,37.8,249.3,6.6,3.3,71.7,528.0,7.4,12.0,10.5,1.3,23.9,4.6,41.6,0.6,0.5,1.1
5,Houston,13,43.9,21.8,36.5,59.9,295.5,3.5,41.2,216.5,5.3,2.2,77.6,512.0,6.6,12.3,11.3,2.1,25.7,6.7,52.5,0.8,0.7,1.5
6,UCF,13,43.2,17.2,30.2,57.1,257.5,2.2,45.6,266.1,5.8,3.2,75.8,523.5,6.9,10.8,13.5,2.5,26.8,7.5,65.2,0.5,0.5,1.1
7,Memphis,14,42.9,18.3,29.5,62.0,243.2,2.0,43.9,279.9,6.4,3.4,73.4,523.1,7.1,11.0,11.8,1.8,24.6,7.2,59.5,0.5,0.7,1.2
8,Ohio State,14,42.4,28.2,40.0,70.5,358.7,3.6,40.7,177.0,4.3,1.7,80.7,535.7,6.6,16.5,9.7,2.6,28.8,8.3,75.4,0.6,0.6,1.2
9,Toledo,13,40.4,16.9,30.4,55.7,227.9,2.5,40.9,215.9,5.3,2.3,71.3,443.8,6.2,10.3,10.2,2.5,23.0,7.6,71.6,0.5,0.8,1.4
10,West Virginia,12,40.3,24.3,37.1,65.4,351.3,3.2,35.4,160.9,4.5,1.8,72.5,512.3,7.1,14.4,8.3,1.6,24.3,7.1,66.7,0.6,0.8,1.4
