Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Georgia,SEC,14,1,0.933,8,0,1,38.6,10.2,24.62,5.62,5,1,1,
2,Alabama,SEC,13,2,0.867,7,1,0.875,39.9,20.1,19.62,5.69,1,1,2,
3,Michigan,Big Ten,12,2,0.857,8,1,0.889,35.8,17.4,19.8,6.23,,2,3,
4,Cincinnati,American,13,1,0.929,8,0,1,36.9,16.9,15.34,0.2,8,2,4,
5,Baylor,Big 12,12,2,0.857,7,2,0.778,31.6,18.3,13.5,3.28,,5,5,
6,Ohio State,Big Ten,11,2,0.846,8,1,0.889,45.7,22.8,19.53,5.53,4,2,6,
7,Oklahoma State,Big 12,12,2,0.857,8,1,0.889,31.1,18.1,14.57,4.42,,5,7,
8,Notre Dame,Ind,11,2,0.846,,,,35.2,19.7,16.31,3.85,9,5,8,
9,Michigan State,Big Ten,11,2,0.846,7,2,0.778,31.8,25.3,14.41,5.26,,5,9,
10,Oklahoma,Big 12,11,2,0.846,7,2,0.778,39.1,25.8,11.75,2.68,2,2,10,
11,Ole Miss,SEC,10,3,0.769,6,2,0.75,33.7,24.7,11.43,4.05,,8,11,
12,Utah,Pac-12,10,4,0.714,8,1,0.889,36.1,22.6,12.26,1.62,24,10,12,
13,Pitt,ACC,11,3,0.786,7,1,0.875,41.4,23.6,12.32,0.32,,13,13,
14,Clemson,ACC,10,3,0.769,6,2,0.75,26.3,14.8,11.43,2.66,3,3,14,
15,Wake Forest,ACC,11,3,0.786,7,1,0.875,41,28.9,11.28,0.99,,10,15,
16,Louisiana,Sun Belt,13,1,0.929,8,0,1,31.1,18.5,6.32,-4.82,23,16,16,
17,Houston,American,12,2,0.857,8,0,1,35.9,20.4,8.53,-3.26,,16,17,
18,Kentucky,SEC,10,3,0.769,5,3,0.625,32.3,21.7,8.73,0.5,,11,18,
19,BYU,Ind,10,3,0.769,,,,33.1,24.8,7.29,0.29,,10,19,
20,North Carolina State,ACC,9,3,0.75,6,2,0.75,33.1,19.7,10.22,0.39,,18,20,
21,Arkansas,SEC,9,4,0.692,4,4,0.5,30.9,22.9,11.54,4.62,,8,21,
22,Oregon,Pac-12,10,4,0.714,7,2,0.778,31.4,27,6.22,1.93,11,3,22,
23,Iowa,Big Ten,10,4,0.714,7,2,0.778,23.4,19.2,9.45,5.1,18,2,23,
24,Utah State,MWC,11,3,0.786,6,2,0.75,32.6,24.4,5.17,-3.04,,24,24,
25,San Diego State,MWC,12,2,0.857,7,1,0.875,27.4,19.8,6.38,-2.48,,19,25,
26,Arkansas State,Sun Belt,2,10,0.167,1,7,0.125,25.3,38.6,-14.3,-3.97,,,,
27,Louisiana-Monroe,Sun Belt,4,8,0.333,2,6,0.25,20.9,33.5,-9.82,-1.99,,,,
28,South Alabama,Sun Belt,5,7,0.417,2,6,0.25,24.9,26.4,-6.56,-6.06,,,,
29,Texas State,Sun Belt,4,8,0.333,3,5,0.375,23.1,33,-12.12,-5.7,,,,
30,Georgia Southern,Sun Belt,3,9,0.25,2,6,0.25,20.3,31.4,-12.01,-2.34,,,,
31,Troy,Sun Belt,5,7,0.417,3,5,0.375,22.8,26.1,-7.53,-4.03,,,,
32,Georgia State,Sun Belt,8,5,0.615,6,2,0.75,28.2,27.1,-0.83,-2.98,,,,
33,Coastal Carolina,Sun Belt,11,2,0.846,6,2,0.75,40.9,21.6,3.98,-8.94,22,14,,
34,Appalachian State,Sun Belt,10,4,0.714,7,1,0.875,34.5,22.1,7.28,-2.43,,,,
35,LSU,SEC,6,7,0.462,3,5,0.375,26.5,26.6,4.74,5.28,16,16,,
36,Auburn,SEC,6,7,0.462,3,5,0.375,28.3,21.8,6.66,5.73,,12,,
37,Mississippi State,SEC,7,6,0.538,4,4,0.5,29.1,25.9,5.01,3.48,,,,
38,Texas A&M,SEC,8,4,0.667,4,4,0.5,29.3,15.9,10.77,1.27,6,5,,
39,Vanderbilt,SEC,2,10,0.167,0,8,0,15.8,35.8,-12.61,1.3,,,,
40,Florida,SEC,6,7,0.462,2,6,0.25,30.7,26.8,4.37,2.14,13,10,,
41,Missouri,SEC,6,7,0.462,3,5,0.375,29.1,33.8,0.37,3.22,,,,
42,South Carolina,SEC,7,6,0.538,3,5,0.375,22.6,24,2.08,3.31,,,,
43,Tennessee,SEC,7,6,0.538,4,4,0.5,39.3,29.1,7.97,3.5,,,,
44,Arizona,Pac-12,1,11,0.083,1,8,0.111,17.2,31.4,-12.4,1.44,,,,
45,USC,Pac-12,4,8,0.333,3,6,0.333,28.7,31.8,-1.7,1.8,15,14,,
46,Colorado,Pac-12,4,8,0.333,3,6,0.333,18.8,26.7,-6.6,1.65,,,,
47,Arizona State,Pac-12,8,5,0.615,6,3,0.667,28.4,20.8,6.49,-0.74,25,18,,
48,UCLA,Pac-12,8,4,0.667,6,3,0.667,36.5,26.8,7.25,-0.25,,13,,
49,Stanford,Pac-12,3,9,0.25,2,7,0.222,20.4,32.4,-5.79,3.72,,,,
50,Washington,Pac-12,4,8,0.333,3,6,0.333,21.5,22.7,-4.65,-0.9,20,20,,
51,California,Pac-12,5,7,0.417,4,5,0.444,23.8,22.3,-1.32,-2.07,,,,
52,Oregon State,Pac-12,7,6,0.538,5,4,0.556,31.2,25.8,4.16,0.09,,,,
53,Washington State,Pac-12,7,6,0.538,6,3,0.667,27.8,24.2,3.05,-0.02,,,,
54,Nevada-Las Vegas,MWC,2,10,0.167,2,6,0.25,20.8,32.8,-9.02,0.32,,,,
55,San Jose State,MWC,5,7,0.417,3,5,0.375,20,26.5,-9.11,-3.19,,,,
56,Hawaii,MWC,6,7,0.462,3,5,0.375,28.8,31.4,-5.19,-3.58,,,,
57,Nevada,MWC,8,5,0.615,5,3,0.625,35.7,26.5,3.47,-1.99,,,,
58,Fresno State,MWC,10,3,0.769,6,2,0.75,33.4,20.5,4.88,-3.89,,18,,
59,New Mexico,MWC,3,9,0.25,1,7,0.125,12.2,28.4,-14.33,-1.08,,,,
60,Colorado State,MWC,3,9,0.25,2,6,0.25,23.7,28.3,-6.57,-2.16,,,,
61,Wyoming,MWC,7,6,0.538,2,6,0.25,25.4,23.7,-3.14,-4.52,,,,
62,Boise State,MWC,7,5,0.583,5,3,0.625,29.2,19,8.85,2.02,,,,
63,Air Force,MWC,10,3,0.769,6,2,0.75,31,19.8,8.7,-1.84,,,,
64,Ball State,MAC,6,7,0.462,4,4,0.5,24.1,28.4,-5.56,-2.56,,,,
65,Eastern Michigan,MAC,7,6,0.538,4,4,0.5,30.2,30,-3.88,-4.8,,,,
66,Western Michigan,MAC,8,5,0.615,4,4,0.5,32.5,28.2,1.08,-2.62,,,,
67,Toledo,MAC,7,6,0.538,5,3,0.625,33.4,21.8,0.28,-6.34,,,,
68,Central Michigan,MAC,9,4,0.692,6,2,0.75,32.3,25.8,1.35,-4.57,,,,
69,Northern Illinois,MAC,9,5,0.643,6,2,0.75,32.2,33.7,-1.18,-3.04,,,,
70,Akron,MAC,2,10,0.167,1,7,0.125,19.8,39.5,-16.82,-4.41,,,,
71,Buffalo,MAC,4,8,0.333,2,6,0.25,29.3,29.9,-9.41,-5.58,,,,
72,Bowling Green,MAC,4,8,0.333,2,6,0.25,21.4,30.7,-12,-4.83,,,,
73,Ohio,MAC,3,9,0.25,3,5,0.375,22.6,30.3,-12.73,-5.48,,,,
74,Miami (OH),MAC,7,6,0.538,5,3,0.625,28.9,23.1,-0.49,-4.42,,,,
75,Kent State,MAC,7,7,0.5,6,2,0.75,33,36.3,-7.88,-3.45,,,,
76,Army,Ind,9,4,0.692,,,,32.8,22.3,5.94,-1.53,,,,
77,Massachusetts,Ind,1,11,0.083,,,,16.3,43.1,-21.27,-4.02,,,,
78,Connecticut,Ind,1,11,0.083,,,,15.6,38.5,-19.18,-2.59,,,,
79,New Mexico State,Ind,2,10,0.167,,,,22.6,40.4,-16.29,-2.87,,,,
80,Liberty,Ind,8,5,0.615,,,,33.6,21.5,3.8,-3.51,,,,
81,Southern Mississippi,CUSA,3,9,0.25,2,6,0.25,17.7,27.9,-13.12,-4.62,,,,
82,Louisiana Tech,CUSA,3,9,0.25,2,6,0.25,28,34,-9.73,-2.98,,,,
83,Rice,CUSA,4,8,0.333,3,5,0.375,21.5,36.2,-10.1,-1.52,,,,
84,UTEP,CUSA,7,6,0.538,4,4,0.5,25.1,25.2,-5.3,-5.61,,,,
85,North Texas,CUSA,6,7,0.462,5,3,0.625,27.5,27.5,-4.51,-4.13,,,,
86,UAB,CUSA,9,4,0.692,6,2,0.75,29.5,23.2,3.98,-2.09,,,,
87,UTSA,CUSA,12,2,0.857,7,1,0.875,36.9,24.6,5.65,-3.21,,15,,
88,Florida International,CUSA,1,11,0.083,0,8,0,20.3,39.7,-19.86,-4.86,,,,
89,Florida Atlantic,CUSA,5,7,0.417,3,5,0.375,25.4,25.8,-5.74,-3.9,,,,
90,Charlotte,CUSA,5,7,0.417,3,5,0.375,27.2,34,-11.35,-5.93,,,,
91,Middle Tennessee State,CUSA,7,6,0.538,4,4,0.5,29.8,25.7,-3.73,-5.5,,,,
92,Old Dominion,CUSA,6,7,0.462,5,3,0.625,27.6,27.8,-5.01,-4.39,,,,
93,Marshall,CUSA,7,6,0.538,5,3,0.625,33,23.8,2.37,-3.17,,,,
94,Western Kentucky,CUSA,9,5,0.643,7,1,0.875,44.2,29.4,8.39,-2.61,,,,
95,Northwestern,Big Ten,3,9,0.25,1,8,0.111,16.6,29,-5.72,3.7,,,,
96,Nebraska,Big Ten,3,9,0.25,1,8,0.111,27.9,22.7,7.1,6.6,,,,
97,Illinois,Big Ten,5,7,0.417,4,5,0.444,20.2,21.9,2.2,4.61,,,,
98,Wisconsin,Big Ten,9,4,0.692,6,3,0.667,25.4,16.2,13.87,6.8,12,12,,
99,Purdue,Big Ten,9,4,0.692,6,3,0.667,29.1,22.4,10.58,5.81,,25,,
100,Minnesota,Big Ten,9,4,0.692,6,3,0.667,25.5,17.3,10.17,2.94,,,,
101,Indiana,Big Ten,2,10,0.167,0,9,0,17.3,33.3,-4.7,8.63,17,17,,
102,Rutgers,Big Ten,5,8,0.385,2,7,0.222,19.7,25.6,-1.32,4.06,,,,
103,Maryland,Big Ten,7,6,0.538,3,6,0.333,29.3,30.7,3.44,4.36,,,,
104,Penn State,Big Ten,7,6,0.538,4,5,0.444,25,17.3,11.22,5.53,19,4,,
105,Kansas,Big 12,2,10,0.167,1,8,0.111,20.8,42.2,-11.12,3.47,,,,
106,TCU,Big 12,5,7,0.417,3,6,0.333,28.7,34.9,-0.45,3.63,,,,
107,Texas,Big 12,5,7,0.417,3,6,0.333,35.3,31.1,5.11,4.86,21,15,,
108,Texas Tech,Big 12,7,6,0.538,3,6,0.333,30.3,30.2,2.57,2.26,,,,
109,West Virginia,Big 12,6,7,0.462,4,5,0.444,25.2,23.8,1.54,3.85,,,,
110,Kansas State,Big 12,8,5,0.615,4,5,0.444,27.5,21,9.12,2.43,,25,,
111,Iowa State,Big 12,7,6,0.538,5,4,0.556,31.3,20.5,9.08,3.16,7,7,,
112,Tulane,American,2,10,0.167,1,7,0.125,27.6,34,-5.03,2.89,,,,
113,South Florida,American,2,10,0.167,1,7,0.125,23.2,34.7,-8.33,1.59,,,,
114,Temple,American,3,9,0.25,1,7,0.125,16.3,37.5,-14.95,-1.61,,,,
115,Navy,American,4,8,0.333,3,5,0.375,20.1,28.3,-1.53,4.3,,,,
116,Memphis,American,6,6,0.5,3,5,0.375,30.1,29.3,-1.36,-1.94,,,,
117,SMU,American,8,4,0.667,4,4,0.5,38.4,28.4,6.18,-1.82,,19,,
118,Tulsa,American,7,6,0.538,5,3,0.625,26.4,26.6,-0.44,-0.29,,,,
119,East Carolina,American,7,5,0.583,5,3,0.625,29.7,26.3,1.92,-0.83,,,,
120,UCF,American,9,4,0.692,5,3,0.625,31.9,24.5,3.07,-2.08,,,,
121,Duke,ACC,3,9,0.25,0,8,0,22.8,39.8,-11.76,-0.76,,,,
122,Georgia Tech,ACC,3,9,0.25,2,6,0.25,24,33.5,-1.91,3.68,,,,
123,North Carolina,ACC,6,7,0.462,3,5,0.375,35.2,32.1,3.77,2.15,10,10,,
124,Virginia Tech,ACC,6,7,0.462,4,4,0.5,23.7,25.3,-0.33,0.67,,15,,
125,Virginia,ACC,6,6,0.5,4,4,0.5,34.6,31.8,2.24,2.57,,,,
126,Miami (FL),ACC,7,5,0.583,5,3,0.625,34.1,28.4,5.09,3.26,14,14,,
127,Syracuse,ACC,5,7,0.417,2,6,0.25,24.9,26.3,-0.17,1.74,,,,
128,Boston College,ACC,6,6,0.5,2,6,0.25,24.7,22.2,-1,-1.5,,,,
129,Florida State,ACC,5,7,0.417,4,4,0.5,27.6,26.5,0.64,2.22,,,,
130,Louisville,ACC,6,7,0.462,4,4,0.5,31.6,27.3,4.03,2.88,,,,
