,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,LSU,SEC (West),15,0,1,8,0,1,48.4,21.9,25.8,6.6,6,1,1,
2,Clemson,ACC (Atlantic),14,1,0.933,8,0,1,43.9,13.5,21.04,2.7,1,1,2,
3,Ohio State,Big Ten (East),13,1,0.929,9,0,1,46.9,13.7,27.39,7.32,5,2,3,
4,Georgia,SEC (East),12,2,0.857,7,1,0.875,30.8,12.6,17.64,5.21,3,3,4,
5,Oregon,Pac-12 (North),12,2,0.857,8,1,0.889,35.4,16.5,17.02,3.6,11,5,5,
6,Florida,SEC (East),11,2,0.846,6,2,0.75,33.2,15.5,15.22,2.91,8,6,6,
7,Oklahoma,Big 12,12,2,0.857,8,1,0.889,42.1,27.3,15.79,4.36,4,4,7,
8,Alabama,SEC (West),11,2,0.846,6,2,0.75,47.2,18.6,21.11,2.81,2,1,8,
9,Penn State,Big Ten (East),11,2,0.846,7,2,0.778,35.8,16,17.34,4.88,15,5,9,
10,Minnesota,Big Ten (West),11,2,0.846,7,2,0.778,34.1,22.5,11.73,2.11,,7,10,
11,Wisconsin,Big Ten (West),10,4,0.714,7,2,0.778,34.1,16.9,17.73,7.73,19,6,11,
12,Notre Dame,Ind,11,2,0.846,,,,36.8,17.9,17.22,3.3,9,7,12,
13,Baylor,Big 12,11,3,0.786,8,1,0.889,33.6,19.8,12.12,2.62,,8,13,
14,Auburn,SEC (West),9,4,0.692,5,3,0.625,33.2,19.5,16.26,7.72,16,7,14,
15,Iowa,Big Ten (West),10,3,0.769,6,3,0.667,25.8,14,14.6,4.44,20,14,15,
16,Utah,Pac-12 (South),11,3,0.786,8,1,0.889,32.3,15,14.86,2.29,14,5,16,
17,Memphis,American (West),12,2,0.857,7,1,0.875,40.4,26.4,13.66,2.09,,15,17,
18,Michigan,Big Ten (East),9,4,0.692,6,3,0.667,31.7,20.7,15.5,7.88,7,7,18,
19,Appalachian State,Sun Belt (East),13,1,0.929,7,1,0.875,38.8,20,11.49,-3.8,,19,19,
20,Navy,American (West),11,2,0.846,7,1,0.875,37.2,22.3,12.6,0.83,,20,20,
21,Cincinnati,American (East),11,3,0.786,7,1,0.875,29.6,20.6,10.87,2.51,,17,21,
22,Air Force,MWC (Mountain),11,2,0.846,7,1,0.875,34.1,19.8,10.47,-2.22,,22,22,
23,Boise State,MWC (Mountain),12,2,0.857,8,0,1,34.7,21.9,8.94,-2.28,,14,23,
24,UCF,American (East),10,3,0.769,6,2,0.75,43.4,23,11.59,-1.87,17,15,24,
25,Texas,Big 12,8,5,0.615,5,4,0.556,35.2,27.5,12.18,5.8,10,9,25,
26,South Alabama,Sun Belt (West),2,10,0.167,1,7,0.125,18.4,30.7,-12.28,-1.44,,,,
27,Texas State,Sun Belt (West),3,9,0.25,2,6,0.25,18.4,32.6,-12.38,-1.29,,,,
28,Louisiana-Monroe,Sun Belt (West),5,7,0.417,4,4,0.5,31.6,38.7,-4.92,-1.26,,,,
29,Arkansas State,Sun Belt (West),8,5,0.615,5,3,0.625,33.7,34.2,-1.78,-3.93,,,,
30,Louisiana,Sun Belt (West),11,3,0.786,7,1,0.875,37.9,19.7,8.68,-3.25,,,,
31,Coastal Carolina,Sun Belt (East),5,7,0.417,2,6,0.25,30.3,30.5,-7.02,-6.02,,,,
32,Troy,Sun Belt (East),5,7,0.417,3,5,0.375,33.8,34.8,-5.01,-5.42,,,,
33,Georgia State,Sun Belt (East),7,6,0.538,4,4,0.5,31.2,36.2,-6.61,-3.84,,,,
34,Georgia Southern,Sun Belt (East),7,6,0.538,5,3,0.625,28.2,28.2,-0.07,-1.61,,,,
35,Arkansas,SEC (West),2,10,0.167,0,8,0,21.4,36.8,-6.58,4.84,,,,
36,Ole Miss,SEC (West),4,8,0.333,2,6,0.25,26.6,26.5,2.24,3.82,,,,
37,Mississippi State,SEC (West),6,7,0.462,3,5,0.375,27.6,28.8,4.87,5.95,,,,
38,Texas A&M,SEC (West),8,5,0.615,4,4,0.5,29.5,22.5,10.02,5.09,12,12,,
39,Vanderbilt,SEC (East),3,9,0.25,1,7,0.125,16.5,31.8,-10.28,2.97,,,,
40,South Carolina,SEC (East),4,8,0.333,3,5,0.375,22.4,26.1,1.34,7.34,,,,
41,Missouri,SEC (East),6,6,0.5,3,5,0.375,25.3,19.4,2.88,0.46,,22,,
42,Kentucky,SEC (East),8,5,0.615,3,5,0.375,27.2,19.3,5.92,0.15,,,,
43,Tennessee,SEC (East),8,5,0.615,5,3,0.625,24.2,21.7,5.13,2.74,,,,
44,Arizona,Pac-12 (South),4,8,0.333,2,7,0.222,26.9,35.8,-4.25,3.17,,,,
45,Colorado,Pac-12 (South),5,7,0.417,3,6,0.333,23.5,31.8,-0.02,5.07,,,,
46,UCLA,Pac-12 (South),4,8,0.333,4,5,0.444,26.7,34.8,-0.55,4.95,,,,
47,Arizona State,Pac-12 (South),8,5,0.615,4,5,0.444,24.8,22.4,4.72,2.34,,17,,
48,USC,Pac-12 (South),8,5,0.615,7,2,0.778,32.5,29.4,8.87,5.64,,21,,
49,Stanford,Pac-12 (North),4,8,0.333,3,6,0.333,21.7,29.8,-2.38,5.7,25,23,,
