Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Patrick Mahomes,Texas Tech,Big 12,12,388,591,65.7,5052,41,6.9,10,1.7,8.5,9.17,13.0,421.0,157.0,,patrick-mahomes-1
2,Ryan Higgins*,Louisiana Tech,CUSA,13,329,496,66.3,4617,41,8.3,8,1.6,9.3,10.24,14.0,355.2,168.6,,ryan-higgins-1
3,Deshaun Watson*,Clemson,ACC,15,388,579,67.0,4593,41,7.1,17,2.9,7.9,8.03,11.8,306.2,151.1,H-2,deshaun-watson-1
4,Luke Falk*,Washington State,Pac-12,13,443,633,70.0,4468,38,6.0,11,1.7,7.1,7.48,10.1,343.7,145.6,,luke-falk-1
5,Mike White*,Western Kentucky,CUSA,14,280,416,67.3,4363,37,8.9,7,1.7,10.5,11.51,15.6,311.6,181.4,,mike-white-6
6,Davis Webb,California,Pac-12,12,382,620,61.6,4295,37,6.0,12,1.9,6.9,7.25,11.2,357.9,135.6,,davis-webb-1
7,Logan Woodside*,Toledo,MAC,13,289,418,69.1,4129,45,10.8,9,2.2,9.9,11.06,14.3,317.6,183.3,,logan-woodside-1
8,Mason Rudolph*,Oklahoma State,Big 12,13,284,448,63.4,4091,28,6.3,4,0.9,9.1,9.98,14.4,314.7,158.9,,mason-rudolph-1
9,Baker Mayfield*,Oklahoma,Big 12,13,254,358,70.9,3965,40,11.2,8,2.2,11.1,12.30,15.6,305.0,196.4,H-3,baker-mayfield-1
10,Mitch Trubisky*,North Carolina,ACC,13,304,447,68.0,3748,30,6.7,6,1.3,8.4,9.12,12.3,288.3,157.9,,mitch-trubisky-1
11,Riley Ferguson*,Memphis,American,13,280,443,63.2,3698,32,7.2,10,2.3,8.3,8.78,13.2,284.5,152.6,,riley-ferguson-1
12,Brett Rypien*,Boise State,MWC,13,244,394,61.9,3646,24,6.1,8,2.0,9.3,9.56,14.9,280.5,155.7,,brett-rypien-1
13,Trace McSorley*,Penn State,Big Ten,14,224,387,57.9,3614,29,7.5,8,2.1,9.3,9.91,16.1,258.1,156.9,,trace-mcsorley-1
14,Greg Ward Jr.*,Houston,American,12,319,469,68.0,3557,22,4.7,13,2.8,7.6,7.28,11.2,296.4,141.7,,greg-ward-jr-1
15,Jerod Evans*,Virginia Tech,ACC,14,268,422,63.5,3552,29,6.9,8,1.9,8.4,8.94,13.3,253.7,153.1,,jerod-evans-1
16,Lamar Jackson*,Louisville,ACC,13,230,409,56.2,3543,30,7.3,9,2.2,8.7,9.14,15.4,272.5,148.8,HMaxwellAA,lamar-jackson-1
17,Cooper Rush*,Central Michigan,MAC,13,278,465,59.8,3540,23,4.9,16,3.4,7.6,7.05,12.7,272.3,133.2,,cooper-rush-1
18,Zach Terrell*,Western Michigan,MAC,14,263,377,69.8,3533,33,8.8,4,1.1,9.4,10.64,13.4,252.4,175.2,,zach-terrell-1
19,Brad Kaaya*,Miami (FL),ACC,13,261,421,62.0,3532,27,6.4,7,1.7,8.4,8.92,13.5,271.7,150.3,,brad-kaaya-1
20,Austin Allen*,Arkansas,SEC,13,245,401,61.1,3430,25,6.2,15,3.7,8.6,8.12,14.0,263.8,146.0,,austin-allen-1
