Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Ja'Marr Chase*,LSU,SEC,14,84,1780,21.2,20,127.1,1,5,5.0,0,0.4,85,1785,21.0,20,AA,jamarr-chase-1
2,Omar Bayless*,Arkansas State,Sun Belt,13,93,1653,17.8,17,127.2,0,0,,0,0.0,93,1653,17.8,17,,omar-bayless-1
3,Justin Jefferson*,LSU,SEC,15,111,1540,13.9,18,102.7,0,0,,0,0.0,111,1540,13.9,18,,justin-jefferson-1
4,Antonio Gandy-Golden*,Liberty,Ind,13,79,1396,17.7,10,107.4,0,0,,0,0.0,79,1396,17.7,10,,antonio-gandy-golden-1
5,Devin Duvernay*,Texas,Big 12,13,106,1386,13.1,9,106.6,10,24,2.4,1,1.8,116,1410,12.2,10,,devin-duvernay-1
6,CeeDee Lamb*,Oklahoma,Big 12,13,62,1327,21.4,14,102.1,9,20,2.2,1,1.5,71,1347,19.0,15,AA,ceedee-lamb-1
7,Chatarius Atwell*,Louisville,ACC,13,70,1276,18.2,12,98.2,8,29,3.6,0,2.2,78,1305,16.7,12,,chatarius-atwell-1
8,Damonte Coxie*,Memphis,American,14,76,1276,16.8,9,91.1,0,0,,0,0.0,76,1276,16.8,9,,damonte-coxie-1
9,Michael Pittman Jr.*,USC,Pac-12,13,101,1275,12.6,11,98.1,0,0,,0,0.0,101,1275,12.6,11,,michael-pittman-jr-1
10,DeVonta Smith*,Alabama,SEC,13,68,1256,18.5,14,96.6,0,0,,0,0.0,68,1256,18.5,14,,devonta-smith-1
11,Gabriel Davis*,UCF,American,12,72,1241,17.2,12,103.4,0,0,,0,0.0,72,1241,17.2,12,,gabriel-davis-1
12,James Proche*,SMU,American,13,111,1225,11.0,15,94.2,4,18,4.5,0,1.4,115,1243,10.8,15,,james-proche-1
13,Rashod Bateman*,Minnesota,Big Ten,13,60,1219,20.3,11,93.8,0,0,,0,0.0,60,1219,20.3,11,,rashod-bateman-1
14,Brandon Aiyuk*,Arizona State,Pac-12,12,65,1192,18.3,8,99.3,1,6,6.0,0,0.5,66,1198,18.2,8,,brandon-aiyuk-1
15,Tamorrion Terry*,Florida State,ACC,13,60,1188,19.8,9,91.4,4,9,2.3,0,0.7,64,1197,18.7,9,,tamorrion-terry-1
16,Quez Watkins*,Southern Mississippi,CUSA,12,64,1178,18.4,6,98.2,1,1,1.0,0,0.1,65,1179,18.1,6,,quez-watkins-1
17,Isaiah Hodgins,Oregon State,Pac-12,12,86,1171,13.6,13,97.6,0,0,,0,0.0,86,1171,13.6,13,,isaiah-hodgins-1
18,Tee Higgins*,Clemson,ACC,15,59,1167,19.8,13,77.8,1,36,36.0,1,2.4,60,1203,20.1,14,,tee-higgins-1
19,Jerry Jeudy*,Alabama,SEC,13,77,1163,15.1,10,89.5,1,1,1.0,0,0.1,78,1164,14.9,10,,jerry-jeudy-1
20,Tre Walker,San Jose State,MWC,10,79,1161,14.7,2,116.1,0,0,,0,0.0,79,1161,14.7,2,,tre-walker-3
21,JoJo Ward*,Hawaii,MWC,15,65,1134,17.4,11,75.6,0,0,,0,0.0,65,1134,17.4,11,,jojo-ward-1
22,Lucky Jackson*,Western Kentucky,CUSA,13,94,1133,12.1,4,87.2,1,15,15.0,0,1.2,95,1148,12.1,4,,lucky-jackson-1
23,Jared Smart*,Hawaii,MWC,15,87,1129,13.0,5,75.3,0,0,,0,0.0,87,1129,13.0,5,,jared-smart-1
24,Warren Jackson,Colorado State,MWC,10,77,1119,14.5,8,111.9,0,0,,0,0.0,77,1119,14.5,8,,warren-jackson-2
25,Brandon Arconado*,Washington State,Pac-12,11,78,1109,14.2,7,100.8,0,0,,0,0.0,78,1109,14.2,7,,brandon-arconado-1
26,Tyler Johnson*,Minnesota,Big Ten,11,72,1107,15.4,10,100.6,0,0,,0,0.0,72,1107,15.4,10,,tyler-johnson-6
27,Cedric Byrd*,Hawaii,MWC,15,98,1097,11.2,10,73.1,4,36,9.0,0,2.4,102,1133,11.1,10,,cedric-byrd-1
28,Austin Watkins*,UAB,CUSA,14,57,1092,19.2,6,78.0,1,-1,-1.0,0,-0.1,58,1091,18.8,6,,austin-watkins-1
29,Jadan Blue*,Temple,American,13,95,1067,11.2,4,82.1,6,20,3.3,0,1.5,101,1087,10.8,4,,jadan-blue-1
30,Hasise Dubois*,Virginia,ACC,14,75,1062,14.2,6,75.9,0,0,,0,0.0,75,1062,14.2,6,,hasise-dubois-1
31,Amon-Ra St. Brown*,USC,Pac-12,13,77,1042,13.5,6,80.2,7,60,8.6,1,4.6,84,1102,13.1,7,,amon-ra-st-brown-1
32,Keylon Stokes,Tulsa,American,12,62,1040,16.8,6,86.7,9,42,4.7,0,3.5,71,1082,15.2,6,,keylon-stokes-1
33,Chase Claypool*,Notre Dame,Ind,13,66,1037,15.7,13,79.8,0,0,,0,0.0,66,1037,15.7,13,,chase-claypool-1
