Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Zech McPhearson,Jaguars,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Tyler Hall,Seahawks,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Ty Okada,Seahawks,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
"Troy Pride, Jr.",Cowboys,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Tre Swilling,Jets,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Te'Cory Couch,Bills,2025,2,,"$1,853,500 ","$926,750 ","$8,500 ",,0.30%,,"$1,853,500 ","$926,750 ","$8,500 "
Stantley Thomas-Oliver,Lions,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Shaun Jolly,Rams,2025,2,,"$2,175,000 ","$1,087,500 ",$0 ,,0.40%,,"$2,175,000 ","$1,087,500 ",$0 
Ryan Cooper,Seahawks,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Reese Taylor,Broncos,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Reddy Steward,Vikings,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Quinton Newsome,Broncos,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Nate Brooks,Bengals,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Nahshon Wright,Vikings,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Morice Norris,Lions,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Micah Abraham,Bengals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Marcel Dabo,Colts,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
M.J. Devonshire,Raiders,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Luq Barcoo,Cowboys,2025,2,,"$2,175,000 ","$1,087,500 ",$0 ,,0.40%,,"$2,175,000 ","$1,087,500 ",$0 
Lamar Jackson,Falcons,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Kyler McMichael,Steelers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Keidron Smith,Broncos,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Keenan Isaac,Raiders,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Kamal Hadden,Packers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Kalen King,Packers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Kaleb Hayes,Packers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Kahlef Hailassie,Vikings,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Jason Maitre,Dolphins,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Jaden Davis,Cardinals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Isaiah Johnson,Dolphins,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Isaiah Dunn,Packers,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Gregory Junior,Texans,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Gabe Jeudy-Lally,Titans,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Erick Hallett,Lions,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Ekow Boye-Doe,Cardinals,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Darren Hall,Cardinals,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Damarion Williams,Seahawks,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Dallis Flowers,Buccaneers,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Daequan Hardy,Bills,2025,2,,"$1,853,500 ","$926,750 ","$8,500 ",,0.30%,,"$1,853,500 ","$926,750 ","$8,500 "
D.J. James,Patriots,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
D'Shawn Jamison,Steelers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Christian Braswell,Jaguars,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Chase Lucas,49ers,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Charles Woods,Rams,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Cameron McCutcheon,Steelers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Cam Lampkin,Rams,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Anthony Averett,Texans,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Ambry Thomas,Vikings,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Allan George,Commanders,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Alex Johnson,Colts,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
A.J. Green,Rams,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Zyon Gilbert,Steelers,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
Zyon Gilbert,Packers,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
Zyon Gilbert,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zyon Gilbert,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zech McPhearson,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Zamari Walton,Chargers,2024,3,,"$2,845,000 ","$948,333 ","$40,000 ",,0.40%,,"$3,035,484 ","$1,011,827 ","$42,678 "
Woo Governor,Raiders,2024,3,,"$2,830,500 ","$943,500 ",$500 ,,0.40%,,"$3,020,013 ","$1,006,671 ",$533 
Willie Roberts,Seahawks,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,019,479 ","$1,006,493 ",$0 
Willie Roberts,Seahawks,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Willie Drew,Panthers,2024,3,,"$2,840,000 ","$946,667 ","$30,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$32,009 "
Willie Drew,Panthers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
William Hooper,Falcons,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Vincent Gray,Browns,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Ugochukwu Amadi,Saints,2024,1,,"$1,292,500 ","$1,292,500 ","$80,000 ",,0.50%,,"$1,379,038 ","$1,379,038 ","$85,356 "
Ugochukwu Amadi,Saints,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Ugochukwu Amadi,Saints,2024,1,,"$368,500 ","$368,500 ",$0 ,,0.10%,,"$393,172 ","$393,172 ",$0 
Ugochukwu Amadi,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Tyson Campbell,Jaguars,2024,4,,"$76,500,000 ","$19,125,000 ","$53,400,000 ",,7.50%,,"$81,621,966 ","$20,405,491 ","$56,975,333 "
Tyrek Funderburk,Buccaneers,2024,3,,"$2,850,000 ","$950,000 ","$100,000 ",,0.40%,,"$3,040,818 ","$1,013,606 ","$106,695 "
Tyler Hall,Eagles,2024,1,,"$1,225,000 ","$1,225,000 ","$225,000 ",,0.50%,,"$1,307,018 ","$1,307,018 ","$240,065 "
Tyler Hall,Seahawks,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Tyler Hall,SEA/JAX,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Ty Okada,Seahawks,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
Ty Okada,Seahawks,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$280,964 ","$280,964 ",$0 
Ty Okada,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ty Okada,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ty Okada,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ty Okada,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
"Troy Pride, Jr.",Texans,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
"Troy Pride, Jr.",Cowboys,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
"Troy Pride, Jr.",Cowboys,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
"Troy Pride, Jr.",Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Troy Hill,Panthers,2024,1,,"$1,377,500 ","$1,377,500 ","$583,750 ",,0.50%,,"$1,469,729 ","$1,469,729 ","$622,834 "
Troy Hill,Buccaneers,2024,1,,"$1,210,000 ","$1,210,000 ",$0 ,,0.50%,,"$1,291,014 ","$1,291,014 ",$0 
Troy Hill,Buccaneers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Tristin McCollum,Eagles,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Trey Vaval,Falcons,2024,3,,"$2,845,000 ","$948,333 ","$50,000 ",,0.40%,,"$3,035,484 ","$1,011,827 ","$53,348 "
Tre'Davious White,Rams,2024,1,,"$4,250,000 ","$4,250,000 ","$3,250,000 ",,1.70%,,"$4,534,554 ","$4,534,554 ","$3,467,600 "
Tre'Davious White,Ravens,2024,1,,"$4,250,000 ","$4,250,000 ","$3,250,000 ",,1.70%,,"$4,534,554 ","$4,534,554 ","$3,467,600 "
Tre Swilling,Jets,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
Tre Swilling,Ravens,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Tre Swilling,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tre Herndon,Giants,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Tre Herndon,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Tre Herndon,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Tre Flowers,Jaguars,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Tre Flowers,Jaguars,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Tre Flowers,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Tre Flowers,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Tre Flowers,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Tre Avery,49ers,2024,2,,"$2,085,000 ","$1,042,500 ",$0 ,,0.40%,,"$2,224,599 ","$1,112,299 ",$0 
Tre Avery,Titans,2024,2,,"$2,085,000 ","$1,042,500 ",$0 ,,0.40%,,"$2,224,599 ","$1,112,299 ",$0 
Tre Avery,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tre Avery,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tre Avery,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tiawan Mullen,Eagles,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
Thomas Harper,Chargers,2024,3,,"$2,840,000 ","$946,667 ","$30,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$32,009 "
Thomas Harper,Raiders,2024,3,,"$2,840,000 ","$946,667 ","$30,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$32,009 "
Thomas Graham Jr.,Steelers,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Thomas Graham Jr.,Steelers,2024,1,,"$267,222 ","$267,222 ",$0 ,,0.10%,,"$285,114 ","$285,114 ",$0 
Thomas Graham Jr.,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tevaughn Campbell,Jaguars,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Terrion Arnold,Lions,2024,4,,"$14,343,710 ","$3,585,928 ","$14,343,710 ",,1.40%,,"$15,304,076 ","$3,826,019 ","$15,304,076 "
Te'Cory Couch,Bills,2024,3,,"$2,850,000 ","$950,000 ","$70,000 ",,0.40%,,"$3,040,818 ","$1,013,606 ","$74,687 "
Te'Cory Couch,Bills,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tay Gowan,Titans,2024,2,,"$2,085,000 ","$1,042,500 ",$0 ,,0.40%,,"$2,224,599 ","$1,112,299 ",$0 
Tavierre Thomas,Buccaneers,2024,1,,"$1,500,000 ","$1,500,000 ","$750,000 ",,0.60%,,"$1,600,431 ","$1,600,431 ","$800,215 "
Taron Johnson,Bills,2024,3,,"$30,750,000 ","$10,250,000 ","$19,000,000 ",,4.00%,,"$32,808,829 ","$10,936,276 ","$20,272,122 "
Tariq Castro-Fields,Eagles,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tariq Castro-Fields,Eagles,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tarheeb Still,Chargers,2024,4,,"$4,395,720 ","$1,098,930 ","$375,720 ",,0.40%,,"$4,690,030 ","$1,172,508 ","$400,876 "
Tae Hayes,Jets,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
T.J. Tampa,Ravens,2024,4,,"$4,718,456 ","$1,179,614 ","$698,456 ",,0.50%,,"$5,034,375 ","$1,258,594 ","$745,220 "
Storm Duck,Dolphins,2024,3,,"$2,850,000 ","$950,000 ","$170,000 ",,0.40%,,"$3,040,818 ","$1,013,606 ","$181,382 "
Steven Nelson,Chiefs,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Stephon Gilmore,Vikings,2024,1,,"$7,000,000 ","$7,000,000 ","$7,000,000 ",,2.70%,,"$7,468,677 ","$7,468,677 ","$7,468,677 "
Stantley Thomas-Oliver,Giants,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Stantley Thomas-Oliver,Lions,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Siran Neal,Dolphins,2024,1,,"$1,950,000 ","$1,950,000 ","$650,000 ",,0.80%,,"$2,080,560 ","$2,080,560 ","$693,520 "
Shyheim Carter,Titans,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Shon Stephens,Eagles,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,019,479 ","$1,006,493 ",$0 
Shemar Jean-Charles,Saints,2024,1,,"$1,105,000 ","$1,105,000 ",$0 ,,0.40%,,"$1,178,984 ","$1,178,984 ",$0 
Shemar Jean-Charles,Saints,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Shemar Jean-Charles,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Shemar Jean-Charles,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Shemar Bartholomew,Panthers,2024,3,,"$2,840,000 ","$946,667 ","$105,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$112,030 "
Shemar Bartholomew,Jets,2024,3,,"$2,840,000 ","$946,667 ","$105,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$112,030 "
Shaun Wade,Chargers,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Shaun Wade,Chargers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Shaun Wade,Chargers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Shaun Jolly,Rams,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Shaquill Griffin,Vikings,2024,1,,"$4,550,000 ","$4,550,000 ","$3,990,000 ",,1.80%,,"$4,854,640 ","$4,854,640 ","$4,257,146 "
Sean Murphy-Bunting,Cardinals,2024,3,,"$25,500,000 ","$8,500,000 ","$17,390,000 ",,3.30%,,"$27,207,322 ","$9,069,107 ","$18,554,327 "
Sam Webb,Raiders,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Sam Webb,Raiders,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Sam Webb,Raiders,2024,1,,"$351,666 ","$351,666 ",$0 ,,0.10%,,"$375,211 ","$375,211 ",$0 
Sam Webb,Raiders,2024,1,,"$309,444 ","$309,444 ",$0 ,,0.10%,,"$330,162 ","$330,162 ",$0 
Sam Webb,Raiders,2024,1,,"$267,222 ","$267,222 ",$0 ,,0.10%,,"$285,114 ","$285,114 ",$0 
Sam Webb,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ryan Watts,Steelers,2024,4,,"$4,202,684 ","$1,050,671 ","$182,684 ",,0.40%,,"$4,484,070 ","$1,121,017 ","$194,915 "
Ryan Cooper,Ravens,2024,3,,"$2,840,000 ","$946,667 ","$15,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$16,004 "
