Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
William Sherman,Broncos,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Karsen Barnhart,Chargers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Jerome Carvin,Texans,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Gottlieb Ayedze,Raiders,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Matt Jones,Cardinals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Marquis Hayes,Packers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Steven Jones,Steelers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Zack Johnson,49ers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Brady Latham,Browns,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Javion Cohen,Browns,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
McClendon Curtis,Cardinals,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Zack Bailey,Jets,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Dieter Eiselen,Jaguars,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Ja'Tyre Carter,Panthers,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Josh Sills,Colts,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Jovaughn Gwyn,Falcons,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Atonio Mafi,Colts,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Chandler Brewer,Titans,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Marquis Hayes,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Javion Cohen,Browns,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Cade Mays,Giants,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Karsen Barnhart,Chargers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jerome Carvin,Patriots,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Josh Sills,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Arlington Hambright,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Marquis Hayes,Cardinals,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kyle Hergel,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zack Johnson,49ers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jerome Carvin,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tyrese Robinson,Vikings,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dieter Eiselen,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Liam Fornadel,Patriots,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jovaughn Gwyn,Falcons,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Arlington Hambright,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dieter Eiselen,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Gottlieb Ayedze,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
John Leglue,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Matt Jones,Cardinals,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Atonio Mafi,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Josh Sills,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Marquis Hayes,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jerome Carvin,Patriots,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Sala Aumavae-Laulu,Ravens,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
William Sherman,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
McClendon Curtis,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
William Sherman,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jerome Carvin,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zack Bailey,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Arlington Hambright,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Atonio Mafi,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kyle Hergel,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zack Bailey,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Arlington Hambright,HOU/TEN,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
John Leglue,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
McClendon Curtis,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ja'Tyre Carter,Panthers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kyle Hergel,Saints,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$273,852 ","$273,852 ",$0 
John Leglue,Steelers,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$280,964 ","$280,964 ",$0 
