Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Kedon Slovis,Texans,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Jason Bean,Colts,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Devin Leary,Ravens,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Austin Reed,Bears,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Emory Jones,Falcons,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Tanner Mordecai,49ers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Adrian Martinez,Jets,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Sam Hartman,Commanders,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Malik Cunningham,Ravens,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Ben DiNucci,Saints,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Jake Fromm,Lions,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Shane Buechele,Bills,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Skylar Thompson,Steelers,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Michael Pratt,Buccaneers,2025,2,,"$2,285,000 ","$1,142,500 ","$250,000 ",,0.40%,,"$2,285,000 ","$1,142,500 ","$250,000 "
Will Grier,Cowboys,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Brett Rypien,Vikings,2025,1,,"$1,195,000 ","$1,195,000 ",$0 ,,0.40%,,"$1,195,000 ","$1,195,000 ",$0 
Sam Hartman,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Austin Reed,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jack Plummer,Panthers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Skylar Thompson,Dolphins,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Devin Leary,Ravens,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Bailey Zappe,Chiefs,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ian Book,Eagles,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Malik Cunningham,Ravens,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Michael Pratt,Buccaneers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Desmond Ridder,Cardinals,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Skylar Thompson,Dolphins,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ben DiNucci,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jake Luton,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Carter Bradley,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jaren Hall,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Anthony Brown,Bills,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tanner Mordecai,49ers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
EJ Perry,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
John Rhys Plumlee,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
