Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Emani Bailey,Panthers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Jawhar Jordan,Texans,2025,1,,"$860,000 ","$860,000 ","$10,000 ",,0.30%,,"$860,000 ","$860,000 ","$10,000 "
Jabari Small,Titans,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Xazavian Valladay,Saints,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
D.J. Williams,Buccaneers,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Frank Gore Jr.,Bills,2025,2,,"$1,853,000 ","$926,500 ","$8,000 ",,0.30%,,"$1,853,000 ","$926,500 ","$8,000 "
Aaron Shampklin,Steelers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Evan Hull,Steelers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Elijah Dotson,Falcons,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Zach Evans,Jets,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Tyler Goodson,Colts,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Isaiah Spiller,Raiders,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Zonovan Knight,Cardinals,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Jaret Patterson,Chargers,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Demetric Felton,Commanders,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Malik Davis,Cowboys,2025,2,,"$2,175,000 ","$1,087,500 ",$0 ,,0.40%,,"$2,175,000 ","$1,087,500 ",$0 
J.J. Taylor,Texans,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Gary Brightwell,Bengals,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Jonathan Ward,Steelers,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Salvon Ahmed,Colts,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Tyler Badie,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
George Holani,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
J.J. Taylor,Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kendall Milton,Bengals,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jermar Jefferson,Lions,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jabari Small,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Chris Collier,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Chris Rodriguez Jr.,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Nate McCrary,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Ellis Merriweather,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dante Miller,Giants,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Michael Wiley,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Darrynton Evans,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
J.J. Taylor,Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Louis Rees-Zammit,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Deshaun Fenwick,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Evan Hull,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Darrynton Evans,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jalen Jackson,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jawhar Jordan,Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jabari Small,Titans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
J.J. Taylor,Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dillon Johnson,Panthers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Emani Bailey,Chiefs,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jaret Patterson,Chargers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Aaron Shampklin,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jacob Kibodi,Browns,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Isaiah Spiller,Raiders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Xazavian Valladay,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Christopher Brooks,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tyrion Davis-Price,Eagles,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Xazavian Valladay,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Elijah Dotson,Falcons,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Aaron Shampklin,Steelers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Demetric Felton,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
John Kelly,Chargers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Brittain Brown,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Blake Watson,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Malik Davis,Cowboys,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Blake Watson,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Emani Bailey,CAR/KC,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Lew Nichols III,Eagles,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Keaontay Ingram,Chiefs,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jacob Kibodi,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Zach Evans,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jake Funk,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Evan Hull,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
J.J. Taylor,Texans,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jordan Mims,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jacob Kibodi,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Frank Gore Jr.,Bills,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Darrynton Evans,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Jake Funk,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Terrell Jennings,Patriots,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kevin Harris,Patriots,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
John Kelly,Ravens,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
