Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Henry Byrd,Vikings,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Darrian Dalcourt,Ravens,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Tashawn Manning,Bengals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Lorenz Metz,Buccaneers,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Kohl Levao,Jets,2025,2,,"$1,845,000 ","$922,500 ",$0 ,,0.30%,,"$1,845,000 ","$922,500 ",$0 
Chasen Hines,Dolphins,2025,2,,"$2,035,000 ","$1,017,500 ",$0 ,,0.40%,,"$2,035,000 ","$1,017,500 ",$0 
Chris Glaser,Bears,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
Nick Gargiulo,Broncos,2025,2,,"$2,093,000 ","$1,046,500 ","$58,000 ",,0.40%,,"$2,093,000 ","$1,046,500 ","$58,000 "
Netane Muti,Lions,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Jack Anderson,Cowboys,2025,1,,"$1,100,000 ","$1,100,000 ",$0 ,,0.40%,,"$1,100,000 ","$1,100,000 ",$0 
Dennis Daley,Jaguars,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Calvin Throckmorton,Broncos,2025,1,,"$1,170,000 ","$1,170,000 ",$0 ,,0.40%,,"$1,170,000 ","$1,170,000 ",$0 
Mason Brooks,Panthers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Darrian Dalcourt,Ravens,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Mason Brooks,Colts,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Haggai Chisom Ndubuisi,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Henry Byrd,Vikings,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Lorenz Metz,Buccaneers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Chasen Hines,Dolphins,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Alex Leatherwood,Chargers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kyle Hergel,Saints,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Tashawn Manning,Bengals,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dieter Eiselen,49ers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Chris Glaser,Bears,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Steven Jones,Jaguars,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Matthew Gotel,Seahawks,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dieter Eiselen,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Haggai Chisom Ndubuisi,Commanders,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Nick Gargiulo,Broncos,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Dakoda Shepley,Cowboys,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Kohl Levao,Jets,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Lecitus Smith,Packers,2024,1,,"$225,000 ","$225,000 ",$0 ,,0.10%,,"$240,065 ","$240,065 ",$0 
Nick Gargiulo,Broncos,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$273,852 ","$273,852 ",$0 
Chris Glaser,Bears,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$280,964 ","$280,964 ",$0 
Nick Gargiulo,Broncos,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$307,639 ","$307,639 ",$0 
Chris Glaser,Bears,2024,1,,"$301,666 ","$301,666 ",$0 ,,0.10%,,"$321,864 ","$321,864 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Mark Glowinski,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Cameron Erving,Eagles,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Mark Glowinski,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Cameron Erving,49ers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Dennis Daley,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Nick Gargiulo,Broncos,2024,1,,"$320,001 ","$320,001 ",$0 ,,0.10%,,"$341,426 ","$341,426 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$344,211 ","$344,211 ",$0 ,,0.10%,,"$367,257 ","$367,257 ",$0 
Max Scharping,Commanders,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Cameron Erving,Texans,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jack Anderson,Cowboys,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$386,022 ","$386,022 ",$0 ,,0.20%,,"$411,868 ","$411,868 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$427,833 ","$427,833 ",$0 ,,0.20%,,"$456,478 ","$456,478 ",$0 
Haggai Chisom Ndubuisi,Commanders,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Kyle Hergel,Saints,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Mason Brooks,CAR/WAS,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Henry Byrd,Vikings,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Ryan Johnson,Buccaneers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
