Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Ben Nikkel,Commanders,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Craig Young,Bengals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Michael Dowell,Seahawks,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
P.J. Jules,Bengals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Emany Johnson,Chargers,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Trey Dean,Browns,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Mark Perry,Patriots,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Jaylen Key,Bengals,2025,1,,"$840,000 ","$840,000 ",$0 ,,0.30%,,"$840,000 ","$840,000 ",$0 
Loren Strickland,Lions,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Joshuah Bledsoe,Steelers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Benny Sapp III,Falcons,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Millard Bradford,Saints,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Quindell Johnson,49ers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Alex Cook,Bears,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Jaylen Mahoney,49ers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Jason Taylor II,Chiefs,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Omar Brown,Packers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
Kendall Williamson,Chargers,2025,1,,"$960,000 ","$960,000 ",$0 ,,0.40%,,"$960,000 ","$960,000 ",$0 
J.T. Woods,Seahawks,2025,1,,"$1,030,000 ","$1,030,000 ",$0 ,,0.40%,,"$1,030,000 ","$1,030,000 ",$0 
