Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
1,Zach Cunningham,26,HOU,LB,16,16,0,43,37,86.0,452,12.2,10.5,2,126.0,4.4,112,340,35,3,1,0,3.0,7,164,17,9.4,,CunnZa00
2,Jaylon Smith,25,DAL,LB,16,16,1,59,42,71.2,424,10.1,7.2,3,101.2,3.8,139,285,45,1,3,0,1.5,6,154,9,5.5,,SmitJa05
3,Blake Martinez,26,NYG,LB,16,16,1,75,59,78.7,542,9.2,7.2,0,91.2,4.2,284,258,43,1,3,0,3.0,7,151,10,6.2,,MartBl01
4,Joe Schobert,27,JAX,LB,16,16,3,66,49,74.2,550,11.2,8.3,6,110.0,5.7,201,349,59,2,3,0,2.5,9,141,14,9.0,,SchoJo00
5,Devin White,22,TAM,LB,15,15,0,84,70,83.3,626,8.9,7.5,3,109.6,4.6,311,315,91,3,8,0,9.0,20,140,15,9.7,AP-2,WhitDe02
6,Roquan Smith,23,CHI,LB,16,16,2,79,50,63.3,290,5.8,3.7,0,59.6,2.3,66,224,33,4,3,0,4.0,11,139,10,6.7,AP-2,SmitRo07
7,Bobby Wagner,30,SEA,LB,16,16,0,81,52,64.2,488,9.4,6.0,2,88.9,6.8,234,254,100,1,8,1,3.0,12,138,10,6.8,PBAP-1,WagnBo00
8,Neville Hewitt,27,NYJ,LB,16,16,0,78,55,70.5,530,9.6,6.8,1,93.4,5.5,261,269,82,1,2,0,2.0,6,134,16,10.7,,HewiNe00
9,Shaquille Leonard,25,IND,LB,14,14,0,70,57,81.4,474,8.3,6.8,3,109.2,4.0,165,309,45,3,0,2,3.0,8,132,7,5.0,PBAP-1,LeonDa00
10,Tyrell Adams,28,HOU,LB,16,12,0,61,48,78.7,461,9.6,7.6,4,120.0,4.1,184,277,44,1,1,0,2.0,4,125,12,8.8,,AdamTy00
11,Fred Warner,24,SFO,LB,16,16,2,61,38,62.3,270,7.1,4.4,2,69.7,4.2,80,190,76,9,6,1,1.0,16,125,7,5.3,PBAP-1,WarnFr00
12,Alexander Johnson,29,DEN,LB,16,16,0,67,48,71.6,433,9.0,6.5,0,88.7,3.2,111,322,115,4,4,0,1.0,9,124,7,5.3,,JohnAl01
13,Jordan Poyer,29,BUF,S,16,16,2,48,35,72.9,273,7.8,5.7,3,90.0,5.6,169,104,55,1,2,1,2.0,5,124,11,8.1,,PoyeJo00
14,Eric Wilson,26,MIN,LB,16,15,3,65,45,69.2,366,8.1,5.6,2,74.3,4.4,135,231,75,1,5,1,3.0,10,122,17,12.2,,WilsEr00
15,Alex Singleton,27,PHI,LB,16,11,1,40,30,75.0,227,7.6,5.7,3,102.8,4.5,97,130,36,1,5,0,2.0,8,120,13,9.8,,SingAl00
16,Demario Davis,31,NOR,LB,16,16,0,54,38,70.4,271,7.1,5.0,4,106.3,2.4,28,243,90,4,8,2,4.0,16,119,9,7.0,AP-2,DaviDe00
17,Tremaine Edmunds,22,BUF,LB,15,15,0,64,43,67.2,543,12.6,8.5,4,114.3,5.6,261,282,72,0,1,0,2.0,3,119,12,9.2,PB,EdmuTr01
18,Budda Baker,24,ARI,S,15,15,2,42,30,71.4,339,11.3,8.1,5,115.0,7.8,190,149,70,5,1,1,2.0,8,118,13,9.9,PBAP-1,BakeBu00
19,Jonathan Bostic,29,WAS,LB,16,15,1,61,44,72.1,410,9.3,6.7,2,94.3,4.8,169,241,61,1,4,0,3.0,8,118,10,7.8,,BostJo00
20,Jordan Hicks,28,ARI,LB,16,16,1,62,44,71.0,460,10.5,7.4,0,85.4,5.3,211,249,89,4,1,1,0.0,5,118,11,8.5,,HickJo00
21,Myles Jack,25,JAX,LB,14,14,1,56,43,76.8,337,7.8,6.0,2,95.6,2.6,47,290,43,1,1,1,1.0,3,118,8,6.3,,JackMy00
22,Jeremy Chinn,22,CAR,LB,15,15,1,64,47,73.4,422,9.0,6.6,6,115.5,6.9,212,210,65,2,4,0,1.0,7,117,15,11.4,AP DRoY-2,ChinJe00
23,Lavonte David,30,TAM,LB,16,16,1,92,69,75.0,417,6.0,4.5,4,93.4,3.1,172,245,65,0,1,1,1.5,3,117,10,7.9,AP-2,DaviLa00
24,Foyesade Oluokun,25,ATL,LB,15,14,2,66,49,74.2,418,8.5,6.3,2,87.8,5.0,161,257,82,3,6,0,3.0,13,117,14,10.7,,OluoFo00
25,Vonn Bell,26,CIN,S,16,16,0,59,38,64.4,519,13.7,8.8,5,120.7,9.3,295,224,36,1,4,0,0.0,5,114,5,4.2,,BellVo00
26,Shaq Thompson,26,CAR,LB,16,15,0,76,56,73.7,417,7.4,5.5,1,90.7,3.8,177,240,55,2,2,0,0.0,4,114,8,6.6,,ThomSh01
27,Josey Jewell,26,DEN,LB,16,16,0,66,48,72.7,407,8.5,6.2,1,93.4,4.3,164,243,58,2,3,0,2.0,7,113,4,3.4,,JeweJo00
28,Danny Trevathan,30,CHI,LB,16,16,0,59,46,78.0,573,12.5,9.7,2,118.4,6.6,276,297,26,1,1,0,1.0,3,113,6,5.0,,TrevDa00
29,Jerome Baker,24,MIA,LB,16,11,0,57,40,70.2,349,8.7,6.1,0,86.1,5.5,162,187,99,4,3,0,7.0,15,112,10,8.2,,BakeJe00
30,Kevin Byard,27,TEN,S,16,16,1,45,33,73.3,314,9.5,7.0,4,112.6,8.6,186,128,29,1,1,0,0.0,2,111,8,6.7,,ByarKe01
31,Avery Williamson,28,2TM,LB,15,10,1,54,47,87.0,452,9.6,8.4,2,106.2,3.8,174,278,41,0,1,0,1.0,2,111,6,5.1,,WillAv00
31,Avery Williamson,28,NYJ,LB,7,6,1,33,31,93.9,306,9.9,9.3,0,92.7,3.3,104,202,14,0,0,0,0.0,0,59,2,3.3,,WillAv00
31,Avery Williamson,28,PIT,LB,8,4,0,21,16,76.2,146,9.1,7.0,2,126.3,4.5,70,76,27,0,1,0,1.0,2,52,4,7.1,,WillAv00
32,Jessie Bates III,23,CIN,S,16,16,3,46,25,54.3,317,12.7,6.9,3,70.7,10.3,217,100,6,0,1,0,0.0,1,109,16,12.8,AP-2,BateJe00
33,Adrian Phillips,28,NWE,S,16,16,2,44,34,77.3,331,9.7,7.5,1,86.5,4.1,133,198,42,2,0,0,1.0,3,109,6,5.2,,PhilAd00
34,Eric Kendricks,28,MIN,LB,11,11,3,41,29,70.7,278,9.6,6.8,0,58.8,6.0,131,147,53,4,1,0,0.0,5,107,8,7.0,,KendEr00
35,Kenneth Murray,22,LAC,LB,16,16,0,53,44,83.0,428,9.7,8.1,2,112.9,5.6,238,190,32,0,0,0,1.0,1,107,8,7.0,,MurrKe00
36,Deion Jones,26,ATL,LB,16,16,2,54,40,74.1,371,9.3,6.9,6,114.0,4.8,85,286,61,5,6,0,4.5,16,106,11,9.4,,JoneDe01
37,Patrick Queen,21,BAL,LB,16,16,1,54,41,75.9,366,8.9,6.8,3,104.4,4.1,134,232,86,3,7,0,3.0,13,106,21,16.5,AP DRoY-3,QueePa00
38,John Johnson,25,LAR,S,16,16,1,68,47,69.1,321,6.8,4.7,0,73.2,6.1,149,172,6,1,0,0,0.0,1,105,9,7.9,,JohnJo10
39,Anthony Harris,29,MIN,S,16,16,0,36,21,58.3,262,12.5,7.3,4,118.1,11.5,171,91,18,0,0,0,0.0,0,104,10,8.8,,HarrAn01
40,Jamie Collins,31,DET,LB,14,14,1,47,34,72.3,434,12.8,9.2,2,106.2,5.9,178,256,42,3,2,1,1.0,6,101,12,10.6,,CollJa00
41,Malcolm Butler,30,TEN,CB,16,16,4,127,80,63.0,873,10.9,6.9,5,83.2,9.9,647,226,3,0,0,0,0.0,0,100,10,9.1,,ButlMa01
42,Keanu Neal,25,ATL,S,15,14,1,66,49,74.2,564,11.5,8.5,1,98.3,6.3,294,270,27,3,2,0,1.0,6,100,11,9.9,,NealKe01
43,Josh Bynes,31,CIN,LB,16,16,0,36,26,72.2,211,8.1,5.9,0,86.7,1.6,42,169,24,0,1,0,1.0,2,99,16,13.9,,ByneJo00
44,De'Vondre Campbell,27,ARI,LB,16,16,0,56,41,73.2,393,9.6,7.0,2,104.2,4.4,114,279,43,3,0,0,2.0,5,99,13,11.6,,CampDe00
45,Chuck Clark,25,BAL,S,16,16,1,53,32,60.4,348,10.9,6.6,2,84.5,7.2,152,196,60,3,2,0,1.5,7,96,5,5.0,,ClarCh00
46,Rashaan Evans,25,TEN,LB,16,16,0,34,25,73.5,194,7.8,5.7,0,87.1,4.5,47,147,53,2,3,0,0.5,6,96,3,3.0,,EvanRa01
47,Justin Simmons,27,DEN,S,16,16,5,54,42,77.8,447,10.6,8.3,7,102.2,8.6,288,159,9,3,0,2,0.0,3,96,12,11.1,PB,SimmJu00
48,Tre Boston,28,CAR,S,16,16,1,55,37,67.3,347,9.4,6.3,3,95.0,7.6,191,156,22,0,1,0,1.0,2,95,15,13.6,,BostTr00
49,Taron Johnson,24,BUF,CB,16,11,1,80,54,67.5,551,10.2,6.9,2,90.2,5.9,305,246,41,6,2,0,1.0,9,94,14,13.0,,JohnTa01
50,Logan Ryan,29,NYG,S,16,15,1,53,33,62.3,336,10.2,6.3,2,85.1,7.5,201,135,23,3,3,1,1.0,7,94,11,10.5,,RyanLo00
51,Antoine Winfield Jr.,22,TAM,S,16,16,1,39,30,76.9,526,17.5,13.5,6,147.2,13.1,379,147,45,1,1,1,3.0,6,94,7,6.9,AP DRoY-4,WinfAn00
52,Anthony Walker,25,IND,LB,16,16,1,50,38,76.0,287,7.6,5.7,3,101.0,3.6,129,158,22,2,1,0,0.0,3,92,6,6.1,,WalkAn01
53,Ja'Whaun Bentley,24,NWE,LB,13,13,0,31,24,77.4,221,9.2,7.1,0,96.3,4.3,60,161,45,2,2,0,1.5,6,91,9,9.0,,BentJa00
54,B.J. Goodson,27,CLE,LB,14,14,2,60,48,80.0,444,9.3,7.4,4,105.8,4.0,163,281,31,1,2,1,0.5,4,91,5,5.2,,GoodB.00
55,Malcolm Jenkins,33,NOR,S,16,16,3,74,52,70.3,504,9.7,6.8,3,85.6,6.7,247,257,76,4,3,0,2.5,10,91,7,7.1,,JenkMa99
56,Jabrill Peppers,25,NYG,S,15,14,1,69,45,65.2,492,10.9,7.1,2,89.8,6.9,254,238,38,4,0,0,2.5,7,91,10,9.9,,PeppJa00
57,Eric Rowe,28,MIA,S,16,14,2,85,53,62.4,641,12.1,7.5,1,79.6,8.1,368,273,27,0,2,0,0.0,2,91,9,9.0,,RoweEr00
58,Daniel Sorensen,30,KAN,S,15,11,3,60,46,76.7,560,12.2,9.3,3,100.7,6.9,252,308,64,1,4,0,0.0,5,91,14,13.3,,SoreDa01
59,Kareem Jackson,32,DEN,S,16,16,1,48,31,64.6,278,9.0,5.8,2,85.2,7.4,122,156,3,0,0,0,0.0,0,89,11,11.0,,JackKa99
60,Germaine Pratt,24,CIN,LB,16,15,0,47,38,80.9,331,8.7,7.0,2,110.2,4.5,142,189,30,0,0,0,0.0,0,89,10,10.1,,PratGe00
61,Harrison Smith,31,MIN,S,16,16,5,32,21,65.6,338,16.1,10.6,1,71.6,15.3,247,91,33,2,4,0,0.5,7,89,8,8.2,,SmitHa00
62,Kamren Curl,21,WAS,S,16,11,3,53,39,73.6,380,9.7,7.2,2,82.3,5.4,183,197,40,1,3,0,2.0,6,88,16,15.4,,CurlKa00
63,Marcus Maye,27,NYJ,S,16,16,2,46,27,58.7,285,10.6,6.2,3,80.4,11.0,139,146,23,1,0,0,2.0,3,88,11,11.1,,MayeMa00
64,Tracy Walker,25,DET,S,15,7,0,51,34,66.7,397,11.7,7.8,5,122.8,9.3,223,174,22,1,1,1,1.0,3,87,12,12.1,,WalkTr01
65,Johnathan Abram,24,LVR,S,13,13,2,33,27,81.8,394,14.6,11.9,2,111.4,13.8,328,66,47,5,4,0,0.0,9,86,13,13.1,,AbraJo01
66,Dre Greenlaw,23,SFO,LB,13,11,0,50,39,78.0,306,7.8,6.1,0,92.2,1.9,82,224,50,0,1,0,1.0,2,86,4,4.4,,GreeDr00
67,K.J. Wright,31,SEA,LB,16,16,1,66,51,77.3,416,8.2,6.3,4,106.6,3.5,149,267,72,3,1,3,2.0,6,86,10,10.4,,WrigK.00
68,Khari Willis,24,IND,S,14,14,2,39,23,59.0,191,8.3,4.9,1,58.8,7.5,140,51,26,4,2,0,2.0,8,85,4,4.5,,WillKh00
69,Rayshawn Jenkins,26,LAC,S,15,15,2,64,42,65.6,366,8.7,5.7,2,78.0,6.4,150,216,13,0,0,0,1.0,1,84,11,11.6,,JenkRa00
