Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Jaire Alexander,22,GNB,CB,16,16,2,37,0,37,17,1,0,1,0,0,0.0,58,50,8,2,0,0,,AlexJa00
2,Josh Allen,23,BUF,QB,16,16,0,0,0,0,0,0,14,4,-1,0,0.0,0,0,0,0,0,0,,AlleJo02
3,Ricardo Allen,28,ATL,S,16,16,2,29,0,27,8,0,0,0,0,0,0.0,85,54,31,4,0,0,,AlleRi00
4,Adrian Amos,26,GNB,S,16,16,2,12,0,9,8,0,0,0,0,0,1.0,84,68,16,4,2,0,,AmosAd00
5,Arik Armstead,26,SFO,DE,16,16,0,0,0,0,2,2,0,1,0,0,10.0,54,32,22,11,18,0,,ArmsAr01
6,Chidobe Awuzie,24,DAL,CB,16,16,1,0,0,0,14,0,0,0,0,0,0.0,79,48,31,1,1,0,,AwuzCh00
7,Budda Baker,23,ARI,S,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,0,PB,BakeBu00
8,Shaquil Barrett,27,TAM,LB,16,16,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,37,0,PBAP-2AP DPoY-4,BarrSh00
9,Jessie Bates III,22,CIN,S,16,16,3,33,0,20,9,1,0,1,0,0,0.0,100,71,29,0,0,0,,BateJe00
10,Antoine Bethea,35,NYG,S,16,16,1,7,0,7,6,0,0,2,0,0,0.0,110,81,29,2,0,0,,BethAn20
11,Joey Bosa,24,LAC,DE,16,16,0,0,0,0,0,1,0,0,0,0,11.5,67,47,20,18,31,0,PB,BosaJo00
12,Jonathan Bostic,28,WAS,LB,16,16,1,26,0,26,2,0,0,0,0,0,1.0,105,56,49,3,6,0,,BostJo00
13,Tre Boston,27,CAR,S,16,16,3,20,0,20,11,0,0,0,0,0,0.0,68,53,15,1,1,0,,BostTr00
14,Garrett Bradbury,24,MIN,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BradGa00
15,Tom Brady,42,NWE,QB,16,16,0,0,0,0,0,0,4,5,0,0,0.0,0,0,0,0,0,0,,BradTo00
16,Michael Brockers,29,LAR,DE,16,16,0,0,0,0,1,0,0,0,0,0,3.0,63,34,29,3,9,0,,BrocMi00
17,Malcom Brown,25,NOR,DT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,34,18,16,6,5,0,,BrowMa01
18,DeForest Buckner,25,SFO,DT,16,16,0,0,0,0,2,2,0,4,12,1,7.5,62,34,28,9,14,0,AP-2,BuckDe00
19,Kevin Byard,26,TEN,S,16,16,5,79,0,28,9,0,0,0,0,0,0.0,84,60,24,2,0,0,,ByarKe01
20,Calais Campbell,33,JAX,DE,16,16,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,25,0,PB,CampCa99
21,A.J. Cann,28,JAX,RG,16,16,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,0,,CannA.00
22,Brandon Carr,33,BAL,S,16,16,0,0,0,0,6,0,0,0,0,0,2.0,49,41,8,4,7,0,,CarrBr99
23,Derek Carr,28,LVR,QB,16,16,0,0,0,0,0,0,7,5,-19,0,0.0,0,0,0,0,0,0,,CarrDe02
24,Nick Chubb,24,CLE,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,PB,ChubNi00
25,Kenny Clark,24,GNB,DT,16,16,0,0,0,0,1,1,0,0,0,0,6.0,62,31,31,9,7,0,PB,ClarKe01
26,Ha Ha Clinton-Dix,27,CHI,S,16,16,2,96,1,59,5,0,0,2,1,0,0.0,78,62,16,0,0,0,,ClinHa00
27,Maliek Collins,24,DAL,DT,16,16,0,0,0,0,0,0,0,1,0,0,4.0,20,15,5,6,10,0,,CollMa00
28,Jack Conklin,25,TEN,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,,ConkJa00
29,Fletcher Cox,29,PHI,DT,16,16,0,0,0,0,2,3,0,1,1,0,3.5,40,26,14,5,10,0,PB,CoxxFl00
30,Zach Cunningham,25,HOU,LB,16,16,0,0,0,0,2,0,0,2,24,0,2.0,142,99,43,7,3,0,,CunnZa00
31,Lavonte David,29,TAM,LB,16,16,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,0,,DaviLa00
32,Demario Davis,30,NOR,LB,16,16,1,1,0,1,12,0,0,0,0,0,4.0,111,87,24,11,9,0,AP-1,DaviDe00
33,Thomas Davis,36,LAC,LB,16,16,0,0,0,0,2,0,0,0,0,0,1.0,112,65,47,3,2,0,,DaviTh20
34,Dion Dawkins,25,BUF,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,DawkDi00
