Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,PHI,17,337,542,62.2,2961,22,4.1,13,90,2.4,6.0,5.8,9.7,174.2,82.5,41,305,87,81,7.0,5.1,4.8,12.27
2,TEN,17,314,473,66.4,3014,27,5.7,11,53,2.3,6.8,6.9,10.2,177.3,95.1,32,202,67,92,6.3,6.0,6.1,-89.70
3,WAS,17,307,496,61.9,3221,25,5.0,7,60,1.4,7.0,7.4,11.4,189.5,93.9,43,271,88,86,8.0,6.0,6.3,-126.77
4,NYJ,17,327,521,62.8,3275,18,3.5,7,57,1.3,6.9,7.0,11.0,192.6,89.0,43,313,84,89,7.6,5.8,5.9,-92.67
5,SFO,17,338,516,65.5,3278,25,4.8,11,72,2.1,6.7,6.7,10.3,192.8,92.0,37,198,80,67,6.7,5.9,5.9,-56.36
6,HOU,17,326,554,58.8,3417,31,5.6,19,90,3.4,6.8,6.4,11.5,201.0,83.7,49,336,98,106,8.1,5.7,5.3,-5.15
7,LAC,17,367,565,65.0,3517,24,4.2,15,87,2.7,6.7,6.3,10.3,206.9,87.1,46,245,98,78,7.5,5.8,5.4,-18.84
8,NYG,17,349,503,69.4,3580,23,4.6,5,60,1.0,7.7,8.2,11.1,210.6,103.1,45,289,94,96,8.2,6.5,7.0,-98.19
9,MIA,17,365,572,63.8,3582,22,3.8,10,69,1.7,6.7,6.7,10.5,210.7,88.7,35,247,81,83,5.8,5.9,5.9,-36.64
10,NWE,17,346,533,64.9,3596,27,5.1,7,73,1.3,7.0,7.5,10.8,211.5,96.9,28,153,66,62,5.0,6.4,6.8,-119.58
11,SEA,17,371,569,65.2,3603,26,4.6,13,74,2.3,6.9,6.8,10.6,211.9,90.9,45,327,112,74,7.3,5.9,5.8,-36.64
12,CLE,17,316,511,61.8,3611,26,5.1,4,60,0.8,7.6,8.3,12.3,212.4,98.9,41,267,108,112,7.4,6.5,7.2,-80.69
13,GNB,17,381,565,67.4,3658,23,4.1,17,56,3.0,7.0,6.5,10.4,215.2,88.5,45,301,91,95,7.4,6.0,5.5,-22.66
14,ARI,17,370,539,68.6,3674,20,3.7,9,63,1.7,7.3,7.3,10.6,216.1,95.1,41,256,76,87,7.1,6.3,6.3,-85.53
15,LVR,17,370,561,66.0,3676,29,5.2,10,81,1.8,7.1,7.3,10.8,216.2,96.5,38,313,86,83,6.3,6.1,6.4,-91.34
16,CHI,17,325,503,64.6,3705,17,3.4,11,66,2.2,7.9,7.6,12.2,217.9,90.9,40,254,100,81,7.4,6.8,6.5,-39.42
17,DAL,17,349,512,68.2,3708,28,5.5,13,70,2.5,7.9,7.9,11.6,218.1,99.5,52,337,105,70,9.2,6.6,6.5,-63.96
18,KAN,17,375,569,65.9,3720,24,4.2,13,71,2.3,7.0,6.8,10.6,218.8,90.6,39,250,112,87,6.4,6.1,5.9,-78.98
19,DEN,17,393,606,64.9,3752,22,3.6,15,68,2.5,6.8,6.4,10.5,220.7,86.2,63,360,142,94,9.4,5.6,5.3,-16.14
20,LAR,17,354,542,65.3,3793,29,5.4,13,73,2.4,7.6,7.6,11.6,223.1,95.9,38,308,72,72,6.6,6.5,6.5,-60.58
21,CIN,17,372,573,64.9,3799,30,5.2,15,79,2.6,7.0,6.9,10.8,223.5,91.9,36,217,105,72,5.9,6.2,6.1,-78.94
22,ATL,17,404,578,69.9,3817,34,5.9,12,66,2.1,6.9,7.2,9.9,224.5,100.2,31,187,74,79,5.1,6.3,6.5,-76.07
23,CAR,17,360,530,67.9,3820,35,6.6,9,68,1.7,7.6,8.2,11.2,224.7,105.4,32,223,64,65,5.7,6.8,7.3,-143.21
24,BUF,17,396,578,68.5,3843,28,4.8,16,60,2.8,7.1,6.8,10.4,226.1,93.3,39,257,94,93,6.3,6.2,6.0,-116.31
25,PIT,17,382,582,65.6,3876,23,4.0,17,77,2.9,7.1,6.6,10.9,228.0,87.5,40,275,105,83,6.4,6.2,5.7,-55.50
26,IND,17,378,545,69.4,3899,27,5.0,16,57,2.9,7.6,7.3,11.0,229.4,95.8,36,243,83,88,6.2,6.7,6.4,-101.05
27,NOR,17,366,591,61.9,4055,19,3.2,14,93,2.4,7.3,6.8,11.7,238.5,84.8,39,240,84,77,6.2,6.4,6.0,-60.31
28,MIN,17,415,637,65.1,4114,24,3.8,24,95,3.8,7.0,6.1,10.7,242.0,82.4,49,345,113,96,7.1,6.0,5.1,-26.89
29,TAM,17,418,630,66.3,4147,27,4.3,7,62,1.1,7.1,7.4,10.7,243.9,96.6,46,317,114,81,6.8,6.1,6.5,-115.82
30,DET,17,373,610,61.1,4148,18,3.0,16,81,2.6,7.2,6.6,11.8,244.0,82.0,37,256,110,70,5.7,6.4,5.9,-55.00
31,BAL,17,396,625,63.4,4150,27,4.3,12,82,1.9,7.1,7.1,11.3,244.1,91.1,54,318,122,82,8.0,6.1,6.1,-113.15
32,JAX,17,389,580,67.1,4375,29,5.0,6,75,1.0,7.9,8.5,11.8,257.4,103.4,34,230,68,82,5.5,7.1,7.6,-161.72
