Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,BAL,17,383,1361,12,3.6,80.1,43.67
2,MIN,17,392,1588,12,4.1,93.4,43.57
3,DEN,17,424,1639,10,3.9,96.4,35.91
4,TAM,17,389,1663,13,4.3,97.8,17.82
5,DET,17,369,1672,18,4.5,98.4,-19.57
6,PIT,17,412,1678,14,4.1,98.7,-3.68
7,GNB,17,426,1689,13,4.0,99.4,13.86
8,KAN,17,418,1731,13,4.1,101.8,-9.62
9,MIA,17,405,1763,12,4.4,103.7,10.56
10,PHI,17,416,1771,9,4.3,104.2,29.98
11,HOU,17,447,1938,11,4.3,114.0,6.85
12,BUF,17,435,1963,13,4.5,115.5,16.75
13,LVR,17,454,1987,14,4.4,116.9,4.20
14,LAC,17,426,1997,7,4.7,117.5,-5.14
15,ATL,17,458,2051,11,4.5,120.6,-20.08
16,SEA,17,451,2053,11,4.6,120.8,5.65
17,NYJ,17,504,2059,22,4.1,121.1,-14.76
18,SFO,17,476,2118,24,4.4,124.6,-45.07
19,CIN,17,479,2122,20,4.4,124.8,-33.29
20,ARI,17,465,2149,18,4.6,126.4,-35.69
21,CLE,17,488,2205,22,4.5,129.7,8.90
22,LAR,17,477,2210,13,4.6,130.0,-43.37
23,NWE,17,507,2233,16,4.4,131.4,-25.99
24,IND,17,531,2241,18,4.2,131.8,13.53
25,JAX,17,511,2254,19,4.4,132.6,-25.28
26,TEN,17,503,2277,21,4.5,133.9,-14.45
27,NYG,17,503,2316,18,4.6,136.2,-7.19
28,CHI,17,485,2317,20,4.8,136.3,-24.05
29,DAL,17,482,2331,25,4.8,137.1,-67.95
30,WAS,17,490,2337,18,4.8,137.5,-46.56
31,NOR,17,489,2404,20,4.9,141.4,-60.21
32,CAR,17,592,3057,24,5.2,179.8,-97.76
