Tm,G,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
ATL,16,428,617,4653,0,18,1,37,6.2%,81,13.5%,0,0.0%
BUF,16,271,499,2794,0,21,0,24,5.0%,110,23.0%,0,0.0%
CAR,16,378,563,3836,0,21,4,24,4.5%,85,15.8%,0,0.0%
CHI,16,344,512,3564,0,10,1,13,2.6%,90,18.0%,0,0.0%
CIN,16,331,542,3290,0,14,3,30,5.7%,93,17.7%,0,0.0%
CLE,16,353,574,4007,0,18,4,36,6.5%,101,18.3%,0,0.0%
IND,16,432,644,4461,0,8,2,37,5.8%,90,14.2%,0,0.0%
ARI,16,283,495,2523,0,24,1,26,5.5%,92,19.6%,0,0.0%
DAL,16,356,527,3538,0,13,0,22,4.3%,90,17.5%,0,0.0%
DEN,16,367,588,3695,0,35,2,34,6.2%,95,17.2%,0,0.0%
DET,16,375,574,3576,0,17,1,30,5.4%,99,17.8%,0,0.0%
GNB,16,392,640,4238,0,51,3,31,5.3%,116,19.8%,0,0.0%
HOU,16,345,506,3781,0,13,6,17,3.5%,85,17.5%,0,0.0%
JAX,16,329,536,3109,0,22,0,33,6.4%,89,17.3%,0,0.0%
KAN,16,385,583,4955,0,24,1,29,5.2%,95,17.0%,0,0.0%
MIA,16,292,455,2900,0,20,2,16,3.7%,70,16.2%,0,0.0%
MIN,16,425,606,4036,0,17,3,25,4.3%,68,11.6%,0,0.0%
NOR,16,381,519,4042,0,14,0,24,4.8%,52,10.3%,0,0.0%
NWE,16,378,574,4258,0,22,2,25,4.5%,104,18.9%,0,0.0%
NYG,16,382,583,4047,0,9,1,24,4.2%,96,16.8%,0,0.0%
NYJ,16,299,524,3165,0,27,2,26,5.3%,99,20.0%,0,0.0%
TEN,16,293,437,2975,0,14,0,19,4.5%,78,18.4%,0,0.0%
PHI,16,422,599,4275,0,6,4,23,3.9%,78,13.2%,0,0.0%
PIT,16,459,689,5008,0,7,3,24,3.5%,125,18.4%,0,0.0%
LVR,16,382,556,3751,0,23,7,33,6.3%,66,12.5%,0,0.0%
LAR,16,368,568,4507,0,29,2,14,2.6%,93,17.3%,0,0.0%
BAL,16,334,556,3558,0,16,3,29,5.4%,101,18.8%,0,0.0%
LAC,16,348,512,4089,0,14,0,23,4.6%,64,12.9%,0,0.0%
SEA,16,280,427,3093,0,24,8,18,4.6%,61,15.4%,0,0.0%
SFO,16,331,532,3867,0,20,4,27,5.3%,77,15.2%,0,0.0%
TAM,16,408,625,5125,0,11,1,26,4.2%,96,15.7%,0,0.0%
WAS,16,311,509,3021,0,20,4,29,6.0%,80,16.5%,0,0.0%
