Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
ATL,16,408,628,4363,5412,8.6,2976,7.3,4.7,1644,4.0
BUF,16,410,596,4620,5133,8.6,2859,7.0,4.8,1927,4.7
CAR,16,373,550,3888,4118,7.5,2098,5.6,3.8,2031,5.4
CHI,16,402,614,3655,4874,7.9,2208,5.5,3.6,1717,4.3
CIN,16,372,581,3448,4736,8.2,2005,5.4,3.5,1788,4.8
CLE,16,315,501,3539,4226,8.4,2296,7.3,4.6,1405,4.5
IND,16,371,552,4053,3971,7.2,1947,5.2,3.5,2239,6.0
ARI,16,387,575,3916,4460,7.8,2234,5.8,3.9,1868,4.8
DAL,16,413,639,4161,4748,7.4,2451,5.9,3.8,2060,5.0
DEN,16,317,556,3451,5001,9.0,2041,6.4,3.7,1632,5.1
DET,16,374,582,4104,4981,8.6,2510,6.7,4.3,1887,5.0
GNB,16,372,526,4106,4135,7.9,2051,5.5,3.9,2248,6.0
HOU,16,383,546,4538,4865,8.9,2865,7.5,5.2,1978,5.2
JAX,16,387,616,3699,4847,7.9,2248,5.8,3.6,1707,4.4
KAN,16,420,630,4854,5096,8.1,2524,6.0,4.0,2481,5.9
MIA,16,370,559,3736,4264,7.6,2282,6.2,4.1,1655,4.5
MIN,16,349,516,4009,4103,8.0,2329,6.7,4.5,1936,5.5
NOR,16,370,522,3758,3255,6.2,2034,5.5,3.9,1911,5.2
NWE,16,283,440,2890,2995,6.8,1578,5.6,3.6,1546,5.5
NYG,16,321,517,3026,3984,7.7,2070,6.4,4.0,1266,3.9
NYJ,16,292,499,2796,4243,8.5,1599,5.5,3.2,1516,5.2
TEN,16,316,485,3653,4064,8.4,2302,7.3,4.7,1524,4.8
PHI,16,334,598,3327,5319,8.9,2227,6.7,3.7,1501,4.5
PIT,16,428,656,4003,4652,7.1,2061,4.8,3.1,2068,4.8
LVR,16,369,551,4217,4492,8.2,2327,6.3,4.2,2056,5.6
LAR,16,392,590,4014,3937,6.7,1938,4.9,3.3,2245,5.7
BAL,16,257,406,2739,3524,8.7,1647,6.4,4.1,1272,4.9
LAC,16,413,627,4329,4728,7.5,2249,5.4,3.6,2299,5.6
SEA,16,388,563,3941,4834,8.6,2404,6.2,4.3,1841,4.7
SFO,16,371,570,4033,3770,6.6,2023,5.5,3.5,2297,6.2
TAM,16,410,626,4626,5639,9.0,2896,7.1,4.6,1880,4.6
WAS,16,389,601,3465,3711,6.2,1603,4.1,2.7,2193,5.6
