Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
ATL,16,617,428,4949,36,237,2804,6.6,2145,5.0,8.5,24,17.8,37,6.0,,
BUF,16,499,271,3082,13,137,1693,6.2,1389,5.1,9.5,14,19.4,24,4.8,,
CAR,16,563,378,4071,28,211,2022,5.3,2049,5.4,7.3,33,11.5,24,4.3,,
CHI,16,512,344,3747,28,177,2151,6.3,1596,4.6,8.7,20,17.2,13,2.5,,
CIN,16,542,331,3569,27,182,1919,5.8,1650,5.0,7.8,14,23.6,30,5.5,,
CLE,16,574,353,4261,29,189,2348,6.7,1913,5.4,9.3,21,16.8,36,6.3,,
IND,16,644,432,4595,39,237,2615,6.1,1980,4.6,7.5,16,27.0,37,5.7,,
ARI,16,495,283,2884,15,137,1630,5.8,1254,4.4,7.8,14,20.2,26,5.3,,
DAL,16,527,356,3885,22,184,1993,5.6,1892,5.3,7.4,13,27.4,22,4.2,,
DEN,16,588,367,3930,19,180,2116,5.8,1814,4.9,7.3,29,12.7,34,5.8,,
DET,16,574,375,3844,22,198,1797,4.8,2047,5.5,6.7,33,11.4,30,5.2,,
GNB,16,640,392,4629,25,208,2442,6.2,2187,5.6,8.6,15,26.1,31,4.8,,
HOU,16,506,345,4165,26,201,2412,7.0,1753,5.1,8.3,21,16.4,17,3.4,,
JAX,16,536,329,3431,15,164,1573,4.8,1858,5.6,6.8,21,15.7,33,6.2,,
KAN,16,583,385,5126,50,238,2503,6.5,2623,6.8,8.8,30,12.8,29,5.0,,
MIA,16,455,292,3309,26,153,1532,5.2,1777,6.1,7.8,17,17.2,16,3.5,,
MIN,16,606,425,4298,30,218,2345,5.5,1953,4.6,7.0,21,20.2,25,4.1,,
NOR,16,519,381,4174,33,209,2276,6.0,1898,5.0,7.2,23,16.6,24,4.6,,
NWE,16,574,378,4405,29,203,2229,5.9,2176,5.8,7.7,17,22.2,25,4.4,,
NYG,16,583,382,4405,23,206,2215,5.8,2190,5.7,7.4,29,13.2,24,4.1,,
NYJ,16,524,299,3404,18,157,1836,6.1,1568,5.2,8.7,21,14.2,26,5.0,,
TEN,16,437,293,3255,16,154,1616,5.5,1639,5.6,7.4,24,12.2,19,4.3,,
PHI,16,599,422,4524,29,221,2386,5.7,2138,5.1,7.3,27,15.6,23,3.8,,
PIT,16,689,459,5174,35,251,2354,5.1,2820,6.1,7.6,35,13.1,24,3.5,,
LVR,16,556,382,4057,19,197,2073,5.4,1984,5.2,6.6,21,18.2,33,5.9,,
LAR,16,568,368,4730,32,234,2565,7.0,2165,5.9,8.4,23,16.0,14,2.5,,
BAL,16,556,334,3708,18,184,2149,6.4,1559,4.7,8.5,24,13.9,29,5.2,,
LAC,16,512,348,4316,32,213,2189,6.3,2127,6.1,7.7,31,11.2,23,4.5,,
SEA,16,427,280,3448,35,155,2063,7.4,1385,4.9,8.6,15,18.7,18,4.2,,
SFO,16,532,331,4247,26,201,1931,5.8,2316,7.0,6.9,30,11.0,27,5.1,,
TAM,16,625,408,5358,36,264,3581,8.8,1777,4.4,10.5,19,21.5,26,4.2,,
WAS,16,509,311,3287,16,155,1758,5.7,1529,4.9,8.1,21,14.8,29,5.7,,
