Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
ATL,16,409,1532,13,86,816,2.0,716,1.8,27,15.1
BUF,16,411,1723,16,119,794,1.9,929,2.3,28,14.7
CAR,16,407,1704,19,110,864,2.1,840,2.1,42,9.7
CHI,16,393,1647,12,93,865,2.2,782,2.0,39,10.1
CIN,16,411,1668,13,92,924,2.2,744,1.8,23,17.9
CLE,16,495,2374,21,133,1224,2.5,1150,2.3,42,11.8
IND,16,459,1996,20,129,1145,2.5,851,1.9,35,13.1
ARI,16,479,2237,22,136,1505,3.1,732,1.5,31,15.5
DAL,16,430,1788,14,115,912,2.1,876,2.0,26,16.5
DEN,16,442,1918,13,94,1167,2.6,751,1.7,23,19.2
DET,16,367,1499,17,93,975,2.7,524,1.4,24,15.3
GNB,16,443,2118,16,114,1107,2.5,1011,2.3,26,17.0
HOU,16,344,1466,10,83,914,2.7,552,1.6,20,17.2
JAX,16,337,1519,9,80,756,2.2,763,2.3,20,16.9
KAN,16,403,1799,13,110,1091,2.7,708,1.8,25,16.1
MIA,16,428,1688,15,100,1075,2.5,613,1.4,19,22.5
MIN,16,468,2283,20,139,1215,2.6,1068,2.3,49,9.6
NOR,16,494,2265,30,147,1380,2.8,885,1.8,28,17.6
NWE,16,502,2346,20,143,1394,2.8,952,1.9,35,14.3
NYG,16,399,1768,13,91,1056,2.6,712,1.8,18,22.2
NYJ,16,406,1683,9,94,871,2.1,812,2.0,19,21.4
TEN,16,521,2690,26,142,1386,2.7,1304,2.5,41,12.7
PHI,16,403,2027,16,114,1239,3.1,788,2.0,29,13.9
PIT,16,373,1351,12,81,711,1.9,640,1.7,25,14.9
LVR,16,457,1916,20,121,1076,2.4,840,1.8,28,16.3
LAR,16,473,2018,19,123,1220,2.6,798,1.7,21,22.5
BAL,16,555,3071,24,165,1866,3.4,1205,2.2,33,16.8
LAC,16,466,1784,12,111,1006,2.2,778,1.7,30,15.5
SEA,16,411,1971,15,111,1275,3.1,696,1.7,20,20.6
SFO,16,437,1889,19,101,1105,2.5,784,1.8,23,19.0
TAM,16,369,1519,16,82,671,1.8,848,2.3,13,28.4
WAS,16,400,1611,18,108,899,2.2,712,1.8,35,11.4
