,team,year,prediction
0,WAS,2024,0.007
1,SFO,2024,-0.089
2,NYJ,2024,-0.09
3,NYG,2024,0.131
4,PHI,2024,-0.037
5,TEN,2024,-0.244
6,HOU,2024,-0.25
7,LAC,2024,-0.038
8,MIN,2024,-0.277
9,IND,2024,0.049
10,LAR,2024,0.066
11,DAL,2024,0.18
12,TAM,2024,0.175
13,DET,2024,-0.112
14,BUF,2024,-0.225
15,GNB,2024,-0.339
16,MIA,2024,-0.303
17,CAR,2024,0.173
18,DEN,2024,-0.456
19,SEA,2024,-0.347
20,ATL,2024,0.173
21,NWE,2024,0.294
22,JAX,2024,0.119
23,NOR,2024,-0.135
24,CIN,2024,-0.195
25,KAN,2024,-0.164
26,ARI,2024,0.239
27,PIT,2024,-0.094
28,CHI,2024,0.091
29,CLE,2024,-0.006
30,LVR,2024,0.009
31,BAL,2024,0.164
