,team,year,prediction
0,BUF,2024,-0.137
1,CAR,2024,0.449
2,ATL,2024,0.315
3,MIN,2024,-0.59
4,IND,2024,0.11
5,LAR,2024,0.285
6,DAL,2024,0.369
7,WAS,2024,0.076
8,SFO,2024,0.362
9,NYJ,2024,-0.186
10,TAM,2024,-0.14
11,NYG,2024,0.042
12,DET,2024,-0.067
13,GNB,2024,-0.433
14,MIA,2024,-0.384
15,DEN,2024,-0.448
16,PHI,2024,-0.299
17,BAL,2024,-0.238
18,SEA,2024,-0.126
19,NWE,2024,0.687
20,JAX,2024,0.387
21,NOR,2024,0.38
22,CIN,2024,0.084
23,KAN,2024,-0.142
24,ARI,2024,0.224
25,PIT,2024,-0.138
26,CHI,2024,-0.035
27,CLE,2024,-0.059
28,TEN,2024,0.637
29,HOU,2024,-0.587
30,LAC,2024,-0.242
31,LVR,2024,-0.051
