,team,year,prediction
0,BUF,2024,-0.01
1,CAR,2024,0.199
2,ATL,2024,0.009
3,MIN,2024,-0.445
4,IND,2024,-0.064
5,LAR,2024,-0.071
6,DAL,2024,-0.101
7,WAS,2024,-0.082
8,SFO,2024,0.003
9,NYJ,2024,-0.025
10,TAM,2024,-0.178
11,NYG,2024,-0.078
12,DET,2024,-0.079
13,GNB,2024,-0.167
14,MIA,2024,-0.022
15,DEN,2024,-0.517
16,PHI,2024,-0.032
17,BAL,2024,-0.447
18,SEA,2024,-0.069
19,NWE,2024,0.049
20,JAX,2024,-0.03
21,NOR,2024,0.005
22,CIN,2024,0.196
23,KAN,2024,-0.189
24,ARI,2024,-0.075
25,PIT,2024,-0.167
26,CHI,2024,0.13
27,CLE,2024,-0.047
28,TEN,2024,0.013
29,HOU,2024,-0.086
30,LAC,2024,-0.013
31,LVR,2024,-0.045
