,team,year,prediction
0,TAM,2024,-0.101
1,DET,2024,0.035
2,BUF,2024,-0.194
3,GNB,2024,-0.051
4,DEN,2024,0.114
5,PHI,2024,-0.052
6,BAL,2024,0.249
7,KAN,2024,-0.215
8,PIT,2024,0.032
9,HOU,2024,-0.017
10,MIN,2024,-0.064
11,IND,2024,0.003
12,LAR,2024,0.018
13,DAL,2024,0.214
14,WAS,2024,0.172
15,SFO,2024,-0.203
16,NYJ,2024,0.11
17,NYG,2024,0.042
18,MIA,2024,-0.188
19,CAR,2024,0.438
20,SEA,2024,-0.235
21,ATL,2024,-0.252
22,NWE,2024,0.041
23,JAX,2024,0.034
24,NOR,2024,0.156
25,CIN,2024,-0.359
26,ARI,2024,-0.151
27,CHI,2024,0.08
28,CLE,2024,0.019
29,TEN,2024,0.227
30,LAC,2024,-0.03
31,LVR,2024,-0.194
