,team,year,prediction
0,MIN,2024,-0.081
1,IND,2024,-0.099
2,LAR,2024,-0.126
3,DAL,2024,-0.249
4,WAS,2024,0.05
5,SFO,2024,-0.018
6,NYJ,2024,0.093
7,TAM,2024,-0.019
8,NYG,2024,0.024
9,DET,2024,-0.071
10,BUF,2024,-0.05
11,GNB,2024,0.068
12,MIA,2024,0.087
13,CAR,2024,0.073
14,DEN,2024,-0.078
15,BAL,2024,0.116
16,SEA,2024,0.112
17,ATL,2024,-0.277
18,NWE,2024,-0.05
19,JAX,2024,-0.016
20,NOR,2024,0.006
21,CIN,2024,0.298
22,KAN,2024,-0.008
23,ARI,2024,0.035
24,PIT,2024,0.203
25,CHI,2024,0.09
26,CLE,2024,-0.008
27,TEN,2024,0.209
28,HOU,2024,0.197
29,LAC,2024,0.108
30,PHI,2024,0.075
31,LVR,2024,0.011
