,team,year,prediction
0,MIN,2024,0.128
1,LAR,2024,0.147
2,DAL,2024,0.359
3,NYJ,2024,0.103
4,NYG,2024,0.136
5,BUF,2024,-0.032
6,GNB,2024,-0.504
7,MIA,2024,0.201
8,CAR,2024,0.517
9,DEN,2024,0.008
10,PHI,2024,-0.076
11,BAL,2024,-0.327
12,ATL,2024,0.166
13,NWE,2024,0.269
14,JAX,2024,0.131
15,NOR,2024,0.184
16,CIN,2024,0.181
17,KAN,2024,0.27
18,ARI,2024,-0.069
19,PIT,2024,0.205
20,CHI,2024,0.275
21,CLE,2024,0.272
22,TEN,2024,0.034
23,HOU,2024,0.078
24,LAC,2024,0.033
25,LVR,2024,0.162
26,IND,2024,0.202
27,WAS,2024,0.095
28,SFO,2024,0.153
29,TAM,2024,-0.017
30,DET,2024,0.091
31,SEA,2024,0.102
