,team,year,prediction
0,MIN,2024,-0.13
1,IND,2024,0.032
2,LAR,2024,-0.244
3,DAL,2024,0.018
4,WAS,2024,0.117
5,SFO,2024,0.172
6,NYJ,2024,0.442
7,TAM,2024,0.047
8,NYG,2024,0.032
9,DET,2024,0.051
10,BUF,2024,0.269
11,GNB,2024,0.065
12,MIA,2024,-0.069
13,CAR,2024,0.159
14,DEN,2024,-0.02
15,PHI,2024,0.107
16,BAL,2024,-0.022
17,SEA,2024,0.349
18,ATL,2024,0.049
19,NWE,2024,0.17
20,JAX,2024,0.092
21,NOR,2024,0.045
22,CIN,2024,-0.175
23,KAN,2024,0.031
24,ARI,2024,0.105
25,PIT,2024,-0.226
26,CHI,2024,-0.064
27,CLE,2024,-0.088
28,TEN,2024,-0.145
29,LAC,2024,-0.14
30,LVR,2024,0.331
31,HOU,2024,0.191
