,team,year,prediction
0,WAS,2024,0.233
1,SFO,2024,-0.086
2,NYJ,2024,0.119
3,NYG,2024,0.341
4,PHI,2024,-0.148
5,TEN,2024,-0.23
6,HOU,2024,0.416
7,LAC,2024,-0.099
8,MIN,2024,-0.087
9,IND,2024,0.257
10,LAR,2024,0.112
11,DAL,2024,0.512
12,TAM,2024,0.069
13,DET,2024,0.325
14,BUF,2024,-0.1
15,GNB,2024,-0.188
16,MIA,2024,-0.187
17,CAR,2024,0.03
18,DEN,2024,-0.127
19,SEA,2024,-0.206
20,ATL,2024,-0.079
21,NWE,2024,0.193
22,JAX,2024,-0.058
23,NOR,2024,0.307
24,CIN,2024,-0.295
25,KAN,2024,-0.098
26,ARI,2024,-0.142
27,PIT,2024,-0.101
28,CHI,2024,0.328
29,CLE,2024,0.431
30,LVR,2024,0.025
31,BAL,2024,0.076
