,team,year,prediction
0,IND,2024,0.147
1,LAR,2024,0.197
2,DAL,2024,0.276
3,SFO,2024,0.01
4,NYJ,2024,0.614
5,TAM,2024,-0.01
6,NYG,2024,0.376
7,DET,2024,-0.168
8,BUF,2024,-0.26
9,GNB,2024,0.095
10,MIA,2024,0.026
11,CAR,2024,0.21
12,DEN,2024,0.272
13,BAL,2024,-0.219
14,SEA,2024,0.249
15,ATL,2024,0.015
16,NWE,2024,0.38
17,JAX,2024,0.17
18,NOR,2024,0.093
19,CIN,2024,0.196
20,KAN,2024,-0.076
21,ARI,2024,0.019
22,PIT,2024,0.025
23,CHI,2024,0.227
24,CLE,2024,0.396
25,TEN,2024,0.368
26,HOU,2024,0.047
27,LAC,2024,0.087
28,LVR,2024,0.438
29,MIN,2024,0.107
30,WAS,2024,-0.062
31,PHI,2024,-0.484
