,team,year,prediction
0,CAR,2024,0.087
1,ATL,2024,-0.232
2,MIN,2024,-0.31
3,IND,2024,0.073
4,LAR,2024,-0.467
5,DAL,2024,-0.147
6,WAS,2024,0.016
7,SFO,2024,-0.271
8,NYJ,2024,-0.094
9,TAM,2024,-0.019
10,NYG,2024,0.214
11,DET,2024,-0.043
12,BUF,2024,-0.026
13,GNB,2024,-0.019
14,MIA,2024,0.142
15,DEN,2024,-0.051
16,PHI,2024,0.374
17,BAL,2024,-0.291
18,SEA,2024,-0.33
19,NWE,2024,0.241
20,JAX,2024,-0.167
21,NOR,2024,-0.076
22,CIN,2024,-0.088
23,KAN,2024,0.223
24,ARI,2024,0.087
25,PIT,2024,0.324
26,CHI,2024,-0.103
27,CLE,2024,-0.097
28,TEN,2024,0.151
29,HOU,2024,-0.092
30,LAC,2024,-0.069
31,LVR,2024,-0.013
