Rank,Name,Position,School
1,Travis Hunter,CB,COLORADO
2,Abdul Carter,ED,PENN STATE
3,Tetairoa McMillan,WR,ARIZONA
4,Mason Graham,DI,MICHIGAN
5,Ashton Jeanty,HB,BOISE ST
6,Will Campbell,T,LSU
7,Luther Burden III,WR,MISSOURI
8,Jahdae Barron,CB,TEXAS
9,Tyler Warren,TE,PENN STATE
10,Malaki Starks,S,GEORGIA
11,Jihaad Campbell,LB,ALABAMA
12,James Pearce Jr.,ED,TENNESSEE
13,Mike Green,ED,MARSHALL
14,Will Johnson,CB,MICHIGAN
15,Kenneth Grant,DI,MICHIGAN
16,Walter Nolen,DI,OLE MISS
17,Josh Simmons,T,OHIO STATE
18,Emeka Egbuka,WR,OHIO STATE
19,Kelvin Banks Jr.,T,TEXAS
20,Cam Ward,QB,MIAMI FL
21,Derrick Harmon,DI,OREGON
22,Mykel Williams,ED,GEORGIA
23,Shemar Stewart,ED,TEXAS A&M
24,Armand Membou,T,MISSOURI
25,Matthew Golden,WR,TEXAS
26,Omarion Hampton,HB,N CAROLINA
27,Jalon Walker,LB,GEORGIA
28,Donovan Ezeiruaku,ED,BOSTON COL
29,Grey Zabel,T,N DAK ST
30,Nic Scourton,ED,TEXAS A&M
31,Darius Alexander,DI,TOLEDO
32,Demetrius Knight Jr.,LB,S CAROLINA
33,Josh Conerly Jr.,T,OREGON
34,Colston Loveland,TE,MICHIGAN
35,Elic Ayomanor,WR,STANFORD
36,T.J. Sanders,DI,S CAROLINA
37,Tyleik Williams,DI,OHIO STATE
38,Jack Bech,WR,TCU
39,Xavier Watts,S,NOTRE DAME
40,Trey Amos,CB,OLE MISS
41,Landon Jackson,ED,ARKANSAS
42,Princely Umanmielen,ED,OLE MISS
43,Shavon Revel,CB,E CAROLINA
44,Shemar Turner,DI,TEXAS A&M
45,Jack Sawyer,ED,OHIO STATE
46,Shedeur Sanders,QB,COLORADO
47,Tyler Booker,G,ALABAMA
48,Alfred Collins,DI,TEXAS
49,Bradyn Swinson,ED,LSU
50,Maxwell Hairston,CB,KENTUCKY
51,Nick Emmanwori,S,S CAROLINA
52,Cam Skattebo,HB,ARIZONA ST
53,JT Tuimoloau,ED,OHIO STATE
54,Carson Schwesinger,LB,UCLA
55,Xavier Restrepo,WR,MIAMI FL
56,Elijah Arroyo,TE,MIAMI FL
57,Darien Porter,CB,IOWA STATE
58,Jared Ivey,ED,OLE MISS
59,Aireontae Ersery,T,MINNESOTA
60,Omarr Norman-Lott,DI,TENNESSEE
61,Azareye'h Thomas,CB,FLORIDA ST
62,Dylan Sampson,HB,TENNESSEE
63,Kaleb Johnson,HB,IOWA
64,Kyle Kennard,ED,S CAROLINA
65,Benjamin Morrison,CB,NOTRE DAME
66,Jayden Higgins,WR,IOWA STATE
67,Donovan Jackson,T,OHIO STATE
68,Josaiah Stewart,ED,MICHIGAN
69,TreVeyon Henderson,HB,OHIO STATE
70,Jordan Burch,ED,OREGON
71,Cameron Williams,T,TEXAS
72,Ozzy Trapilo,T,BOSTON COL
73,Quinshon Judkins,HB,OHIO STATE
74,Chris Paul Jr.,LB,OLE MISS
75,Terrance Ferguson,TE,OREGON
76,Joshua Farmer,DI,FLORIDA ST
77,Sebastian Castro,S,IOWA
78,Jordan Phillips,DI,MARYLAND
79,Mason Taylor,TE,LSU
80,Elijah Roberts,ED,SMU
81,Kevin Winston Jr.,S,PENN STATE
82,Wyatt Milum,T,W VIRGINIA
83,Dillon Gabriel,QB,OREGON
84,Jonah Savaiinaea,T,ARIZONA
85,Jalen Royals,WR,UTAH ST
86,Savion Williams,WR,TCU
87,Lathan Ransom,S,OHIO STATE
88,Jeffrey Bassa,LB,OREGON
89,Devin Neal,HB,KANSAS
90,Marcus Mbow,T,PURDUE
91,Isaiah Bond,WR,TEXAS
92,Charles Grant,T,WM & MARY
93,Anthony Belton,T,NC STATE
94,Tez Johnson,WR,OREGON
95,Tre Harris,WR,OLE MISS
96,Harold Fannin Jr.,TE,BOWL GREEN
97,Jared Wilson,C,GEORGIA
98,Dorian Strong,CB,VA TECH
99,Deone Walker,DI,KENTUCKY
100,Kaimon Rucker,ED,N CAROLINA
101,Tate Ratledge,G,GEORGIA
102,Quandarrius Robinson,ED,ALABAMA
103,Jacob Parrish,CB,KANSAS ST
104,Jalen Milroe,QB,ALABAMA
105,Andrew Mukuba,S,TEXAS
106,Cobee Bryant,CB,KANSAS
107,RJ Harvey,HB,UCF
108,Will Howard,QB,OHIO STATE
109,Ashton Gillotte,ED,LOUISVILLE
110,Jonas Sanker,S,VIRGINIA
111,Aeneas Peebles,DI,VA TECH
112,Gunnar Helm,TE,TEXAS
