Rk,Coach,School,Conf,W,L,Pct,Notes
1,Nick Saban,Alabama,SEC,13,0,1.000,
2,Jamey Chadwell,Coastal Carolina,Sun Belt,11,1,.917,
3,Kalani Sitake,BYU,Ind,11,1,.917,
4,Hugh Freeze,Liberty,,10,1,.909,
5,Billy Napier,Louisiana,Sun Belt,10,1,.909,
6,Brian Kelly,Notre Dame,Ind,10,2,.833,
7,Dabo Swinney,Clemson,ACC,10,2,.833,
8,Luke Fickell,Cincinnati,American,9,1,.900,
9,Jimbo Fisher,Texas A&M,SEC,9,1,.900,
10,Lincoln Riley,Oklahoma,Big 12,9,2,.818,
11,Matt Campbell,Iowa State,Big 12,9,3,.750,
12,Shawn Clark,Appalachian State,Sun Belt,9,3,.750,
13,Jeff Monken,Army,Ind,9,3,.750,
14,Kirby Smart,Georgia,SEC,8,2,.800,
15,Manny Diaz,Miami (FL),ACC,8,3,.727,
16,Mike Gundy,Oklahoma State,Big 12,8,3,.727,
17,Ryan Silverfield,Memphis,American,8,3,.727,
18,Mack Brown,North Carolina,ACC,8,4,.667,
19,Dave Doeren,North Carolina State,ACC,8,4,.667,
20,Dan Mullen,Florida,SEC,8,4,.667,
21,Chad Lunsford,Georgia Southern,Sun Belt,8,5,.615,
22,Brent Brennan,San Jose State,MWC,7,1,.875,
23,Ryan Day,Ohio State,Big Ten,7,1,.875,
24,Mike Neu,Ball State,MAC,7,1,.875,
25,Pat Fitzgerald,Northwestern,Big Ten,7,2,.778,
26,Jay Norvell,Nevada,MWC,7,2,.778,
27,Sonny Dykes,SMU,American,7,3,.700,
28,Tom Herman,Texas,Big 12,7,3,.700,
29,Doc Holliday,Marshall,CUSA,7,3,.700,
30,Jeff Traylor,UTSA,CUSA,7,5,.583,
31,Lance Leipold,Buffalo,MAC,6,1,.857,
32,Tom Allen,Indiana,Big Ten,6,2,.750,
33,Kirk Ferentz,Iowa,Big Ten,6,2,.750,
34,Bill Clark,UAB,CUSA,6,3,.667,
35,Philip Montgomery,Tulsa,American,6,3,.667,
36,Neal Brown,West Virginia,Big 12,6,4,.600,
37,Shawn Elliott,Georgia State,Sun Belt,6,4,.600,
38,Josh Heupel,UCF,American,6,4,.600,
39,Gus Malzahn,Auburn,SEC,6,4,.600,
40,Gary Patterson,TCU,Big 12,6,4,.600,
41,Jeff Hafley,Boston College,ACC,6,5,.545,
