Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Army,2024,2024,1,14,12,2,0,.857,8,8,0,0,1.000,1,1,0,,1.000,8.33,-5.10,0,1,
2,Memphis,2013,2024,12,154,102,52,0,.662,96,60,36,0,.625,10,5,5,0,.500,3.84,-2.30,3,2,
3,Navy,2015,2024,10,125,67,58,0,.536,79,47,32,0,.595,5,4,1,0,.800,1.38,0.02,2,0,
4,UTSA,2023,2024,2,26,16,10,0,.615,16,11,5,0,.688,2,2,0,,1.000,0.93,-4.73,0,0,
5,Tulane,2014,2024,11,140,69,71,0,.493,88,41,47,0,.466,6,3,3,0,.500,-1.37,-1.06,1,1,
6,South Florida,2013,2024,12,146,64,82,0,.438,95,38,57,0,.400,6,4,2,0,.667,-4.44,-1.66,2,0,
7,East Carolina,2014,2024,11,132,54,78,0,.409,88,31,57,0,.352,3,2,1,0,.667,-4.88,-2.01,0,0,
8,Tulsa,2014,2024,11,132,52,80,0,.394,86,33,53,0,.384,4,2,2,0,.500,-5.00,-1.63,0,0,
9,Temple,2013,2024,12,146,64,82,0,.438,95,41,54,0,.432,5,1,4,0,.200,-5.37,-2.54,0,1,
10,North Texas,2023,2024,2,25,11,14,0,.440,16,6,10,0,.375,1,0,1,,.000,-5.63,-4.59,0,0,
11,Rice,2023,2024,2,25,10,15,0,.400,16,7,9,0,.438,1,0,1,,.000,-5.91,-2.37,0,0,
12,Florida Atlantic,2023,2024,2,24,7,17,0,.292,16,4,12,0,.250,,,,,,-9.45,-5.24,0,0,
13,UAB,2023,2024,2,24,7,17,0,.292,16,5,11,0,.313,,,,,,-9.57,-2.65,0,0,
14,Charlotte,2023,2024,2,24,8,16,0,.333,16,6,10,0,.375,,,,,,-10.75,-2.12,0,0,
15,SMU,2013,2023,11,135,68,67,0,.504,87,44,43,0,.506,4,0,4,0,.000,-1.91,-1.24,1,1,
16,UCF,2013,2022,10,127,86,41,0,.677,80,57,23,0,.713,9,4,5,0,.444,4.93,-1.90,4,4,
