Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Kansas State,1996,2024,29,363,232,131,0,.639,244,143,101,0,.586,21,9,12,0,.429,8.61,2.67,12,3,
2,Arizona State,2024,2024,1,10,8,2,0,.800,7,5,2,0,.714,,,,,,8.53,1.23,0,0,
3,TCU,2012,2024,13,162,98,64,0,.605,115,63,52,0,.548,8,5,3,0,.625,7.70,3.47,4,1,
4,Oklahoma State,1996,2024,29,360,223,137,0,.619,244,132,112,0,.541,22,13,9,0,.591,7.16,2.97,11,1,
5,BYU,2023,2024,2,22,14,8,0,.636,16,8,8,0,.500,,,,,,5.97,2.06,0,0,
6,Texas Tech,1996,2024,29,358,203,155,0,.567,244,116,128,0,.475,20,12,8,0,.600,5.35,2.73,5,0,
7,Colorado,1996,2024,16,194,101,93,0,.521,127,66,61,0,.520,8,4,4,0,.500,5.26,4.68,3,1,
8,West Virginia,2012,2024,13,159,87,72,0,.547,114,57,57,0,.500,9,3,6,0,.333,4.67,3.26,2,0,
9,UCF,2023,2024,2,23,10,13,0,.435,16,5,11,0,.313,1,0,1,,.000,3.72,2.60,0,0,
10,Iowa State,1996,2024,29,352,151,201,0,.429,244,87,157,0,.357,14,5,9,0,.357,1.21,3.44,2,0,record adjusted to 152-200-0 by NCAA
11,Baylor,1996,2024,29,348,155,193,0,.445,244,85,159,0,.348,11,6,5,0,.545,0.50,3.22,6,3,
12,Utah,2024,2024,1,10,4,6,0,.400,7,1,6,0,.143,,,,,,-0.07,0.63,0,0,
13,Cincinnati,2023,2024,2,22,8,14,0,.364,16,4,12,0,.250,,,,,,-0.36,2.38,0,0,
14,Arizona,2024,2024,1,10,4,6,0,.400,7,2,5,0,.286,,,,,,-2.41,1.29,0,0,
15,Houston,2023,2024,2,22,8,14,0,.364,16,5,11,0,.313,,,,,,-2.61,3.98,0,0,
16,Kansas,1996,2024,29,342,117,225,0,.342,243,53,190,0,.218,6,4,2,0,.667,-2.88,3.27,2,0,record adjusted to 118-224-0 by NCAA
17,Oklahoma,1996,2023,28,365,274,90,0,.753,237,176,60,0,.746,25,11,14,0,.440,13.96,4.54,21,14,
18,Texas,1996,2023,28,357,243,113,0,.683,236,157,79,0,.665,23,14,9,0,.609,11.78,4.29,19,4,
