Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Liberty,2023,2024,2,26,21,5,0,.808,16,13,3,0,.813,2,0,2,,.000,1.53,-7.97,1,1,
2,Jacksonville State,2023,2024,2,27,18,9,0,.667,16,13,3,0,.813,2,1,1,,.500,-0.78,-7.09,0,1,
3,Western Kentucky,2014,2024,11,146,88,58,0,.603,87,59,28,0,.678,10,7,3,0,.700,-0.91,-5.18,1,2,
4,Louisiana Tech,2013,2024,12,151,75,76,0,.497,94,51,43,0,.543,8,6,2,0,.750,-5.50,-5.82,0,0,
5,Sam Houston,2023,2024,2,25,13,12,0,.520,16,8,8,0,.500,1,1,0,,1.000,-6.39,-6.21,0,0,
6,Middle Tennessee State,2013,2024,12,149,73,76,0,.490,94,51,43,0,.543,7,3,4,0,.429,-6.53,-4.87,0,0,
7,New Mexico State,2023,2024,2,27,13,14,0,.481,16,9,7,0,.563,1,0,1,,.000,-9.89,-7.01,0,0,
8,UTEP,2005,2024,20,239,81,158,0,.339,156,48,108,0,.308,4,0,4,0,.000,-11.79,-5.84,0,0,
9,Florida International,2013,2024,12,140,50,90,0,.357,91,31,60,0,.341,3,1,2,0,.333,-12.89,-6.79,0,0,
10,Kennesaw State,2024,2024,1,12,2,10,0,.167,8,2,6,0,.250,,,,,,-20.36,-8.44,0,0,
11,Florida Atlantic,2013,2022,10,121,57,64,0,.471,78,40,38,0,.513,3,2,1,0,.667,-4.58,-4.64,0,2,
12,UAB,1999,2022,22,264,122,142,0,.462,167,83,84,0,.497,6,3,3,0,.500,-5.42,-3.94,0,2,
13,UTSA,2013,2022,10,124,63,61,0,.508,79,45,34,0,.570,4,0,4,0,.000,-5.89,-5.05,0,2,
14,North Texas,2013,2022,10,126,58,68,0,.460,79,41,38,0,.519,7,1,6,0,.143,-7.47,-5.64,0,0,
15,Rice,2005,2022,18,215,81,135,0,.375,141,59,82,0,.418,6,3,3,0,.500,-9.20,-3.57,0,1,
16,Charlotte,2015,2022,8,91,29,62,0,.319,60,20,40,0,.333,1,0,1,0,.000,-13.56,-6.20,0,0,
17,Southern Mississippi,1996,2021,26,323,174,148,0,.540,195,116,79,0,.595,18,9,9,0,.500,-1.30,-3.05,3,5,
18,Marshall,2005,2021,17,212,115,97,0,.542,133,77,56,0,.579,10,7,3,0,.700,-2.80,-4.24,1,1,
19,Old Dominion,2014,2021,8,86,37,49,0,.430,56,24,32,0,.429,2,1,1,0,.500,-9.91,-5.56,0,0,
