Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Joe Burrow*,LSU,SEC,15,402,527,76.3,5671,60,11.4,6,1.1,10.8,12.53,14.1,378.1,202.0,HMaxwellAA,joe-burrow-1
2,Anthony Gordon*,Washington State,Pac-12,13,493,689,71.6,5579,48,7.0,16,2.3,8.1,8.45,11.3,429.2,157.9,,anthony-gordon-2
3,Cole McDonald*,Hawaii,MWC,14,326,511,63.8,4135,33,6.5,14,2.7,8.1,8.15,12.7,295.4,147.6,,cole-mcdonald-1
4,Brady White*,Memphis,American,14,269,420,64.0,4014,33,7.9,11,2.6,9.6,9.95,14.9,286.7,165.0,,brady-white-1
5,Brock Purdy*,Iowa State,Big 12,13,312,475,65.7,3982,27,5.7,9,1.9,8.4,8.67,12.8,306.3,151.1,,brock-purdy-1
6,Shane Buechele*,SMU,American,13,307,490,62.7,3929,34,6.9,10,2.0,8.0,8.49,12.8,302.2,148.8,,shane-buechele-1
7,Josh Love,San Jose State,MWC,12,293,481,60.9,3923,22,4.6,8,1.7,8.2,8.32,13.4,326.9,141.2,,josh-love-1
8,Jalen Hurts*,Oklahoma,Big 12,14,237,340,69.7,3851,32,9.4,8,2.4,11.3,12.15,16.2,275.1,191.2,H-2,jalen-hurts-1
9,Chris Robison*,Florida Atlantic,CUSA,14,291,471,61.8,3701,28,5.9,6,1.3,7.9,8.47,12.7,264.4,144.9,,chris-robison-1
10,Trevor Lawrence*,Clemson,ACC,15,268,407,65.8,3665,36,8.8,8,2.0,9.0,9.89,13.7,244.3,166.7,H-7,trevor-lawrence-1
11,Sam Ehlinger*,Texas,Big 12,13,296,454,65.2,3663,32,7.0,10,2.2,8.1,8.49,12.4,281.8,151.8,,sam-ehlinger-1
12,Stephen Calvert*,Liberty,Ind,13,249,431,57.8,3663,28,6.5,7,1.6,8.5,9.07,14.7,281.8,147.4,,stephen-calvert-1
13,Dillon Gabriel*,UCF,American,13,236,398,59.3,3653,29,7.3,7,1.8,9.2,9.84,15.5,281.0,156.9,,dillon-gabriel-1
14,Sam Howell*,North Carolina,ACC,13,259,422,61.4,3641,38,9.0,7,1.7,8.6,9.68,14.1,280.1,160.2,,sam-howell-1
15,Kaleb Barker,Troy,Sun Belt,12,299,460,65.0,3628,30,6.5,10,2.2,7.9,8.21,12.1,302.3,148.4,,kaleb-barker-1
16,Bryce Perkins*,Virginia,ACC,14,320,496,64.5,3538,22,4.4,12,2.4,7.1,6.93,11.1,252.7,134.2,,bryce-perkins-1
17,Kedon Slovis*,USC,Pac-12,12,282,392,71.9,3502,30,7.7,9,2.3,8.9,9.43,12.4,291.8,167.6,,kedon-slovis-1
18,Jack Abraham*,Southern Mississippi,CUSA,13,275,405,67.9,3496,19,4.7,15,3.7,8.6,7.90,12.7,268.9,148.5,,jack-abraham-1
19,Justin Herbert*,Oregon,Pac-12,14,286,428,66.8,3471,32,7.5,6,1.4,8.1,8.97,12.1,247.9,156.8,,justin-herbert-1
20,Jordan Love*,Utah State,MWC,13,293,473,61.9,3402,20,4.2,17,3.6,7.2,6.42,11.6,261.7,129.1,,jordan-love-2
21,Holton Ahlers,East Carolina,American,12,264,442,59.7,3387,21,4.8,10,2.3,7.7,7.60,12.8,282.3,135.3,,holton-ahlers-1
22,Zach Smith,Tulsa,American,12,246,429,57.3,3279,19,4.4,9,2.1,7.6,7.59,13.3,273.3,132.0,,zach-smith-6
23,Justin Fields*,Ohio State,Big Ten,14,238,354,67.2,3273,41,11.6,3,0.8,9.2,11.18,13.8,233.8,181.4,H-3,justin-fields-2
24,Tanner Morgan*,Minnesota,Big Ten,13,210,318,66.0,3253,30,9.4,7,2.2,10.2,11.13,15.5,250.2,178.7,,tanner-morgan-2
25,Mike Glass III*,Eastern Michigan,MAC,12,266,401,66.3,3169,24,6.0,11,2.7,7.9,7.87,11.9,264.1,147.0,,mike-glass-iii-1
26,Charlie Brewer*,Baylor,Big 12,14,251,389,64.5,3161,21,5.4,7,1.8,8.1,8.40,12.6,225.8,147.0,,charlie-brewer-1
27,Jacob Eason*,Washington,Pac-12,13,260,405,64.2,3132,23,5.7,8,2.0,7.7,7.98,12.0,240.9,143.9,,jacob-eason-1
28,Kenny Pickett*,Pitt,ACC,12,289,469,61.6,3098,13,2.8,9,1.9,6.6,6.30,10.7,258.2,122.4,,kenny-pickett-1
29,Jon Wassink*,Western Michigan,MAC,13,241,407,59.2,3097,20,4.9,8,2.0,7.6,7.71,12.9,238.2,135.4,,jon-wassink-1
30,Tyler Huntley*,Utah,Pac-12,14,220,301,73.1,3092,19,6.3,4,1.3,10.3,10.94,14.1,220.9,177.6,,tyler-huntley-1
31,Mason Fine,North Texas,CUSA,12,257,414,62.1,3088,29,7.0,9,2.2,7.5,7.88,12.0,257.3,143.5,,mason-fine-1
32,Brian Lewerke*,Michigan State,Big Ten,13,260,436,59.6,3079,17,3.9,13,3.0,7.1,6.50,11.8,236.8,125.9,,brian-lewerke-1
33,Shea Patterson*,Michigan,Big Ten,13,214,381,56.2,3061,23,6.0,8,2.1,8.0,8.30,14.3,235.5,139.4,,shea-patterson-1
34,Levi Lewis*,Louisiana,Sun Belt,14,243,378,64.3,3050,26,6.9,4,1.1,8.1,8.97,12.6,217.9,152.6,,levi-lewis-1
35,Ian Book*,Notre Dame,Ind,13,240,399,60.2,3034,34,8.5,6,1.5,7.6,8.63,12.6,233.4,149.1,,ian-book-1
36,J'mar Smith*,Louisiana Tech,CUSA,11,236,367,64.3,2977,18,4.9,5,1.4,8.1,8.48,12.6,270.6,145.9,,jmar-smith-1
37,Nathan Stanley*,Iowa,Big Ten,13,237,399,59.4,2951,16,4.0,7,1.8,7.4,7.41,12.5,227.0,131.2,,nathan-stanley-2
38,Layne Hatcher*,Arkansas State,Sun Belt,10,204,310,65.8,2946,27,8.7,10,3.2,9.5,9.79,14.4,294.6,167.9,,layne-hatcher-1
39,Jayden Daniels*,Arizona State,Pac-12,12,205,338,60.7,2943,17,5.0,2,0.6,8.7,9.45,14.4,245.3,149.2,,jayden-daniels-1
40,Caleb Evans,Louisiana-Monroe,Sun Belt,12,239,390,61.3,2942,21,5.4,10,2.6,7.5,7.47,12.3,245.2,137.3,,caleb-evans-2
41,Kyle Trask*,Florida,SEC,12,237,354,66.9,2941,25,7.1,7,2.0,8.3,8.83,12.4,245.1,156.1,,kyle-trask-1
42,Drew Plitt,Ball State,MAC,12,238,370,64.3,2918,24,6.5,7,1.9,7.9,8.33,12.3,243.2,148.2,,drew-plitt-1
43,Kellen Mond*,Texas A&M,SEC,13,258,419,61.6,2897,20,4.8,9,2.1,6.9,6.90,11.2,222.8,131.1,,kellen-mond-1
44,Jamie Newman*,Wake Forest,ACC,12,220,361,60.9,2868,26,7.2,11,3.0,7.9,8.01,13.0,239.0,145.3,,jamie-newman-1
45,Anthony Russo*,Temple,American,13,246,419,58.7,2861,21,5.0,12,2.9,6.8,6.54,11.6,220.1,126.9,,anthony-russo-3
46,Jake Fromm*,Georgia,SEC,14,234,385,60.8,2860,24,6.2,5,1.3,7.4,8.09,12.2,204.3,141.2,,jake-fromm-1
47,Jett Duffey,Texas Tech,Big 12,10,239,367,65.1,2840,18,4.9,5,1.4,7.7,8.11,11.9,284.0,143.6,,jett-duffey-1
48,Tua Tagovailoa*,Alabama,SEC,9,180,252,71.4,2840,33,13.1,3,1.2,11.3,13.35,15.8,315.6,206.9,H-10,tua-tagovailoa-1
49,Nathan Rourke*,Ohio,MAC,13,200,328,61.0,2820,20,6.1,5,1.5,8.6,9.13,14.1,216.9,150.3,,nathan-rourke-1
50,Steven Montez,Colorado,Pac-12,12,255,405,63.0,2808,17,4.2,10,2.5,6.9,6.66,11.0,234.0,130.1,,steven-montez-1
51,Patrick O'Brien,Colorado State,MWC,11,209,338,61.8,2803,13,3.8,7,2.1,8.3,8.13,13.4,254.8,140.0,,patrick-obrien-1
52,Jack Coan*,Wisconsin,Big Ten,14,236,339,69.6,2727,18,5.3,5,1.5,8.0,8.44,11.6,194.8,151.8,,jack-coan-1
53,Zac Thomas*,Appalachian State,Sun Belt,14,225,359,62.7,2718,28,7.8,6,1.7,7.6,8.38,12.1,194.1,148.7,,zac-thomas-2
54,Jake Luton,Oregon State,Pac-12,11,222,358,62.0,2714,28,7.8,3,0.8,7.6,8.77,12.2,246.7,149.8,,jake-luton-1
55,Dorian Thompson-Robinson,UCLA,Pac-12,11,216,362,59.7,2701,21,5.8,12,3.3,7.5,7.13,12.5,245.5,134.9,,dorian-thompson-robinson-1
56,Carter Stanley,Kansas,Big 12,12,226,371,60.9,2664,24,6.5,11,3.0,7.2,7.14,11.8,222.0,136.7,,carter-stanley-1
57,Jorge Reyna,Fresno State,MWC,12,236,365,64.7,2655,15,4.1,11,3.0,7.3,6.74,11.3,221.3,133.3,,jorge-reyna-1
58,Sean Clifford*,Penn State,Big Ten,12,189,319,59.2,2654,23,7.2,7,2.2,8.3,8.77,14.0,221.2,148.5,,sean-clifford-1
59,Dustin Crum*,Kent State,MAC,13,216,312,69.2,2622,20,6.4,2,0.6,8.4,9.40,12.1,201.7,159.7,,dustin-crum-1
60,Asher O'Hara,Middle Tennessee State,CUSA,12,210,335,62.7,2616,20,6.0,8,2.4,7.8,7.93,12.5,218.0,143.2,,asher-ohara-1
61,Josh Adkins,New Mexico State,Ind,12,275,437,62.9,2588,14,3.2,15,3.4,5.9,5.02,9.4,215.7,116.4,,josh-adkins-1
62,Ty Storey*,Western Kentucky,CUSA,11,241,345,69.9,2567,14,4.1,7,2.0,7.4,7.34,10.7,233.4,141.7,,ty-storey-1
63,Chris Reynolds*,Charlotte,CUSA,13,181,291,62.2,2564,22,7.6,11,3.8,8.8,8.62,14.2,197.2,153.6,,chris-reynolds-1
64,James Morgan*,Florida International,CUSA,13,207,357,58.0,2560,14,3.9,5,1.4,7.2,7.32,12.4,196.9,128.4,,james-morgan-1
65,Bo Nix*,Auburn,SEC,13,217,377,57.6,2542,16,4.2,6,1.6,6.7,6.88,11.7,195.5,125.0,,bo-nix-1
66,Ryan Agnew*,San Diego State,MWC,12,234,371,63.1,2462,14,3.8,6,1.6,6.6,6.66,10.5,205.2,128.0,,ryan-agnew-1
