,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Derrick Henry*,Alabama,SEC,15,395,2219,5.6,28,147.9,11,91,8.3,0,6.1,406,2310,5.7,28,H-1MaxwellAACamp,derrick-henry-2
2,Christian McCaffrey*,Stanford,Pac-12,14,337,2019,6.0,8,144.2,45,645,14.3,5,46.1,382,2664,7.0,13,H-2AA,christian-mccaffrey-1
3,Leonard Fournette*,LSU,SEC,12,300,1953,6.5,22,162.8,19,253,13.3,1,21.1,319,2206,6.9,23,H-6AA,leonard-fournette-1
4,Royce Freeman*,Oregon,Pac-12,13,283,1836,6.5,17,141.2,26,348,13.4,2,26.8,309,2184,7.1,19,,royce-freeman-1
5,Ezekiel Elliott*,Ohio State,Big Ten,13,289,1821,6.3,23,140.1,27,206,7.6,0,15.8,316,2027,6.4,23,H-8,ezekiel-elliott-1
6,Dalvin Cook*,Florida State,ACC,12,229,1691,7.4,19,140.9,24,244,10.2,1,20.3,253,1935,7.6,20,H-7,dalvin-cook-1
7,Donnel Pumphrey*,San Diego State,MWC,14,309,1653,5.3,17,118.1,28,416,14.9,3,29.7,337,2069,6.1,20,,donnel-pumphrey-1
8,Larry Rose III,New Mexico State,Sun Belt,12,240,1651,6.9,14,137.6,30,283,9.4,2,23.6,270,1934,7.2,16,,larry-rose-iii-1
9,Brian Hill,Wyoming,MWC,12,281,1631,5.8,6,135.9,20,132,6.6,0,11.0,301,1763,5.9,6,,brian-hill-4
10,Matt Breida*,Georgia Southern,Sun Belt,13,203,1608,7.9,17,123.7,3,6,2.0,0,0.5,206,1614,7.8,17,,matt-breida-1
11,Tyler Ervin*,San Jose State,MWC,13,294,1601,5.4,13,123.2,45,334,7.4,2,25.7,339,1935,5.7,15,,tyler-ervin-1
12,Alex Collins*,Arkansas,SEC,13,271,1577,5.8,20,121.3,13,95,7.3,0,7.3,284,1672,5.9,20,,alex-collins-1
13,Wayne Gallman*,Clemson,ACC,14,283,1527,5.4,13,109.1,21,213,10.1,1,15.2,304,1740,5.7,14,,wayne-gallman-1
14,Wendell Smallwood*,West Virginia,Big 12,13,238,1519,6.4,9,116.8,26,160,6.2,0,12.3,264,1679,6.4,9,,wendell-smallwood-1
15,Deandre Washington*,Texas Tech,Big 12,13,233,1492,6.4,14,114.8,41,385,9.4,2,29.6,274,1877,6.9,16,,deandre-washington-1
16,Elijah Hood*,North Carolina,ACC,14,219,1463,6.7,17,104.5,13,71,5.5,0,5.1,232,1534,6.6,17,,elijah-hood-1
17,Marcus Cox*,Appalachian State,Sun Belt,12,243,1423,5.9,9,118.6,18,160,8.9,2,13.3,261,1583,6.1,11,,marcus-cox-2
18,Justin Jackson*,Northwestern,Big Ten,13,312,1418,4.5,5,109.1,21,162,7.7,0,12.5,333,1580,4.7,5,,justin-jackson-5
19,Marlon Mack*,South Florida,American,12,210,1381,6.6,8,115.1,16,111,6.9,1,9.3,226,1492,6.6,9,,marlon-mack-1
20,Keenan Reynolds*,Navy,American,13,265,1373,5.2,24,105.6,1,47,47.0,0,3.6,266,1420,5.3,24,H-5,keenan-reynolds-1
21,Samaje Perine*,Oklahoma,Big 12,13,226,1349,6.0,16,103.8,15,107,7.1,1,8.2,241,1456,6.0,17,,samaje-perine-1
22,Paul Perkins*,UCLA,Pac-12,13,237,1343,5.7,14,103.3,30,242,8.1,1,18.6,267,1585,5.9,15,,paul-perkins-1
23,James Butler*,Nevada,MWC,13,207,1342,6.5,10,103.2,7,44,6.3,0,3.4,214,1386,6.5,10,,james-butler-4
24,Mike Warren,Iowa State,Big 12,12,227,1339,5.9,5,111.6,14,70,5.0,0,5.8,241,1409,5.8,5,,mike-warren-2
25,Jeremy McNichols*,Boise State,MWC,12,240,1337,5.6,20,111.4,51,460,9.0,6,38.3,291,1797,6.2,26,,jeremy-mcnichols-1
26,Shock Linwood*,Baylor,Big 12,12,196,1329,6.8,10,110.8,9,71,7.9,1,5.9,205,1400,6.8,11,,shock-linwood-1
27,Myles Gaskin*,Washington,Pac-12,13,227,1302,5.7,14,100.2,6,19,3.2,0,1.5,233,1321,5.7,14,,myles-gaskin-1
28,Travis Greene*,Bowling Green,MAC,14,223,1299,5.8,15,92.8,27,234,8.7,2,16.7,250,1533,6.1,17,,travis-greene-1
29,Jalen Hurd*,Tennessee,SEC,13,277,1288,4.6,12,99.1,22,190,8.6,2,14.6,299,1478,4.9,14,,jalen-hurd-1
30,Joel Bouagnon*,Northern Illinois,MAC,14,283,1285,4.5,18,91.8,13,131,10.1,0,9.4,296,1416,4.8,18,,joel-bouagnon-1
31,Aaron Green*,Texas Christian,Big 12,13,244,1272,5.2,11,97.8,16,117,7.3,1,9.0,260,1389,5.3,12,,aaron-green-1
32,Jahad Thomas*,Temple,American,14,276,1262,4.6,17,90.1,22,216,9.8,1,15.4,298,1478,5.0,18,,jahad-thomas-1
33,Devontae Booker*,Utah,Pac-12,10,268,1261,4.7,11,126.1,37,318,8.6,0,31.8,305,1579,5.2,11,,devontae-booker-1
34,Jordan Howard*,Indiana,Big Ten,9,196,1213,6.2,9,134.8,11,106,9.6,1,11.8,207,1319,6.4,10,,jordan-howard-1
35,Tra Carson*,Texas A&M,SEC,13,242,1165,4.8,7,89.6,29,183,6.3,1,14.1,271,1348,5.0,8,,tra-carson-1
36,Elijhaa Penny,Idaho,Sun Belt,12,247,1163,4.7,10,96.9,27,239,8.9,2,19.9,274,1402,5.1,12,,elijhaa-penny-1
37,Sony Michel*,Georgia,SEC,13,219,1161,5.3,8,89.3,26,270,10.4,3,20.8,245,1431,5.8,11,,sony-michel-1
38,Ralph Webb,Vanderbilt,SEC,12,277,1152,4.2,5,96.0,24,188,7.8,2,15.7,301,1340,4.5,7,,ralph-webb-1
39,Ray Lawry,Old Dominion,CUSA,11,194,1136,5.9,11,103.3,21,152,7.2,1,13.8,215,1288,6.0,12,,ray-lawry-1
40,Paul Harris,Hawaii,MWC,12,197,1132,5.7,6,94.3,14,151,10.8,0,12.6,211,1283,6.1,6,,paul-harris-3
41,Ito Smith*,Southern Mississippi,CUSA,14,171,1128,6.6,10,80.6,49,515,10.5,3,36.8,220,1643,7.5,13,,ito-smith-1
42,Qadree Ollison*,Pitt,ACC,13,212,1121,5.3,11,86.2,14,77,5.5,1,5.9,226,1198,5.3,12,,oadree-ollison-1
43,Greg Ward Jr.*,Houston,American,14,198,1108,5.6,21,79.1,0,0,,0,0.0,198,1108,5.6,21,,greg-ward-jr-1
44,Deshaun Watson*,Clemson,ACC,15,207,1105,5.3,12,73.7,0,0,,0,0.0,207,1105,5.3,12,H-3AA,deshaun-watson-1
45,Demario Richard*,Arizona State,Pac-12,12,209,1098,5.3,7,91.5,32,309,9.7,3,25.8,241,1407,5.8,10,,demario-richard-1
46,Jalen Richard*,Southern Mississippi,CUSA,13,185,1098,5.9,14,84.5,30,284,9.5,2,21.8,215,1382,6.4,16,,jalen-richard-1
47,Jacobi Owens*,Air Force,MWC,14,205,1092,5.3,7,78.0,0,0,,0,0.0,205,1092,5.3,7,,jacobi-owens-1
48,Anthony Wales*,Western Kentucky,CUSA,11,155,1091,7.0,9,99.2,27,225,8.3,2,20.5,182,1316,7.2,11,,anthony-wales-1
49,Don Jackson*,Nevada,MWC,13,230,1081,4.7,8,83.2,7,77,11.0,1,5.9,237,1158,4.9,9,,don-jackson-2
50,Darius Jackson,Eastern Michigan,MAC,12,208,1078,5.2,14,89.8,21,201,9.6,2,16.8,229,1279,5.6,16,,darius-jackson-1
51,Saquon Barkley*,Penn State,Big Ten,11,182,1076,5.9,7,97.8,20,161,8.1,1,14.6,202,1237,6.1,8,,saquon-barkley-1
52,Kenneth Dixon*,Louisiana Tech,CUSA,11,197,1070,5.4,19,97.3,34,467,13.7,7,42.5,231,1537,6.7,26,,kenneth-dixon-1
53,Elijah McGuire,Louisiana,Sun Belt,12,210,1058,5.0,13,88.2,33,293,8.9,3,24.4,243,1351,5.6,16,,elijah-mcguire-1
54,Michael Gordon*,Arkansas State,Sun Belt,13,165,1057,6.4,9,81.3,13,81,6.2,2,6.2,178,1138,6.4,11,,michael-gordon-1
55,Jamauri Bogan*,Western Michigan,MAC,13,162,1051,6.5,16,80.8,3,15,5.0,0,1.2,165,1066,6.5,16,,jamauri-bogan-1
56,Jarveon Williams,UTSA,CUSA,11,173,1042,6.0,8,94.7,9,60,6.7,0,5.5,182,1102,6.1,8,,jarveon-williams-1
57,Travon McMillian*,Virginia Tech,ACC,13,200,1042,5.2,7,80.2,12,64,5.3,1,4.9,212,1106,5.2,8,,travon-mcmillian-1
58,Kelvin Taylor*,Florida,SEC,14,259,1035,4.0,13,73.9,17,150,8.8,0,10.7,276,1185,4.3,13,,kelvin-taylor-1
59,C.J. Prosise*,Notre Dame,Ind,11,156,1032,6.6,11,93.8,26,308,11.8,1,28.0,182,1340,7.4,12,,cj-prosise-1
60,Chris Swain*,Navy,American,13,211,1023,4.8,10,78.7,1,12,12.0,0,0.9,212,1035,4.9,10,,chris-swain-2
61,Peyton Barber*,Auburn,SEC,13,238,1017,4.3,13,78.2,11,112,10.2,0,8.6,249,1129,4.5,13,,peyton-barber-1
62,Devine Redding*,Indiana,Big Ten,13,226,1012,4.5,9,77.8,12,85,7.1,0,6.5,238,1097,4.6,9,,devine-redding-1
63,Chase Price*,San Diego State,MWC,14,190,1008,5.3,6,72.0,13,118,9.1,1,8.4,203,1126,5.5,7,,chase-price-1
64,Brandon Burks,Troy,Sun Belt,12,201,1005,5.0,7,83.8,29,304,10.5,2,25.3,230,1309,5.7,9,,brandon-burks-1
65,Joseph Yearby*,Miami (FL),ACC,13,205,1002,4.9,6,77.1,23,273,11.9,2,21.0,228,1275,5.6,8,,joseph-yearby-1
66,Johnny Jefferson*,Baylor,Big 12,11,136,1000,7.4,8,90.9,4,17,4.3,0,1.5,140,1017,7.3,8,,johnny-jefferson-1
67,Quinton Flowers*,South Florida,American,13,191,991,5.2,12,76.2,0,0,,0,0.0,191,991,5.2,12,,quinton-flowers-1
68,Ronald Jones*,USC,Pac-12,14,153,987,6.5,8,70.5,7,39,5.6,1,2.8,160,1026,6.4,9,,ronald-jones-4
69,Jordan Canzeri*,Iowa,Big Ten,12,183,984,5.4,12,82.0,20,208,10.4,1,17.3,203,1192,5.9,13,,jordan-canzeri-1
70,Kareem Hunt*,Toledo,MAC,10,178,973,5.5,12,97.3,11,45,4.1,0,4.5,189,1018,5.4,12,,kareem-hunt-1
71,Devante Mays*,Utah State,MWC,13,165,966,5.9,9,74.3,1,9,9.0,0,0.7,166,975,5.9,9,,devante-mays-1
72,Kalif Phillips,Charlotte,CUSA,12,190,961,5.1,5,80.1,9,79,8.8,0,6.6,199,1040,5.2,5,,kalif-phillips-1
73,Lamar Jackson*,Louisville,ACC,12,163,960,5.9,11,80.0,0,0,,0,0.0,163,960,5.9,11,,lamar-jackson-1
74,Marquis Young,Massachusetts,MAC,12,152,960,6.3,7,80.0,14,66,4.7,0,5.5,166,1026,6.2,7,,marquis-young-1
75,Brandon Ross,Maryland,Big Ten,12,150,958,6.4,10,79.8,5,17,3.4,0,1.4,155,975,6.3,10,,brandon-ross-2
76,Kenneth Farrow*,Houston,American,12,185,958,5.2,12,79.8,10,119,11.9,0,9.9,195,1077,5.5,12,,kenneth-farrow-1
77,Xavier Johnson,South Alabama,Sun Belt,12,145,956,6.6,7,79.7,9,82,9.1,1,6.8,154,1038,6.7,8,,xavier-johnson-1
78,Marquise Williams*,North Carolina,ACC,14,158,948,6.0,13,67.7,1,37,37.0,1,2.6,159,985,6.2,14,,marquise-williams-1
79,Terry Swanson*,Toledo,MAC,11,143,923,6.5,7,83.9,13,71,5.5,0,6.5,156,994,6.4,7,,terry-swanson-1
80,Marteze Waller,Fresno State,MWC,12,228,920,4.0,5,76.7,20,151,7.6,2,12.6,248,1071,4.3,7,,marteze-waller-1
81,Robert Lowe,Texas State,Sun Belt,11,175,915,5.2,7,83.2,18,145,8.1,3,13.2,193,1060,5.5,10,,robert-lowe-2
82,Conor Hundley*,Akron,MAC,13,202,911,4.5,10,70.1,7,70,10.0,0,5.4,209,981,4.7,10,,conor-hundley-1
83,Jhurell Pressley*,New Mexico,MWC,13,147,907,6.2,11,69.8,1,2,2.0,0,0.2,148,909,6.1,11,,jhurell-pressley-1
84,Justin Davis*,USC,Pac-12,13,169,902,5.3,7,69.4,18,189,10.5,0,14.5,187,1091,5.8,7,,justin-davis-2
85,Markell Jones,Purdue,Big Ten,12,168,875,5.2,10,72.9,34,239,7.0,1,19.9,202,1114,5.5,11,,markell-jones-1
86,Dalyn Dawkins*,Colorado State,MWC,12,170,867,5.1,2,72.3,24,178,7.4,1,14.8,194,1045,5.4,3,,dalyn-dawkins-1
87,Matt Dayes*,North Carolina State,ACC,8,134,865,6.5,12,108.1,24,172,7.2,0,21.5,158,1037,6.6,12,,matt-dayes-1
88,Boom Williams,Kentucky,SEC,10,121,855,7.1,6,85.5,13,74,5.7,0,7.4,134,929,6.9,6,,boom-williams-1
89,Teriyon Gipson*,New Mexico,MWC,12,147,850,5.8,6,70.8,17,185,10.9,0,15.4,164,1035,6.3,6,,teriyon-gipson-1
90,D'Angelo Brewer*,Tulsa,American,11,162,837,5.2,6,76.1,15,107,7.1,1,9.7,177,944,5.3,7,,dangelo-brewer-1
91,Josh Adams*,Notre Dame,Ind,13,117,835,7.1,6,64.2,7,42,6.0,1,3.2,124,877,7.1,7,,josh-adams-2
92,Jeffery Wilson,North Texas,CUSA,10,155,830,5.4,1,83.0,12,71,5.9,0,7.1,167,901,5.4,1,,jeffery-wilson-2
93,Anthone Taylor,Buffalo,MAC,11,186,829,4.5,3,75.4,17,101,5.9,0,9.2,203,930,4.6,3,,anthone-taylor-1
