Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,DeVonta Smith,Alabama,SEC,13,117,1856,15.9,23,142.8,4,6,1.5,1,0.5,121,1862,15.4,24,H-1MaxwellAACamp,devonta-smith-1
2,Elijah Moore,Ole Miss,SEC,8,86,1193,13.9,8,149.1,14,64,4.6,0,8.0,100,1257,12.6,8,AA,elijah-moore-1
3,Jaelon Darden,North Texas,CUSA,9,74,1190,16.1,19,132.2,1,-3,-3.0,0,-0.3,75,1187,15.8,19,,jaelon-darden-1
4,Dax Milne,BYU,Ind,12,70,1188,17.0,8,99.0,11,67,6.1,0,5.6,81,1255,15.5,8,,dax-milne-1
5,Jonathan Adams Jr.,Arkansas State,Sun Belt,10,79,1111,14.1,12,111.1,0,0,,0,0.0,79,1111,14.1,12,,jonathan-adams-jr-1
6,Dyami Brown,North Carolina,ACC,11,55,1099,20.0,8,99.9,0,0,,0,0.0,55,1099,20.0,8,,dyami-brown-1
7,Jalen Tolbert,South Alabama,Sun Belt,11,64,1085,17.0,8,98.6,0,0,,0,0.0,64,1085,17.0,8,,jalen-tolbert-1
8,Calvin Austin III,Memphis,American,11,63,1053,16.7,11,95.7,2,14,7.0,0,1.3,65,1067,16.4,11,,calvin-austin-iii-1
9,Marlon Williams,UCF,American,8,71,1039,14.6,10,129.9,0,0,,0,0.0,71,1039,14.6,10,,marlon-williams-5
10,Amari Rodgers,Clemson,ACC,12,77,1020,13.2,7,85.0,0,0,,0,0.0,77,1020,13.2,7,,amari-rodgers-1
11,Romeo Doubs,Nevada,MWC,9,58,1002,17.3,9,111.3,1,-4,-4.0,0,-0.4,59,998,16.9,9,,romeo-doubs-1
12,Jaivon Heiligh,Coastal Carolina,Sun Belt,12,65,998,15.4,10,83.2,0,0,,0,0.0,65,998,15.4,10,,jaivon-heiligh-1
13,Kadarius Toney,Florida,SEC,11,70,984,14.1,10,89.5,19,161,8.5,1,14.6,89,1145,12.9,11,,kadarius-toney-1
14,Jaylon Robinson,UCF,American,10,55,979,17.8,6,97.9,0,0,,0,0.0,55,979,17.8,6,,jaylon-robinson-1
15,Jaquarii Roberson,Wake Forest,ACC,9,62,926,14.9,8,102.9,0,0,,0,0.0,62,926,14.9,8,,jaquarii-roberson-1
16,Tylan Wallace,Oklahoma State,Big 12,10,59,922,15.6,6,92.2,1,7,7.0,0,0.7,60,929,15.5,6,,tylan-wallace-1
17,John Metchie,Alabama,SEC,13,55,916,16.7,6,70.5,0,0,,0,0.0,55,916,16.7,6,,john-metchie-1
18,Zay Flowers,Boston College,ACC,11,56,892,15.9,9,81.1,11,41,3.7,1,3.7,67,933,13.9,10,,zay-flowers-1
19,Jahan Dotson,Penn State,Big Ten,9,52,884,17.0,8,98.2,0,0,,0,0.0,52,884,17.0,8,,jahan-dotson-1
20,Cornell Powell,Clemson,ACC,12,53,882,16.6,7,73.5,0,0,,0,0.0,53,882,16.6,7,,cornell-powell-1
21,Dez Fitzpatrick,Louisville,ACC,11,43,833,19.4,3,75.7,0,0,,0,0.0,43,833,19.4,3,,dez-fitzpatrick-1
22,Treylon Burks,Arkansas,SEC,9,51,820,16.1,7,91.1,15,75,5.0,0,8.3,66,895,13.6,7,,treylon-burks-1
23,Sam Pinckney,Georgia State,Sun Belt,10,47,815,17.3,7,81.5,0,0,,0,0.0,47,815,17.3,7,,sam-pinckney-1
24,Mike Harley,Miami (FL),ACC,11,57,799,14.0,7,72.6,2,13,6.5,0,1.2,59,812,13.8,7,,mike-harley-1
25,D'Wayne Eskridge,Western Michigan,MAC,6,34,784,23.1,8,130.7,1,27,27.0,0,4.5,35,811,23.2,8,,dwayne-eskridge-1
26,Xavier Hutchinson,Iowa State,Big 12,12,64,771,12.0,4,64.3,0,0,,0,0.0,64,771,12.0,4,,xavier-hutchinson-1
27,Kyle Pitts,Florida,SEC,8,43,770,17.9,12,96.3,0,0,,0,0.0,43,770,17.9,12,H-10AA,kyle-pitts-1
