Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Michigan,15,10.4,15.3,27.7,55.2,157.0,0.5,30.0,90.0,3.0,0.6,57.7,247.0,4.3,7.0,5.5,0.8,13.3,5.1,40.3,0.6,1.2,1.8
2,Ohio State,13,11.2,15.2,28.9,52.7,145.9,0.7,34.8,119.5,3.4,0.5,63.7,265.4,4.2,7.3,6.8,1.5,15.6,4.8,40.7,0.3,0.5,0.8
3,Penn State,13,13.5,15.3,26.2,58.5,172.1,0.8,33.4,75.5,2.3,0.8,59.5,247.6,4.2,7.5,5.1,1.3,13.9,5.5,42.3,0.9,0.9,1.8
4,Iowa,14,14.8,18.9,33.7,56.1,170.7,0.8,35.6,111.8,3.1,0.5,69.3,282.5,4.1,8.4,6.9,1.1,16.4,6.1,52.0,0.4,0.7,1.1
5,Georgia,14,15.6,16.7,30.5,54.8,175.4,0.9,30.1,113.6,3.8,0.9,60.6,289.1,4.8,8.1,6.7,1.2,16.0,5.0,38.9,0.2,1.0,1.2
6,Ohio,13,15.8,17.9,28.5,62.8,182.8,1.1,28.2,91.2,3.2,0.7,56.7,273.9,4.8,7.5,5.2,1.7,14.3,6.3,60.5,0.6,1.2,1.8
7,Miami (OH),14,15.9,17.8,30.3,58.7,198.1,0.9,36.4,132.2,3.6,0.9,66.6,330.4,5.0,8.8,7.7,1.7,18.2,6.7,59.6,0.4,0.8,1.2
8,Notre Dame,13,15.9,15.0,28.6,52.4,157.3,0.6,33.6,119.0,3.5,1.1,62.2,276.3,4.4,7.6,6.2,2.1,15.9,4.2,34.8,0.6,1.2,1.8
9,Oregon,14,16.5,21.1,35.1,60.2,215.9,1.1,28.6,102.6,3.6,0.7,63.8,318.4,5.0,10.0,6.0,2.1,18.1,5.5,44.5,0.4,0.9,1.3
10,Troy,14,17.1,19.4,31.1,62.5,201.5,0.9,33.7,106.6,3.2,0.9,64.8,308.1,4.8,9.2,7.0,1.4,17.6,5.3,43.8,0.9,0.7,1.6
11,SMU,14,17.8,17.6,30.6,57.7,182.2,1.2,35.6,121.9,3.4,1.0,66.2,304.1,4.6,8.6,6.6,1.5,16.6,6.8,64.4,0.4,0.9,1.2
12,Air Force,13,18.2,16.6,26.9,61.7,186.8,1.4,29.8,90.8,3.0,0.8,56.8,277.7,4.9,8.0,5.7,1.0,14.7,5.3,48.4,0.3,0.8,1.1
13,Nebraska,12,18.3,20.4,34.3,59.5,210.6,1.2,31.3,92.9,3.0,0.8,65.7,303.5,4.6,9.8,5.5,1.3,16.6,5.9,52.6,0.4,0.8,1.2
14,UCLA,13,18.4,21.0,34.6,60.7,220.8,1.2,30.5,80.8,2.7,0.4,65.1,301.5,4.6,10.0,5.2,1.9,17.2,5.5,47.8,0.7,1.2,1.8
15,Texas,14,18.9,21.9,35.9,61.0,254.4,1.5,28.4,82.4,2.9,0.6,64.3,336.7,5.2,11.1,5.1,1.4,17.7,4.5,34.6,0.6,1.1,1.7
16,Alabama,14,19.0,17.5,29.5,59.3,191.1,1.2,33.6,124.9,3.7,1.1,63.1,316.0,5.0,8.1,6.8,1.4,16.3,5.1,39.2,0.5,0.9,1.4
17,Duke,13,19.0,20.0,32.1,62.4,210.8,0.8,36.4,141.9,3.9,1.2,68.5,352.7,5.2,10.6,8.5,1.2,20.3,6.3,57.3,0.4,0.8,1.2
18,Florida State,14,19.3,14.4,29.7,48.3,179.7,0.9,36.4,152.2,4.2,1.2,66.1,331.9,5.0,7.5,8.1,2.2,17.8,7.4,61.8,0.5,0.7,1.2
19,Utah,13,19.3,18.9,32.4,58.4,224.4,1.3,26.5,82.8,3.1,1.0,58.9,307.2,5.2,9.7,4.3,1.3,15.3,7.1,53.4,0.5,0.6,1.2
20,James Madison,13,19.5,21.4,35.3,60.6,250.0,1.3,32.0,83.8,2.6,1.0,67.3,333.8,5.0,10.8,4.9,1.2,16.9,4.8,42.1,0.6,1.0,1.6
21,Wisconsin,13,20.2,19.5,32.1,60.9,208.9,1.5,35.2,135.1,3.8,1.0,67.2,344.0,5.1,9.8,7.4,1.3,18.5,5.6,47.7,0.3,1.0,1.3
22,Tennessee,13,20.3,20.8,31.8,65.2,221.5,1.2,35.6,113.7,3.2,1.0,67.5,335.2,5.0,9.5,6.7,2.5,18.8,5.5,40.2,0.5,0.9,1.4
23,Toledo,14,20.3,15.6,29.3,53.4,183.0,0.9,37.6,148.8,4.0,1.3,66.9,331.8,5.0,8.2,8.4,2.1,18.6,6.0,52.5,0.5,0.8,1.3
24,Tulane,14,20.5,22.1,33.8,65.3,228.6,1.3,31.8,112.7,3.5,1.0,65.6,341.3,5.2,10.8,6.9,1.5,19.1,4.5,35.8,0.7,1.2,1.9
25,Missouri,13,20.8,19.2,31.2,61.6,213.2,1.7,32.4,122.8,3.8,0.6,63.6,336.1,5.3,9.2,7.0,1.8,18.0,7.5,60.5,0.8,0.7,1.5
26,North Carolina State,13,20.8,18.3,32.4,56.5,215.6,1.5,29.2,116.5,4.0,1.0,61.5,332.1,5.4,9.5,6.0,1.5,17.0,6.2,57.2,0.5,1.3,1.8
27,Kansas State,13,21.0,19.0,33.7,56.4,225.1,1.2,31.0,147.5,4.8,1.2,64.7,372.5,5.8,9.8,6.2,1.3,17.3,5.5,50.1,0.8,1.0,1.8
28,Northern Illinois,13,21.0,15.4,27.1,56.8,171.2,1.0,35.4,148.4,4.2,1.5,62.5,319.5,5.1,7.9,8.5,1.5,17.9,6.2,56.1,0.4,0.8,1.2
29,South Alabama,13,21.0,16.0,27.2,58.8,199.5,1.5,35.3,113.7,3.2,0.8,62.5,313.2,5.0,8.1,6.2,1.9,16.2,5.7,45.5,0.7,1.0,1.7
30,Arizona,13,21.1,19.8,33.3,59.6,239.7,1.2,32.5,118.2,3.6,1.5,65.8,357.9,5.4,10.5,6.9,2.2,19.6,7.2,63.5,0.8,0.7,1.5
31,Army,12,21.1,15.8,25.8,61.3,187.9,1.3,36.1,176.3,4.9,1.3,61.9,364.2,5.9,8.6,8.5,1.3,18.4,5.8,44.6,0.8,0.8,1.6
32,Clemson,13,21.1,16.3,30.8,52.9,173.2,1.0,30.5,114.6,3.8,1.3,61.3,287.8,4.7,7.1,5.6,1.5,14.2,5.5,47.8,0.9,1.2,2.2
33,Jacksonville State,13,21.2,19.4,33.2,58.5,241.2,1.2,40.0,111.5,2.8,1.1,73.2,352.8,4.8,10.5,6.1,2.0,18.6,5.7,52.2,0.7,1.2,1.9
34,Rutgers,13,21.2,17.2,28.7,59.8,176.3,1.2,34.2,137.2,4.0,1.2,62.8,313.5,5.0,7.5,9.0,1.8,18.4,4.0,36.9,0.7,0.7,1.4
35,Louisville,14,21.3,16.5,29.7,55.5,217.3,1.6,29.9,99.8,3.3,0.9,59.6,317.1,5.3,8.6,5.7,1.5,15.9,5.8,49.9,0.5,0.9,1.4
36,Texas A&M,13,22.1,16.7,28.1,59.5,207.4,1.5,32.4,108.8,3.4,0.7,60.5,316.2,5.2,9.5,5.6,1.4,16.5,8.3,73.6,0.3,0.7,1.0
