Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,LSU,13,45.5,22.0,31.6,69.6,338.9,3.4,33.1,204.5,6.2,2.6,64.7,543.5,8.4,14.0,9.8,2.0,25.8,6.1,51.7,0.2,0.4,0.6
2,Oregon,14,44.2,28.4,36.7,77.2,346.9,3.5,31.2,184.5,5.9,2.4,67.9,531.4,7.8,15.1,9.9,1.6,26.6,6.6,60.6,0.1,0.4,0.5
3,USC,13,41.8,24.2,35.5,68.1,333.0,2.8,27.8,134.6,4.8,2.5,63.3,467.6,7.4,14.1,6.8,1.8,22.6,7.5,68.4,0.8,0.5,1.3
4,Oklahoma,13,41.7,23.8,34.8,68.4,324.8,2.6,40.1,182.2,4.5,2.5,74.9,507.0,6.8,13.4,10.0,2.2,25.5,6.8,58.5,0.8,0.7,1.5
5,Georgia,14,40.1,23.4,32.6,71.8,305.3,2.1,35.8,191.2,5.3,2.9,68.4,496.5,7.3,13.8,10.6,1.6,25.9,4.4,43.3,0.5,0.5,1.0
6,Memphis,13,39.4,24.7,37.0,66.7,306.5,2.5,33.0,152.0,4.6,2.4,70.0,458.5,6.5,13.4,7.9,1.5,22.8,4.1,41.2,0.4,0.8,1.2
7,Notre Dame,13,39.2,17.5,27.0,64.7,246.5,2.4,35.2,185.7,5.3,2.2,62.2,432.2,7.0,10.8,9.2,0.9,21.0,5.3,47.9,0.6,0.7,1.3
8,SMU,14,38.7,19.6,33.2,58.9,278.4,2.4,39.6,175.9,4.4,2.1,72.9,454.3,6.2,11.8,9.6,2.4,23.9,4.6,41.2,0.4,0.6,1.0
9,Liberty,14,38.3,12.7,21.6,58.7,205.9,2.3,47.9,293.3,6.1,2.8,69.5,499.1,7.2,8.1,14.8,1.9,24.9,6.3,62.5,0.9,0.4,1.3
10,Kansas State,13,37.1,19.8,32.8,60.6,241.2,2.3,41.0,204.1,5.0,2.5,73.8,445.2,6.0,11.2,11.0,1.7,23.8,4.8,43.7,0.2,0.8,0.9
11,Texas State,13,36.7,22.1,33.0,66.9,270.9,1.8,40.7,186.7,4.6,2.5,73.7,457.6,6.2,11.5,10.8,1.7,24.0,7.3,69.2,1.1,0.7,1.8
12,Penn State,13,36.2,18.9,31.8,59.6,215.0,2.3,39.6,184.8,4.7,2.0,71.4,399.8,5.6,10.3,10.5,1.7,22.5,5.0,43.3,0.5,0.2,0.6
13,Washington,15,36.0,25.1,38.3,65.5,343.7,2.5,27.4,118.4,4.3,1.9,65.7,462.1,7.0,14.5,6.5,2.3,23.3,7.5,68.6,0.5,0.8,1.3
14,Michigan,15,35.9,17.3,24.1,72.0,213.7,1.6,37.5,169.1,4.5,2.7,61.6,382.7,6.2,10.6,8.1,1.2,19.9,3.0,27.5,0.2,0.3,0.5
15,Texas,14,35.8,22.6,33.9,66.7,289.1,1.8,37.6,188.4,5.0,2.1,71.6,477.5,6.7,12.9,9.1,1.1,23.1,6.6,52.2,0.6,0.6,1.3
