,name,prediction 2024
0,Adisa Isaac,2.8618333333333332
1,Xavier Thomas,1.548
2,Laiatu Latu,6.757150000000001
3,T'Vondre Sweat,4.524266666666667
4,Jer'Zhan Newton,5.874333333333335
5,Darius Robinson,4.130326190476192
6,Jared Verse,3.3697595238095235
7,Braden Fiske,2.7649666666666666
8,Ruke Orhorhoro,4.271449999999999
9,Jordan Jefferson,3.449130952380954
10,McKinnley Jackson,1.6877166666666668
11,Bralen Trice,4.039166666666667
12,Brandon Dorlus,1.7218000000000002
13,DeWayne Carter,4.679583333333332
14,Jonah Elliss,3.202333333333334
15,Mohamed Kamara,2.1941666666666655
16,Logan Lee,5.0518333333333345
17,Austin Booker,1.9107746031746027
18,Javontae Jean-Baptiste,0.6102777777777777
19,Zion Logue,1.5280000000000007
20,Cedric Johnson,1.1812777777777776
21,Jaden Crumedy,2.015999999999995
22,Maason Smith,4.266083333333331
23,Kris Jenkins,7.246703571428573
24,Justin Rogers,0.2955
25,Marcus Harris,0.2955
26,Jonah Laulu,0.621
27,Jowon Briggs,2.4128333333333334
28,Marshawn Kneeland,7.579500000000004
29,Chop Robinson,4.2428333333333335
30,Solomon Byrd,0.6077222222222223
31,Tyler Davis,1.1685
32,Justin Eboigbe,1.113933333333333
33,Jaylen Harrell,2.2401666666666658
34,Mekhi Wingo,2.808992063492063
35,Brennan Jackson,0.9335833333333339
