,name,prediction 2024
0,Jaylan Ford,1.845
1,Dallas Turner,11.399500000000002
2,Edgerrin Cooper,4.865583333333334
3,Payton Wilson,3.965583333333334
4,Marist Liufau,3.0744999999999996
5,Ty'Ron Hopper,2.625166666666667
6,Trevin Wallace,2.126833333333334
7,Cedric Gray,1.8611666666666655
8,Tyrice Knight,6.360249999999999
9,JD Bertrand,1.892
10,Edefuan Ulofoshio,2.343
11,Javon Solomon,1.9747500000000002
12,Jordan Magee,6.875916666666667
13,Darius Muasau,2.5818333333333334
14,Nathaniel Watson,1.3001666666666667
15,Jamal Hill,2.244666666666666
16,Tatum Bethune,1.9953333333333332
17,Chris Braswell,2.7139999999999995
18,James Williams,1.1873333333333334
19,Tommy Eichenberg,2.7784999999999997
20,Junior Colson,4.242166666666666
21,Michael Barrett,2.2043333333333335
22,Jeremiah Trotter Jr.,1.912333333333333
23,Myles Cole,1.0268333333333335
