Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS▼,SOS,AP Pre,AP High,AP Rank,Notes
1,Alabama,SEC (West),14,1,0.933,8,0,1,38.8,13,25.62,7.29,1,1,2,
2,Clemson,ACC (Atlantic),14,1,0.933,7,1,0.875,39.2,18,20.08,6.55,2,1,1,
3,Washington,Pac-12 (North),12,2,0.857,8,1,0.889,41.8,17.7,19.98,3.98,14,4,4,
4,Ohio State,Big Ten (East),11,2,0.846,8,1,0.889,39.4,15.5,18.82,6.59,6,2,6,
5,Michigan,Big Ten (East),10,3,0.769,7,2,0.778,40.3,14.1,17.56,4.79,7,2,10,
6,USC,Pac-12 (South),10,3,0.769,7,2,0.778,34.4,24.2,17.27,7.04,20,3,3,
7,LSU,SEC (West),8,4,0.667,5,3,0.625,28.3,15.8,15.93,5.85,5,5,13,
8,Penn State,Big Ten (East),11,3,0.786,8,1,0.889,37.6,25.4,15.72,5.44,,5,7,
9,Wisconsin,Big Ten (West),11,3,0.786,7,2,0.778,28.4,15.6,15.3,5.3,,5,9,
10,Florida State,ACC (Atlantic),10,3,0.769,5,3,0.625,35.1,25,15.01,6.16,4,2,8,
11,Oklahoma,Big 12,11,2,0.846,9,0,1,43.9,28.8,14.98,3.6,3,3,5,
12,Miami (FL),ACC (Coastal),9,4,0.692,5,3,0.625,34.3,18.5,13.36,2.82,,10,20,
13,Stanford,Pac-12 (North),10,3,0.769,6,3,0.667,26.3,20.4,12.54,5.23,8,7,12,
14,Colorado,Pac-12 (South),10,4,0.714,8,1,0.889,31.1,21.7,12.18,5.54,,9,17,
15,Western Michigan,MAC (West),13,1,0.929,8,0,1,41.6,19.8,12.03,-4.61,,12,15,
16,Auburn,SEC (West),8,5,0.615,5,3,0.625,31.2,17.1,11.97,5.51,,8,24,
17,Louisville,ACC (Atlantic),9,4,0.692,7,1,0.875,42.5,23.8,11.87,2.1,19,3,21,
18,Oklahoma State,Big 12,10,3,0.769,7,2,0.778,38.6,26.5,11.16,1.7,21,10,11,
19,Virginia Tech,ACC (Coastal),10,4,0.714,6,2,0.75,35,22.8,11,2.43,,16,16,
20,Florida,SEC (East),9,4,0.692,6,2,0.75,23.9,16.8,10.98,4.75,25,10,14,
21,Tennessee,SEC (East),9,4,0.692,4,4,0.5,36.4,28.8,10.59,4.44,9,9,22,
22,West Virginia,Big 12,10,3,0.769,7,2,0.778,31.2,24,9.57,2.03,,10,18,
23,Washington State,Pac-12 (North),8,5,0.615,7,2,0.778,38.2,26.4,9.03,3.18,,20,,
24,Temple,American (East),10,4,0.714,7,1,0.875,32.4,18.4,8.97,-3.32,,23,,
25,Appalachian State,Sun Belt,10,3,0.769,7,1,0.875,29.2,17.8,8.83,-2.87,,,,
26,Texas A&M,SEC (West),8,5,0.615,4,4,0.5,34.8,24.5,8.77,3.77,,6,,
27,Western Kentucky,CUSA (East),11,3,0.786,7,1,0.875,45.5,24.6,8.68,-4.03,,,,
28,Utah,Pac-12 (South),9,4,0.692,5,4,0.556,29.8,23.9,8.65,2.19,,11,23,
29,Minnesota,Big Ten (West),9,4,0.692,5,4,0.556,29.3,22.1,8.65,1.65,,,,
30,North Carolina,ACC (Coastal),8,5,0.615,5,3,0.625,32.3,24.9,8.25,1.79,22,15,,
31,Pitt,ACC (Coastal),8,5,0.615,5,3,0.625,40.9,35.2,8.12,3.51,,22,,
32,Kansas State,Big 12,9,4,0.692,6,3,0.667,32.2,22.3,8.09,1.33,,,,
33,Boise State,MWC (Mountain),10,3,0.769,6,2,0.75,33.8,23.3,8.01,-0.91,,13,,
34,South Florida,American (East),11,2,0.846,7,1,0.875,43.8,31.6,7.83,-2.7,,19,19,
35,Nebraska,Big Ten (West),9,4,0.692,6,3,0.667,26.5,23.9,7.55,2.94,,7,,
36,North Carolina State,ACC (Atlantic),7,6,0.538,3,5,0.375,27,22.8,7.49,3.49,,,,
37,Georgia Tech,ACC (Coastal),9,4,0.692,4,4,0.5,28.2,24.5,7.13,2.9,,,,
38,Tulsa,American (West),10,3,0.769,6,2,0.75,42.5,29.8,6.91,-3.71,,,,
39,Iowa,Big Ten (West),8,5,0.615,6,3,0.667,24.9,18.8,6.81,2.11,17,13,,
40,BYU,Ind,9,4,0.692,,,,29.5,19.5,6.5,-1.19,,,,
41,San Diego State,MWC (West),11,3,0.786,6,2,0.75,35.2,20.2,5.97,-5.17,,19,25,
42,Northwestern,Big Ten (West),7,6,0.538,5,4,0.556,26,22.2,5.46,3.07,,,,
43,Houston,American (West),9,4,0.692,5,3,0.625,35.8,23.5,5.44,-1.95,15,6,,
44,Toledo,MAC (West),9,4,0.692,6,2,0.75,38,25.7,4.94,-3.75,,,,
