Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Georgia,SEC (East),15,0,1,8,0,1,41.1,14.3,25.48,6.28,3,1,1,
2,Texas Christian,Big 12,13,2,0.867,9,0,1,38.8,29,16.65,7.45,,2,2,
3,Michigan,Big Ten (East),13,1,0.929,9,0,1,40.4,16.1,20.59,2.73,8,2,3,
4,Ohio State,Big Ten (East),11,2,0.846,8,1,0.889,44.2,21,19.82,5.2,2,2,4,
5,Alabama,SEC (West),11,2,0.846,6,2,0.75,41.1,18.2,19.66,4.58,1,1,5,
6,Tennessee,SEC (East),11,2,0.846,6,2,0.75,46.1,22.8,17.9,4.98,,2,6,
7,Penn State,Big Ten (East),11,2,0.846,7,2,0.778,35.8,18.2,17.56,4.02,,7,7,
8,Washington,Pac-12,11,2,0.846,7,2,0.778,39.7,25.8,11.56,0.64,,8,8,
9,Tulane,American,12,2,0.857,7,1,0.875,36,22.2,11.53,0.39,,9,9,
10,Utah,Pac-12,10,4,0.714,7,2,0.778,38.6,21.4,14.8,3.09,7,7,10,
11,Florida State,ACC (Atlantic),10,3,0.769,5,3,0.625,36.1,20.6,14.77,3.38,,11,11,
12,USC,Pac-12,11,3,0.786,8,1,0.889,41.4,29.2,12.13,3.49,14,4,12,
13,Clemson,ACC (Atlantic),11,3,0.786,8,0,1,33.2,20.9,13.59,3.3,4,4,13,
14,Kansas State,Big 12,10,4,0.714,7,2,0.778,32.3,21.9,16.16,7.95,,11,14,
15,Oregon,Pac-12,10,3,0.769,7,2,0.778,38.8,27.4,13.44,3.67,11,6,15,
16,LSU,SEC (West),10,4,0.714,6,2,0.75,34.5,22.5,13.29,6.14,,6,16,
17,Oregon State,Pac-12,10,3,0.769,6,3,0.667,32.2,20,12.64,2.33,,16,17,
18,Notre Dame,Ind,9,4,0.692,,,,31.8,23,10.8,3.8,5,5,18,
19,Troy,Sun Belt (West),12,2,0.857,7,1,0.875,25.6,17.1,6.42,-2.51,,19,19,
20,Mississippi State,SEC (West),9,4,0.692,4,4,0.5,31.6,23.1,11.84,5.3,,16,20,
21,UCLA,Pac-12,9,4,0.692,6,3,0.667,39.2,29,8.88,0.73,,9,21,
22,Pitt,ACC (Coastal),9,4,0.692,5,3,0.625,31.3,24.3,7.8,0.8,17,17,22,
23,South Carolina,SEC (East),8,5,0.615,4,4,0.5,32.2,28.8,7.71,4.17,,20,23,
24,Fresno State,MWC (West),10,4,0.714,7,1,0.875,30.6,19.4,4.48,-3.94,,24,24,
25,Texas,Big 12,8,5,0.615,6,3,0.667,34.5,21.6,15.92,8.16,,18,25,
26,Arkansas State,Sun Belt (West),3,9,0.25,1,7,0.125,25,31.4,-10.77,-2.52,,,,
27,Texas State,Sun Belt (West),4,8,0.333,2,6,0.25,21.1,26.3,-10.04,-4.46,,,,
28,Louisiana-Monroe,Sun Belt (West),4,8,0.333,3,5,0.375,22.3,34.4,-7.81,-0.64,,,,
29,Louisiana,Sun Belt (West),6,7,0.462,4,4,0.5,26.2,22.8,-0.5,-3.19,,,,
30,Southern Mississippi,Sun Belt (West),7,6,0.538,4,4,0.5,25.3,23.5,-3.89,-3.81,,,,
31,South Alabama,Sun Belt (West),10,3,0.769,7,1,0.875,31.2,21.3,2.46,-5.46,,,,
32,Old Dominion,Sun Belt (East),3,9,0.25,2,6,0.25,19.5,26.6,-8.35,-1.85,,,,
33,Georgia State,Sun Belt (East),4,8,0.333,3,5,0.375,30,31.2,-4.71,-1.88,,,,
34,Georgia Southern,Sun Belt (East),6,7,0.462,3,5,0.375,32.7,31.6,-4.07,-3.14,,,,
35,Appalachian State,Sun Belt (East),6,6,0.5,3,5,0.375,34.9,26.8,0.63,-3.71,,,,
36,Marshall,Sun Belt (East),9,4,0.692,5,3,0.625,24.5,16,2.36,-3.95,,,,
37,Coastal Carolina,Sun Belt (East),9,4,0.692,6,2,0.75,29.1,31.8,-3.12,-2.66,,23,,
38,James Madison,Sun Belt (East),8,3,0.727,6,2,0.75,37,20.9,5.37,-4.73,,25,,
39,Texas A&M,SEC (West),5,7,0.417,2,6,0.25,22.8,21.2,3.21,3.13,6,6,,
40,Auburn,SEC (West),5,7,0.417,2,6,0.25,24.8,29.5,3.9,7.4,,,,
41,Arkansas,SEC (West),7,6,0.538,3,5,0.375,32.5,30.6,5.95,5.1,19,10,,
42,Ole Miss,SEC (West),8,5,0.615,4,4,0.5,33.5,25.5,8.36,4.05,21,7,,
43,Vanderbilt,SEC (East),5,7,0.417,2,6,0.25,24.6,36,-1.14,5.11,,,,
44,Missouri,SEC (East),6,7,0.462,3,5,0.375,24.8,25.2,4.95,4.49,,,,
45,Florida,SEC (East),6,7,0.462,3,5,0.375,29.5,28.8,6.92,7,,12,,
46,Kentucky,SEC (East),7,6,0.538,3,5,0.375,20.4,19.2,6.05,4.74,20,7,,
47,Colorado,Pac-12,1,11,0.083,1,8,0.111,15.4,44.5,-12.08,7.92,,,,
48,Stanford,Pac-12,3,9,0.25,1,8,0.111,21.3,32.2,-3.41,5.43,,,,
49,Arizona State,Pac-12,3,9,0.25,2,7,0.222,26.1,31.4,-5.06,2.2,,,,
50,California,Pac-12,4,8,0.333,2,7,0.222,23.9,27.8,-1.08,2.5,,,,
51,Arizona,Pac-12,5,7,0.417,3,6,0.333,30.8,36.5,-1.58,3.01,,,,
52,Washington State,Pac-12,7,6,0.538,4,5,0.444,26.1,22.9,3.55,2.24,,,,
53,Nevada,MWC (West),2,10,0.167,0,8,0,18.8,30.9,-15.62,-5.04,,,,
54,Hawaii,MWC (West),3,10,0.231,2,6,0.25,19.8,34.7,-14.31,-4.77,,,,
55,Nevada-Las Vegas,MWC (West),5,7,0.417,3,5,0.375,26.3,28.5,-7.4,-5.48,,,,
56,San Diego State,MWC (West),7,6,0.538,5,3,0.625,21.5,20.5,-3.36,-4.36,,,,
57,San Jose State,MWC (West),7,5,0.583,5,3,0.625,27.4,22,-3.92,-8.26,,,,
58,New Mexico,MWC (Mountain),2,10,0.167,0,8,0,13.1,26,-16.09,-4.26,,,,
59,Colorado State,MWC (Mountain),3,9,0.25,3,5,0.375,13.2,26.9,-14.63,-4.8,,,,
60,Utah State,MWC (Mountain),6,7,0.462,5,3,0.625,22.2,31.2,-9.52,-4.06,,,,
61,Wyoming,MWC (Mountain),7,6,0.538,5,3,0.625,21.2,23.9,-5.59,-4.43,,,,
